oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT05_114091,113871278447051482,2025-02-20T16:00:00Z,2025-02-20 16:07:55,1,One More Esports,Fox Gaming
LOLTMNT05_114102,113871278447051483,2025-02-20T16:00:00Z,2025-02-20 17:05:57,2,One More Esports,Fox Gaming
LOLTMNT05_113120,113871278446985878,2025-02-20T19:00:00Z,2025-02-20 18:41:53,1,Geekay Esports,BAAM Esports
LOLTMNT05_114121,113871278446985879,2025-02-20T19:00:00Z,2025-02-20 19:39:21,2,Geekay Esports,BAAM Esports
LOLTMNT04_111170,114216728201614164,2025-05-07T16:00:00Z,2025-05-07 16:06:50,1,Geekay Esports,GnG Amazigh
LOLTMNT04_111171,114216728201745237,2025-05-07T16:00:00Z,2025-05-07 17:04:17,2,GnG Amazigh,Geekay Esports
LOLTMNT04_112056,114216728201745260,2025-05-07T18:30:00Z,2025-05-07 18:33:03,1,Fox Gaming,Fog Esports
LOLTMNT04_112057,114216728201745261,2025-05-07T18:30:00Z,2025-05-07 19:36:51,2,Fog Esports,Fox Gaming
LOLTMNT04_111179,114216728201745262,2025-05-07T18:30:00Z,2025-05-07 20:53:30,3,Fog Esports,Fox Gaming
LOLTMNT04_111227,114216728201745256,2025-05-08T16:00:00Z,2025-05-08 16:19:13,1,One More Esports,Anubis Gaming
LOLTMNT04_111228,114216728201745257,2025-05-08T16:00:00Z,2025-05-08 17:33:29,2,Anubis Gaming,One More Esports
LOLTMNT04_111230,114216728201745258,2025-05-08T16:00:00Z,2025-05-08 18:31:19,3,Anubis Gaming,One More Esports
LOLTMNT04_112111,114216728201745280,2025-05-08T18:30:00Z,2025-05-08 20:41:54,1,BAAM Esports,Nigma Galaxy
LOLTMNT04_112122,114216728201745281,2025-05-08T18:30:00Z,2025-05-08 21:56:15,2,BAAM Esports,Nigma Galaxy
LOLTMNT04_112126,114216728201745282,2025-05-08T18:30:00Z,2025-05-08 22:55:20,3,Nigma Galaxy,BAAM Esports
LOLTMNT05_132260,114216771948123980,2025-05-23T16:00:00Z,2025-05-23 16:13:24,1,Geekay Esports,Fog Esports
LOLTMNT05_132263,114216771948123981,2025-05-23T16:00:00Z,2025-05-23 17:09:15,2,Fog Esports,Geekay Esports
LOLTMNT05_132264,114216771948123982,2025-05-23T16:00:00Z,2025-05-23 18:00:45,3,Geekay Esports,Fog Esports
LOLTMNT06_129083,114850446335431861,2025-07-14T16:00:00Z,2025-07-14 16:42:47,1,GnG Amazigh,Geekay Esports
LOLTMNT06_129100,114850446335431862,2025-07-14T16:00:00Z,2025-07-14 17:42:50,2,Geekay Esports,GnG Amazigh
LOLTMNT06_129113,114850446612059342,2025-07-14T18:00:00Z,2025-07-14 18:55:21,1,Anubis Gaming,Fox Gaming
LOLTMNT06_128120,114850446612059343,2025-07-14T18:00:00Z,2025-07-14 19:48:23,2,Fox Gaming,Anubis Gaming
LOLTMNT06_128197,114850446681986279,2025-07-15T16:00:00Z,2025-07-15 16:11:53,1,BAAM Esports,One More Esports
LOLTMNT06_128208,114850446681986280,2025-07-15T16:00:00Z,2025-07-15 17:17:16,2,BAAM Esports,One More Esports
LOLTMNT06_128236,114850446752896256,2025-07-15T18:00:00Z,2025-07-15 19:36:39,1,FN Esports,Dragons Esports
LOLTMNT06_129242,114850446752961793,2025-07-15T18:00:00Z,2025-07-15 20:48:06,2,FN Esports,Dragons Esports
LOLTMNT06_128243,114850446752961794,2025-07-15T18:00:00Z,2025-07-15 21:48:27,3,Dragons Esports,FN Esports
LOLTMNT06_128369,114850446737822971,2025-07-16T16:00:00Z,2025-07-16 16:12:24,1,BAAM Esports,Dragons Esports
LOLTMNT06_129387,114850446737822972,2025-07-16T16:00:00Z,2025-07-16 17:13:47,2,Dragons Esports,BAAM Esports
LOLTMNT06_129407,114850446737822973,2025-07-16T16:00:00Z,2025-07-16 18:45:48,3,BAAM Esports,Dragons Esports
LOLTMNT06_128431,114850446590432457,2025-07-16T18:00:00Z,2025-07-16 19:55:41,1,Anubis Gaming,GnG Amazigh
LOLTMNT06_128433,114850446590497994,2025-07-16T18:00:00Z,2025-07-16 20:44:08,2,Anubis Gaming,GnG Amazigh
LOLTMNT06_128523,114850446695683308,2025-07-17T16:00:00Z,2025-07-17 16:09:57,1,One More Esports,FN Esports
LOLTMNT06_128529,114850446695683309,2025-07-17T16:00:00Z,2025-07-17 17:05:57,2,FN Esports,One More Esports
LOLTMNT06_128536,114850446392513722,2025-07-17T18:00:00Z,2025-07-17 18:12:09,1,Fox Gaming,Geekay Esports
LOLTMNT06_129547,114850446392513723,2025-07-17T18:00:00Z,2025-07-17 19:04:18,2,Fox Gaming,Geekay Esports
LOLTMNT06_129623,114850446639977688,2025-07-18T16:00:00Z,2025-07-18 16:10:42,1,Anubis Gaming,FN Esports
LOLTMNT06_128612,114850446639977689,2025-07-18T16:00:00Z,2025-07-18 17:11:27,2,FN Esports,Anubis Gaming
LOLTMNT06_128618,114850446639977690,2025-07-18T16:00:00Z,2025-07-18 18:08:18,3,Anubis Gaming,FN Esports
LOLTMNT06_129640,114850446463882431,2025-07-18T18:00:00Z,2025-07-18 19:29:45,1,BAAM Esports,Geekay Esports
LOLTMNT06_129642,114850446463882432,2025-07-18T18:00:00Z,2025-07-18 20:20:39,2,Geekay Esports,BAAM Esports
LOLTMNT06_129690,114850446654002397,2025-07-19T16:00:00Z,2025-07-19 16:16:20,1,One More Esports,GnG Amazigh
LOLTMNT06_128673,114850446654002398,2025-07-19T16:00:00Z,2025-07-19 17:11:17,2,One More Esports,GnG Amazigh
LOLTMNT06_128675,114850446654002399,2025-07-19T16:00:00Z,2025-07-19 17:59:27,3,One More Esports,GnG Amazigh
LOLTMNT06_128684,114850446724912374,2025-07-19T18:00:00Z,2025-07-19 19:05:49,1,Fox Gaming,Dragons Esports
LOLTMNT06_128685,114850446724912375,2025-07-19T18:00:00Z,2025-07-19 20:08:37,2,Dragons Esports,Fox Gaming
LOLTMNT06_128686,114850446724912376,2025-07-19T18:00:00Z,2025-07-19 21:00:49,3,Fox Gaming,Dragons Esports
LOLTMNT06_129762,114850446626084051,2025-07-20T16:00:00Z,2025-07-20 16:09:28,1,BAAM Esports,Anubis Gaming
LOLTMNT06_128734,114850446626084052,2025-07-20T16:00:00Z,2025-07-20 17:08:57,2,BAAM Esports,Anubis Gaming
LOLTMNT06_128741,114850446709904625,2025-07-20T18:00:00Z,2025-07-20 18:38:26,1,GnG Amazigh,Dragons Esports
LOLTMNT06_129772,114850446709904626,2025-07-20T18:00:00Z,2025-07-20 19:26:04,2,Dragons Esports,GnG Amazigh
LOLTMNT06_129773,114850446709904627,2025-07-20T18:00:00Z,2025-07-20 20:20:49,3,GnG Amazigh,Dragons Esports
LOLTMNT06_129781,114715103097439595,2025-07-21T16:00:00Z,2025-07-21 16:06:42,1,One More Esports,Dragons Esports
LOLTMNT06_128745,114715103097439596,2025-07-21T16:00:00Z,2025-07-21 17:01:44,2,One More Esports,Dragons Esports
LOLTMNT06_129782,114715103097439597,2025-07-21T16:00:00Z,2025-07-21 17:51:41,3,One More Esports,Dragons Esports
LOLTMNT06_128746,114715103097439598,2025-07-21T16:00:00Z,2025-07-21 18:39:22,4,Dragons Esports,One More Esports
LOLTMNT06_130004,114715103097439601,2025-07-22T16:00:00Z,2025-07-22 16:09:23,1,Dragons Esports,BAAM Esports
LOLTMNT06_130005,114715103097439602,2025-07-22T16:00:00Z,2025-07-22 17:15:09,2,Dragons Esports,BAAM Esports
LOLTMNT06_130008,114715103097439603,2025-07-22T16:00:00Z,2025-07-22 18:13:42,3,Dragons Esports,BAAM Esports
LOLTMNT06_130015,114715103097439607,2025-07-23T16:00:00Z,2025-07-23 16:08:52,1,BAAM Esports,One More Esports
LOLTMNT06_131014,114715103097439608,2025-07-23T16:00:00Z,2025-07-23 16:59:05,2,BAAM Esports,One More Esports
LOLTMNT06_131015,114715103097439609,2025-07-23T16:00:00Z,2025-07-23 17:50:39,3,BAAM Esports,One More Esports
LOLTMNT06_130018,114715103097439613,2025-07-24T16:00:00Z,2025-07-24 16:17:44,1,BAAM Esports,Dragons Esports
LOLTMNT06_130019,114715103097439614,2025-07-24T16:00:00Z,2025-07-24 17:14:49,2,Dragons Esports,BAAM Esports
LOLTMNT06_131019,114715103097439615,2025-07-24T16:00:00Z,2025-07-24 18:16:26,3,BAAM Esports,Dragons Esports
LOLTMNT06_131021,114715103097439616,2025-07-24T16:00:00Z,2025-07-24 19:06:23,4,BAAM Esports,Dragons Esports
LOLTMNT06_130022,114715103097439617,2025-07-24T16:00:00Z,2025-07-24 20:03:12,5,Dragons Esports,BAAM Esports
LOLTMNT06_130024,114715103097439623,2025-07-25T16:00:00Z,2025-07-25 16:06:38,1,Fox Gaming,Anubis Gaming
LOLTMNT06_131026,114715103097439624,2025-07-25T16:00:00Z,2025-07-25 17:01:04,2,Anubis Gaming,Fox Gaming
LOLTMNT06_131029,114715103097439625,2025-07-25T16:00:00Z,2025-07-25 18:13:42,3,Fox Gaming,Anubis Gaming
LOLTMNT06_130029,114850513732908038,2025-07-25T18:00:00Z,2025-07-25 19:38:39,1,BAAM Esports,Fox Gaming
LOLTMNT06_130030,114850513732908039,2025-07-25T18:00:00Z,2025-07-25 20:41:16,2,Fox Gaming,BAAM Esports
LOLTMNT05_147268,114715103097439639,2025-08-17T16:00:00Z,2025-08-17 16:32:19,1,FN Esports,Geekay Esports
LOLTMNT05_147274,114715103097439640,2025-08-17T16:00:00Z,2025-08-17 17:41:51,2,FN Esports,Geekay Esports
LOLTMNT05_148304,114715103097439641,2025-08-17T16:00:00Z,2025-08-17 18:49:31,3,FN Esports,Geekay Esports
LOLTMNT05_148319,114715103097439651,2025-08-18T16:00:00Z,2025-08-18 16:24:42,1,FN Esports,Anubis Gaming
LOLTMNT05_147303,114715103097439652,2025-08-18T16:00:00Z,2025-08-18 17:45:40,2,Anubis Gaming,FN Esports
LOLTMNT05_147305,114715103097439653,2025-08-18T16:00:00Z,2025-08-18 18:44:45,3,Anubis Gaming,FN Esports
LOLTMNT05_148320,114715103097439654,2025-08-18T16:00:00Z,2025-08-18 19:53:03,4,FN Esports,Anubis Gaming
LOLTMNT05_148341,114715103097439645,2025-08-19T16:00:00Z,2025-08-19 16:09:25,1,GnG Amazigh,Geekay Esports
LOLTMNT05_147333,114715103097439646,2025-08-19T16:00:00Z,2025-08-19 17:18:00,2,GnG Amazigh,Geekay Esports
LOLTMNT05_148343,114715103097439647,2025-08-19T16:00:00Z,2025-08-19 18:19:39,3,Geekay Esports,GnG Amazigh
