oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT01_217353,114023994147919657,2025-03-17T20:00:00Z,2025-03-17 20:21:33,1,RED Academy,Vivo Keyd Stars Academy
LOLTMNT01_217369,114023994147919658,2025-03-17T20:00:00Z,2025-03-17 21:16:14,2,Vivo Keyd Stars Academy,RED Academy
LOLTMNT01_218280,114023994147919659,2025-03-17T20:00:00Z,2025-03-17 22:04:31,3,Vivo Keyd Stars Academy,RED Academy
LOLTMNT02_234788,114023994147788437,2025-03-24T23:00:00Z,2025-03-24 22:59:46,1,Corinthians Esports,Flamengo MDL
LOLTMNT02_234810,114023994147788438,2025-03-24T23:00:00Z,2025-03-24 23:52:25,2,Flamengo MDL,Corinthians Esports
LOLTMNT02_235484,114023994147919653,2025-03-26T20:00:00Z,2025-03-26 20:07:43,1,Stellae Gaming,RED Academy
LOLTMNT02_235495,114023994147919654,2025-03-26T20:00:00Z,2025-03-26 21:33:07,2,RED Academy,Stellae Gaming
LOLTMNT02_235505,114023994147788453,2025-03-26T23:00:00Z,2025-03-26 22:37:16,1,Rise Gaming,Corinthians Esports
LOLTMNT02_235514,114023994147788454,2025-03-26T23:00:00Z,2025-03-26 23:49:03,2,Rise Gaming,Corinthians Esports
LOLTMNT02_242047,114023994147788481,2025-03-31T23:00:00Z,2025-03-31 22:51:10,1,RED Academy,Dopamina E-Sport
LOLTMNT02_241077,114023994147788482,2025-03-31T23:00:00Z,2025-03-31 23:42:58,2,Dopamina E-Sport,RED Academy
LOLTMNT02_242473,114023994147854061,2025-04-01T23:00:00Z,2025-04-01 21:57:33,1,Vivo Keyd Stars Academy,Flamengo MDL
LOLTMNT02_241474,114023994147854062,2025-04-01T23:00:00Z,2025-04-01 22:52:01,2,Flamengo MDL,Vivo Keyd Stars Academy
LOLTMNT03_225087,114023994147854045,2025-04-14T23:00:00Z,2025-04-14 22:10:45,1,RED Academy,Flamengo MDL
LOLTMNT03_225092,114023994147854046,2025-04-14T23:00:00Z,2025-04-14 23:00:14,2,Flamengo MDL,RED Academy
LOLTMNT01_228589,114023994147919681,2025-04-22T20:00:00Z,2025-04-22 20:07:32,1,Vivo Keyd Stars Academy,Stellae Gaming
LOLTMNT01_228611,114023994147919682,2025-04-22T20:00:00Z,2025-04-22 21:10:24,2,Stellae Gaming,Vivo Keyd Stars Academy
LOLTMNT01_229180,114023994147919683,2025-04-22T20:00:00Z,2025-04-22 21:56:02,3,Vivo Keyd Stars Academy,Stellae Gaming
LOLTMNT03_246615,114024160583710218,2025-05-26T20:00:00Z,2025-05-26 20:08:15,1,Stellae Gaming,Corinthians Esports
LOLTMNT03_246629,114024160583710219,2025-05-26T20:00:00Z,2025-05-26 21:01:16,2,Corinthians Esports,Stellae Gaming
LOLTMNT03_246634,114024160583710220,2025-05-26T20:00:00Z,2025-05-26 21:51:47,3,Stellae Gaming,Corinthians Esports
LOLTMNT01_249877,114024160583775784,2025-06-09T20:00:00Z,2025-06-09 20:16:28,1,RED Academy,Vivo Keyd Stars Academy
LOLTMNT01_249883,114024160583775785,2025-06-09T20:00:00Z,2025-06-09 21:10:28,2,Vivo Keyd Stars Academy,RED Academy
LOLTMNT01_250730,114024160583775786,2025-06-09T20:00:00Z,2025-06-09 21:57:34,3,RED Academy,Vivo Keyd Stars Academy
