oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT05_110376,113668971015256423,2025-02-12T19:00:00Z,2025-02-12 18:54:16,1,SPIKE Syndicate,Crvena zvezda Esports
LOLTMNT05_112099,113668971015321979,2025-02-13T18:00:00Z,2025-02-13 17:58:54,1,SPIKE Syndicate,Lupus Esports
LOLTMNT05_112129,113668971015256419,2025-02-13T20:00:00Z,2025-02-13 19:49:40,1,BeFive,Crvena zvezda Esports
LOLTMNT05_113116,113669109164325471,2025-02-20T18:00:00Z,2025-02-20 18:01:30,1,SPIKE Syndicate,Magaza Esports
LOLTMNT05_114120,113669109164325467,2025-02-20T20:00:00Z,2025-02-20 19:41:03,1,BeFive,Fantastic Esports
LOLTMNT05_113134,113669109164325465,2025-02-20T21:00:00Z,2025-02-20 20:36:10,1,Crvena zvezda Esports,The Secret Club
LOLTMNT06_105218,113669109164325473,2025-02-27T18:00:00Z,2025-02-27 18:03:12,1,BeFive,The Secret Club
LOLTMNT06_105227,113669109164325474,2025-02-27T18:00:00Z,2025-02-27 18:51:17,2,The Secret Club,BeFive
LOLTMNT06_104237,113669109164325475,2025-02-27T18:00:00Z,2025-02-27 19:45:02,3,BeFive,The Secret Club
LOLTMNT06_105238,113669109164325485,2025-02-27T19:30:00Z,2025-02-27 20:42:03,1,Crvena zvezda Esports,Fantastic Esports
LOLTMNT06_104241,113669109164325486,2025-02-27T19:30:00Z,2025-02-27 21:31:11,2,Fantastic Esports,Crvena zvezda Esports
LOLTMNT06_111510,114234181776274992,2025-04-10T17:00:00Z,2025-04-10 17:01:31,1,SPIKE Syndicate,Partizan Sangal
LOLTMNT06_110497,114234196579074196,2025-04-10T17:00:00Z,2025-04-10 18:01:58,2,SPIKE Syndicate,Partizan Sangal
LOLTMNT06_111558,114234181776275000,2025-04-10T19:00:00Z,2025-04-10 18:55:55,1,BeFive,Lupus Esports
LOLTMNT06_110525,114234196579074204,2025-04-10T19:00:00Z,2025-04-10 19:46:36,2,Lupus Esports,BeFive
LOLTMNT06_114055,114234181776209446,2025-04-16T17:00:00Z,2025-04-16 17:01:54,1,Lupus Esports,Crvena zvezda Esports
LOLTMNT06_114069,114234196579074186,2025-04-16T17:00:00Z,2025-04-16 17:51:35,2,Lupus Esports,Crvena zvezda Esports
LOLTMNT06_114086,114234181776275002,2025-04-16T19:00:00Z,2025-04-16 18:42:07,1,SPIKE Syndicate,BeFive
LOLTMNT06_115110,114234196579074206,2025-04-16T19:00:00Z,2025-04-16 19:39:21,2,BeFive,SPIKE Syndicate
LOLTMNT04_125221,114828766173027576,2025-07-24T17:00:00Z,2025-07-24 17:03:51,1,Partizan Sangal,SPIKE Syndicate
LOLTMNT04_125238,114828766173027577,2025-07-24T17:00:00Z,2025-07-24 18:01:00,2,SPIKE Syndicate,Partizan Sangal
LOLTMNT04_125241,114828766173093128,2025-07-24T19:00:00Z,2025-07-24 19:04:17,1,BeFive,Lupus Esports
LOLTMNT04_126291,114828766173093129,2025-07-24T19:00:00Z,2025-07-24 19:46:59,2,Lupus Esports,BeFive
LOLTMNT04_125249,114828766173093130,2025-07-24T19:00:00Z,2025-07-24 20:34:53,3,BeFive,Lupus Esports
LOLTMNT04_125286,114828766173027552,2025-07-25T17:00:00Z,2025-07-25 17:05:01,1,BeFive,Crvena zvezda Esports
LOLTMNT04_125295,114828766173027553,2025-07-25T17:00:00Z,2025-07-25 17:58:20,2,Crvena zvezda Esports,BeFive
LOLTMNT04_125306,114828766173027554,2025-07-25T17:00:00Z,2025-07-25 18:48:33,3,BeFive,Crvena zvezda Esports
LOLTMNT04_125309,114828766173093124,2025-07-25T19:00:00Z,2025-07-25 19:36:18,1,SPIKE Syndicate,Connect Arena Esports
LOLTMNT04_127060,114828766173093125,2025-07-25T19:00:00Z,2025-07-25 20:22:30,2,Connect Arena Esports,SPIKE Syndicate
