oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT04_102216,113990318291619988,2025-03-17T16:00:00Z,2025-03-17 16:01:35,1,ZennIT,Los Heretics
LOLTMNT04_103229,113990318291619948,2025-03-17T16:00:00Z,2025-03-17 16:01:54,1,Papara SuperMassive,Zero Tenacity
LOLTMNT04_102217,113990318291620008,2025-03-17T16:00:00Z,2025-03-17 16:02:14,1,Nightbirds,Los Ratones
LOLTMNT04_103230,113990318291619968,2025-03-17T16:00:00Z,2025-03-17 16:04:09,1,Ici Japon Corp. Esport,Team Phantasma
LOLTMNT04_102221,113990318291619989,2025-03-17T16:00:00Z,2025-03-17 16:49:44,2,ZennIT,Los Heretics
LOLTMNT04_103238,113990318291619949,2025-03-17T16:00:00Z,2025-03-17 16:57:46,2,Zero Tenacity,Papara SuperMassive
LOLTMNT04_103241,113990318291620009,2025-03-17T16:00:00Z,2025-03-17 17:13:03,2,Los Ratones,Nightbirds
LOLTMNT04_102226,113990318291619969,2025-03-17T16:00:00Z,2025-03-17 17:14:42,2,Ici Japon Corp. Esport,Team Phantasma
LOLTMNT04_103243,113990318291619992,2025-03-17T19:00:00Z,2025-03-17 17:44:22,1,Macko Esports,FlameHard
LOLTMNT04_102229,113990318291619952,2025-03-17T19:00:00Z,2025-03-17 17:47:06,1,Geekay Esports,Barça eSports
LOLTMNT04_103247,113990318291619970,2025-03-17T16:00:00Z,2025-03-17 18:08:39,3,Team Phantasma,Ici Japon Corp. Esport
LOLTMNT04_103248,113990318291620012,2025-03-17T19:00:00Z,2025-03-17 18:13:55,1,E WIE EINFACH E-SPORTS,Karmine Corp Blue
LOLTMNT04_103252,113990318291619953,2025-03-17T19:00:00Z,2025-03-17 18:35:33,2,Barça eSports,Geekay Esports
LOLTMNT04_102238,113990318291619993,2025-03-17T19:00:00Z,2025-03-17 18:36:51,2,FlameHard,Macko Esports
LOLTMNT04_103257,113990318291620013,2025-03-17T19:00:00Z,2025-03-17 19:10:14,2,Karmine Corp Blue,E WIE EINFACH E-SPORTS
LOLTMNT04_102240,113990318291620014,2025-03-17T19:00:00Z,2025-03-17 20:07:17,3,E WIE EINFACH E-SPORTS,Karmine Corp Blue
LOLTMNT04_103276,113990318291620000,2025-03-18T16:00:00Z,2025-03-18 16:01:48,1,FlameHard,ZennIT
LOLTMNT04_102248,113990318291620020,2025-03-18T16:00:00Z,2025-03-18 16:01:51,1,Nightbirds,E WIE EINFACH E-SPORTS
LOLTMNT04_102250,113990318291619980,2025-03-18T16:00:00Z,2025-03-18 16:03:14,1,Team Phantasma,Crvena zvezda Esports
LOLTMNT04_102246,113990318291619960,2025-03-18T16:00:00Z,2025-03-18 16:07:46,1,Zero Tenacity,Barça eSports
LOLTMNT04_102251,113990318291620001,2025-03-18T16:00:00Z,2025-03-18 16:52:36,2,FlameHard,ZennIT
LOLTMNT04_103283,113990318291620021,2025-03-18T16:00:00Z,2025-03-18 16:53:27,2,E WIE EINFACH E-SPORTS,Nightbirds
LOLTMNT04_102252,113990318291619961,2025-03-18T16:00:00Z,2025-03-18 16:55:48,2,Zero Tenacity,Barça eSports
LOLTMNT04_103285,113990318291619981,2025-03-18T16:00:00Z,2025-03-18 16:58:15,2,Crvena zvezda Esports,Team Phantasma
LOLTMNT04_102256,113990318291620016,2025-03-18T19:00:00Z,2025-03-18 17:50:46,1,Los Ratones,Karmine Corp Blue
LOLTMNT04_103286,113990318291619956,2025-03-18T19:00:00Z,2025-03-18 17:51:55,1,Papara SuperMassive,Geekay Esports
LOLTMNT04_102257,113990318291619982,2025-03-18T16:00:00Z,2025-03-18 17:54:30,3,Team Phantasma,Crvena zvezda Esports
LOLTMNT04_102259,113990318291620002,2025-03-18T16:00:00Z,2025-03-18 17:59:30,3,ZennIT,FlameHard
LOLTMNT04_102260,113990318291619957,2025-03-18T19:00:00Z,2025-03-18 18:40:54,2,Geekay Esports,Papara SuperMassive
LOLTMNT04_103287,113990318291619976,2025-03-18T19:00:00Z,2025-03-18 18:48:51,1,Berlin International Gaming,Ici Japon Corp. Esport
LOLTMNT04_102261,113990318291620017,2025-03-18T19:00:00Z,2025-03-18 19:05:48,2,Los Ratones,Karmine Corp Blue
LOLTMNT04_102262,113990318291619996,2025-03-18T19:00:00Z,2025-03-18 19:17:00,1,Macko Esports,Los Heretics
LOLTMNT04_103290,113990318291619977,2025-03-18T19:00:00Z,2025-03-18 19:42:44,2,Berlin International Gaming,Ici Japon Corp. Esport
LOLTMNT04_103291,113990318291619997,2025-03-18T19:00:00Z,2025-03-18 20:30:57,2,Los Heretics,Macko Esports
LOLTMNT04_102264,113990318291619984,2025-03-19T16:00:00Z,2025-03-19 16:02:12,1,Berlin International Gaming,Team Phantasma
LOLTMNT04_102266,113990318291620004,2025-03-19T16:00:00Z,2025-03-19 16:03:04,1,Macko Esports,ZennIT
LOLTMNT04_103305,113990318291619985,2025-03-19T16:00:00Z,2025-03-19 16:56:59,2,Berlin International Gaming,Team Phantasma
LOLTMNT04_102267,113990318291620005,2025-03-19T16:00:00Z,2025-03-19 16:57:23,2,Macko Esports,ZennIT
LOLTMNT04_103310,113990318291620006,2025-03-19T16:00:00Z,2025-03-19 17:53:06,3,Macko Esports,ZennIT
LOLTMNT04_102272,113990318291619964,2025-03-19T19:00:00Z,2025-03-19 17:57:30,1,Barça eSports,Geekay Esports
LOLTMNT04_103321,113990318291619965,2025-03-19T19:00:00Z,2025-03-19 18:48:29,2,Geekay Esports,Barça eSports
LOLTMNT04_102277,113990318291620024,2025-03-19T19:00:00Z,2025-03-19 19:00:16,1,E WIE EINFACH E-SPORTS,Los Ratones
LOLTMNT04_102278,113990318291619966,2025-03-19T19:00:00Z,2025-03-19 19:32:32,3,Barça eSports,Geekay Esports
LOLTMNT04_102279,113990318291620025,2025-03-19T19:00:00Z,2025-03-19 20:06:28,2,Los Ratones,E WIE EINFACH E-SPORTS
