oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT01_210872,113470740396151228,2025-03-10T08:00:00Z,2025-03-10 08:17:32,1,Karmine Corp,Team Liquid
LOLTMNT01_210882,113470740396413373,2025-03-10T08:00:00Z,2025-03-10 09:10:52,2,Karmine Corp,Team Liquid
LOLTMNT01_210884,113470740396413374,2025-03-10T08:00:00Z,2025-03-10 09:59:58,3,Team Liquid,Karmine Corp
LOLTMNT01_210897,113470740396478936,2025-03-10T11:00:00Z,2025-03-10 11:02:32,1,Hanwha Life Esports,Top Esports
LOLTMNT01_210904,113470740396478937,2025-03-10T11:00:00Z,2025-03-10 11:53:27,2,Top Esports,Hanwha Life Esports
LOLTMNT01_213142,113470740396478932,2025-03-11T08:00:00Z,2025-03-11 08:15:15,1,CTBC Flying Oyster,Karmine Corp
LOLTMNT01_214068,113470740396478933,2025-03-11T08:00:00Z,2025-03-11 09:09:30,2,Karmine Corp,CTBC Flying Oyster
LOLTMNT01_214082,113470740396478916,2025-03-11T11:00:00Z,2025-03-11 10:09:47,1,Top Esports,Team Liquid
LOLTMNT01_214088,113470740396478917,2025-03-11T11:00:00Z,2025-03-11 11:00:43,2,Team Liquid,Top Esports
LOLTMNT01_213467,113470740396478940,2025-03-12T08:00:00Z,2025-03-12 08:13:19,1,Hanwha Life Esports,CTBC Flying Oyster
LOLTMNT01_213476,113470740396478941,2025-03-12T08:00:00Z,2025-03-12 08:58:24,2,CTBC Flying Oyster,Hanwha Life Esports
LOLTMNT01_213493,113470740396478928,2025-03-12T11:00:00Z,2025-03-12 09:51:18,1,Top Esports,Karmine Corp
LOLTMNT01_213503,113470740396478929,2025-03-12T11:00:00Z,2025-03-12 10:46:30,2,Top Esports,Karmine Corp
LOLTMNT01_214726,113470740396478920,2025-03-13T08:00:00Z,2025-03-13 08:14:10,1,Team Liquid,CTBC Flying Oyster
LOLTMNT01_214731,113470740396478921,2025-03-13T08:00:00Z,2025-03-13 09:05:20,2,Team Liquid,CTBC Flying Oyster
LOLTMNT01_213886,113470740396478924,2025-03-13T11:00:00Z,2025-03-13 10:04:11,1,Karmine Corp,Hanwha Life Esports
LOLTMNT01_213908,113470740396478925,2025-03-13T11:00:00Z,2025-03-13 11:00:53,2,Karmine Corp,Hanwha Life Esports
LOLTMNT01_213934,113470740396478926,2025-03-13T11:00:00Z,2025-03-13 12:03:34,3,Hanwha Life Esports,Karmine Corp
LOLTMNT01_216039,113470740396478944,2025-03-14T08:00:00Z,2025-03-14 08:12:46,1,CTBC Flying Oyster,Top Esports
LOLTMNT01_216067,113470740396478945,2025-03-14T08:00:00Z,2025-03-14 09:02:52,2,Top Esports,CTBC Flying Oyster
LOLTMNT01_215241,113470740396478912,2025-03-14T11:00:00Z,2025-03-14 10:03:02,1,Team Liquid,Hanwha Life Esports
LOLTMNT01_216119,113470740396478913,2025-03-14T11:00:00Z,2025-03-14 10:51:05,2,Team Liquid,Hanwha Life Esports
LOLTMNT01_215294,113470740396478914,2025-03-14T11:00:00Z,2025-03-14 11:50:34,3,Hanwha Life Esports,Team Liquid
LOLTMNT01_216433,113470740396478954,2025-03-15T04:00:00Z,2025-03-15 04:18:14,1,CTBC Flying Oyster,Karmine Corp
LOLTMNT01_216438,113470740396478955,2025-03-15T04:00:00Z,2025-03-15 05:15:36,2,CTBC Flying Oyster,Karmine Corp
LOLTMNT01_216453,113470740396478956,2025-03-15T04:00:00Z,2025-03-15 06:11:36,3,Karmine Corp,CTBC Flying Oyster
LOLTMNT01_215592,113470740396478957,2025-03-15T04:00:00Z,2025-03-15 07:04:46,4,CTBC Flying Oyster,Karmine Corp
LOLTMNT01_216472,113470740396478958,2025-03-15T04:00:00Z,2025-03-15 07:58:44,5,Karmine Corp,CTBC Flying Oyster
LOLTMNT01_216490,113470740396478948,2025-03-15T09:00:00Z,2025-03-15 09:03:49,1,Hanwha Life Esports,Top Esports
LOLTMNT01_216505,113470740396478949,2025-03-15T09:00:00Z,2025-03-15 09:53:59,2,Top Esports,Hanwha Life Esports
LOLTMNT01_216516,113470740396478950,2025-03-15T09:00:00Z,2025-03-15 10:44:24,3,Top Esports,Hanwha Life Esports
LOLTMNT01_216716,113470740396478960,2025-03-16T08:00:00Z,2025-03-16 08:15:11,1,Hanwha Life Esports,Karmine Corp
LOLTMNT01_215852,113470740396478961,2025-03-16T08:00:00Z,2025-03-16 09:12:52,2,Hanwha Life Esports,Karmine Corp
LOLTMNT01_215856,113470740396478962,2025-03-16T08:00:00Z,2025-03-16 10:04:05,3,Karmine Corp,Hanwha Life Esports
LOLTMNT01_215859,113470740396478963,2025-03-16T08:00:00Z,2025-03-16 10:51:43,4,Hanwha Life Esports,Karmine Corp
