oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT01_190386,113794239319404531,2025-01-22T14:00:00Z,2025-01-22 14:27:57,1,Actions Per Minute,Team Paradox
LOLTMNT01_190396,113794239319338955,2025-01-22T16:00:00Z,2025-01-22 16:18:42,1,WLGaming Esports,Team Insidious
LOLTMNT01_189496,113794239319338971,2025-01-23T14:00:00Z,2025-01-23 14:06:42,1,Team Paradox,WLGaming Esports
LOLTMNT01_189502,113794239319338957,2025-01-23T15:00:00Z,2025-01-23 14:57:00,1,Team Insidious,Team Refuse
LOLTMNT01_189529,113794239319404537,2025-01-23T17:00:00Z,2025-01-23 17:01:27,1,Team Phantasma,Actions Per Minute
LOLTMNT01_194511,113794239319338973,2025-01-28T15:00:00Z,2025-01-28 15:27:24,1,WLGaming Esports,Team Phantasma
LOLTMNT01_194545,113794239319338981,2025-01-28T16:00:00Z,2025-01-28 16:39:22,1,Team Refuse,Team Paradox
LOLTMNT01_194983,113794239319338983,2025-01-29T16:00:00Z,2025-01-29 16:36:28,1,Team Phantasma,Team Refuse
LOLTMNT01_195079,113794239319338977,2025-01-29T17:00:00Z,2025-01-29 17:23:03,1,Actions Per Minute,WLGaming Esports
LOLTMNT01_196409,113794239319404523,2025-01-30T15:00:00Z,2025-01-30 15:00:58,1,Team Refuse,Actions Per Minute
LOLTMNT01_196450,113794239319338959,2025-01-30T17:00:00Z,2025-01-30 16:58:35,1,Team Insidious,Team Paradox
LOLTMNT01_195973,113794239319338961,2025-01-31T14:00:00Z,2025-01-31 14:06:05,1,Team Phantasma,Team Insidious
LOLTMNT01_197070,113794239319338969,2025-01-31T17:00:00Z,2025-01-31 16:41:19,1,WLGaming Esports,Team Refuse
LOLTMNT01_202451,113794239319470093,2025-02-05T16:00:00Z,2025-02-05 16:02:10,1,Actions Per Minute,Team Insidious
LOLTMNT01_203408,113794239319535655,2025-02-05T17:00:00Z,2025-02-05 17:04:07,1,Team Phantasma,Team Paradox
LOLTMNT01_203640,113794239319535659,2025-02-06T14:00:00Z,2025-02-06 14:11:15,1,Team Paradox,Actions Per Minute
LOLTMNT01_203683,113794239319404547,2025-02-06T16:00:00Z,2025-02-06 15:58:37,1,Team Insidious,WLGaming Esports
LOLTMNT01_203908,113794239319470099,2025-02-07T14:00:00Z,2025-02-07 14:07:18,1,WLGaming Esports,Team Paradox
LOLTMNT01_203931,113794239319404549,2025-02-07T15:00:00Z,2025-02-07 15:07:16,1,Team Refuse,Team Insidious
LOLTMNT01_203968,113794239319535665,2025-02-07T17:00:00Z,2025-02-07 17:02:12,1,Actions Per Minute,Team Phantasma
LOLTMNT02_211781,113794239319470101,2025-02-11T15:00:00Z,2025-02-11 14:57:20,1,Team Phantasma,WLGaming Esports
LOLTMNT02_211806,113794239319470109,2025-02-11T16:00:00Z,2025-02-11 16:01:34,1,Team Paradox,Team Refuse
LOLTMNT02_213130,113794239319470105,2025-02-12T14:00:00Z,2025-02-12 14:07:54,1,WLGaming Esports,Actions Per Minute
LOLTMNT02_212789,113794239319470111,2025-02-12T16:00:00Z,2025-02-12 16:06:48,1,Team Refuse,Team Phantasma
LOLTMNT02_216109,113794239319470115,2025-02-13T15:00:00Z,2025-02-13 15:08:02,1,Actions Per Minute,Team Refuse
LOLTMNT02_216191,113794239319404551,2025-02-13T17:00:00Z,2025-02-13 17:12:33,1,Team Paradox,Team Insidious
LOLTMNT02_215532,113794239319470089,2025-02-14T14:00:00Z,2025-02-14 14:14:05,1,Team Insidious,Team Phantasma
LOLTMNT02_215669,113794239319470097,2025-02-14T17:00:00Z,2025-02-14 17:12:20,1,Team Refuse,WLGaming Esports
LOLTMNT02_221463,113794239319535681,2025-02-20T14:00:00Z,2025-02-20 14:05:26,1,WLGaming Esports,Actions Per Minute
LOLTMNT02_221486,113794239319535682,2025-02-20T14:00:00Z,2025-02-20 15:06:25,2,Actions Per Minute,WLGaming Esports
LOLTMNT03_204365,113794239319535693,2025-03-01T09:00:00Z,2025-03-01 09:48:13,1,Team Phantasma,WLGaming Esports
LOLTMNT03_204386,113794239319535694,2025-03-01T09:00:00Z,2025-03-01 10:59:56,2,WLGaming Esports,Team Phantasma
LOLTMNT02_241247,114183452239548782,2025-04-01T13:00:00Z,2025-04-01 13:08:30,1,Team Insidious,Team Paradox
LOLTMNT02_241282,114183452239614362,2025-04-01T15:00:00Z,2025-04-01 15:05:06,1,Team Phantasma,WLGaming Esports
LOLTMNT02_243277,114183452239614368,2025-04-04T13:00:00Z,2025-04-04 13:09:06,1,WLGaming Esports,Actions Per Minute
LOLTMNT03_215727,114183452239548800,2025-04-08T16:00:00Z,2025-04-08 16:13:29,1,Team Phantasma,Team Paradox
LOLTMNT03_218243,114183452239548804,2025-04-09T15:00:00Z,2025-04-09 14:55:30,1,Team Paradox,Actions Per Minute
LOLTMNT03_218275,114183452239548790,2025-04-09T16:00:00Z,2025-04-09 16:00:17,1,WLGaming Esports,Team Insidious
LOLTMNT03_225430,114183452239548788,2025-04-15T16:00:00Z,2025-04-15 16:09:10,1,Team Insidious,Team Phantasma
LOLTMNT03_230262,114183452239548802,2025-04-16T14:00:00Z,2025-04-16 14:42:15,1,Team Paradox,WLGaming Esports
LOLTMNT06_115075,114183452239614364,2025-04-16T16:00:00Z,2025-04-16 16:59:31,1,Team Phantasma,Actions Per Minute
LOLTMNT01_227970,114183452239548792,2025-04-22T14:00:00Z,2025-04-22 14:07:39,1,Team Insidious,Actions Per Minute
LOLTMNT01_228927,114183452239614418,2025-04-23T15:00:00Z,2025-04-23 15:08:15,1,WLGaming Esports,Team Phantasma
