oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT03_215656,114190162345606167,2025-04-08T14:00:00Z,2025-04-08 14:21:11,1,BRUTE,GLORE
LOLTMNT03_215695,114190162345606168,2025-04-08T14:00:00Z,2025-04-08 15:18:02,2,BRUTE,GLORE
LOLTMNT03_215728,114190162345606163,2025-04-08T17:00:00Z,2025-04-08 16:34:47,1,Team UNiTY,Dynamo Eclot
LOLTMNT03_215783,114190162345606164,2025-04-08T17:00:00Z,2025-04-08 17:42:19,2,Dynamo Eclot,Team UNiTY
LOLTMNT03_217227,114190162345606111,2025-04-09T14:00:00Z,2025-04-09 14:31:12,1,eSuba,Tan'i eSports CZ
LOLTMNT03_217270,114190162345606112,2025-04-09T14:00:00Z,2025-04-09 15:37:36,2,Tan'i eSports CZ,eSuba
LOLTMNT03_217298,114190162345606139,2025-04-09T17:00:00Z,2025-04-09 16:48:28,1,Nightbirds,Entropiq
LOLTMNT03_218358,114190162345606140,2025-04-09T17:00:00Z,2025-04-09 17:38:39,2,Entropiq,Nightbirds
LOLTMNT03_219383,114190162345606147,2025-04-10T15:00:00Z,2025-04-10 15:11:04,1,Dynamo Eclot,BRUTE
LOLTMNT03_218894,114190162345606148,2025-04-10T15:00:00Z,2025-04-10 16:05:05,2,Dynamo Eclot,BRUTE
LOLTMNT03_218948,114190162345606149,2025-04-10T15:00:00Z,2025-04-10 17:02:22,3,Dynamo Eclot,BRUTE
LOLTMNT03_218988,114190162345606115,2025-04-10T17:00:00Z,2025-04-10 18:06:54,1,Nightbirds,eSuba
LOLTMNT03_219535,114190162345606116,2025-04-10T17:00:00Z,2025-04-10 19:03:24,2,Nightbirds,eSuba
LOLTMNT03_219952,114190162345606143,2025-04-11T14:00:00Z,2025-04-11 14:09:46,1,Team UNiTY,Entropiq
LOLTMNT03_220000,114190162345606144,2025-04-11T14:00:00Z,2025-04-11 15:15:44,2,Team UNiTY,Entropiq
LOLTMNT03_221067,114190162345606145,2025-04-11T14:00:00Z,2025-04-11 16:12:25,3,Entropiq,Team UNiTY
LOLTMNT03_220558,114190162345606183,2025-04-11T17:00:00Z,2025-04-11 17:10:51,1,Tan'i eSports CZ,GLORE
LOLTMNT03_220616,114190162345606184,2025-04-11T17:00:00Z,2025-04-11 18:05:10,2,Tan'i eSports CZ,GLORE
LOLTMNT03_221187,114190162345606185,2025-04-11T17:00:00Z,2025-04-11 18:55:50,3,GLORE,Tan'i eSports CZ
LOLTMNT03_225351,114190162345606187,2025-04-15T14:00:00Z,2025-04-15 14:09:05,1,Nightbirds,GLORE
LOLTMNT03_225387,114190162345606188,2025-04-15T14:00:00Z,2025-04-15 15:05:42,2,Nightbirds,GLORE
LOLTMNT03_225429,114190162345606119,2025-04-15T17:00:00Z,2025-04-15 16:08:44,1,Team UNiTY,eSuba
LOLTMNT03_225477,114190162345606120,2025-04-15T17:00:00Z,2025-04-15 17:03:39,2,eSuba,Team UNiTY
LOLTMNT03_226003,114190162345606121,2025-04-15T17:00:00Z,2025-04-15 18:03:58,3,Team UNiTY,eSuba
