oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT01_189523,113667698748537239,2025-01-23T16:00:00Z,2025-01-23 16:22:48,1,Diversion Gaming,Mighty Eagles
LOLTMNT01_190509,113667698748537240,2025-01-23T16:00:00Z,2025-01-23 17:26:04,2,Mighty Eagles,Diversion Gaming
LOLTMNT03_190141,113667698748537243,2025-01-23T18:00:00Z,2025-01-23 18:52:21,1,KIA.eSuba Academy,Meavedron
LOLTMNT03_190157,113667698748537244,2025-01-23T18:00:00Z,2025-01-23 19:45:24,2,Meavedron,KIA.eSuba Academy
LOLTMNT03_189945,113667698748537245,2025-01-23T18:00:00Z,2025-01-23 20:51:50,3,KIA.eSuba Academy,Meavedron
LOLTMNT01_192226,113667698748537223,2025-01-24T16:00:00Z,2025-01-24 16:17:55,1,Ethereal Enigmas,Divernex
LOLTMNT01_192236,113667698748537224,2025-01-24T16:00:00Z,2025-01-24 17:11:31,2,Ethereal Enigmas,Divernex
LOLTMNT01_191260,113667698748537225,2025-01-24T16:00:00Z,2025-01-24 18:07:33,3,Divernex,Ethereal Enigmas
LOLTMNT01_192294,113667698748471675,2025-01-24T18:00:00Z,2025-01-24 19:03:15,1,CITA Kaizen,Team Meliora
LOLTMNT01_191298,113667698748471676,2025-01-24T18:00:00Z,2025-01-24 19:54:48,2,CITA Kaizen,Team Meliora
LOLTMNT01_194534,113667698748537251,2025-01-28T16:00:00Z,2025-01-28 16:10:58,1,Mighty Eagles,Meavedron
LOLTMNT01_194565,113667698748537252,2025-01-28T16:00:00Z,2025-01-28 17:15:24,2,Meavedron,Mighty Eagles
LOLTMNT01_193701,113667698748537253,2025-01-28T16:00:00Z,2025-01-28 18:14:17,3,Mighty Eagles,Meavedron
LOLTMNT01_193731,113667698748537227,2025-01-28T18:00:00Z,2025-01-28 19:15:39,1,Ethereal Enigmas,CITA Kaizen
LOLTMNT01_194670,113667698748537228,2025-01-28T18:00:00Z,2025-01-28 20:07:29,2,CITA Kaizen,Ethereal Enigmas
LOLTMNT01_194969,113667698748471671,2025-01-29T16:00:00Z,2025-01-29 16:14:02,1,Divernex,Team Meliora
LOLTMNT01_196019,113667698748471672,2025-01-29T16:00:00Z,2025-01-29 17:45:15,2,Divernex,Team Meliora
LOLTMNT01_195149,113667698748537231,2025-01-29T18:00:00Z,2025-01-29 18:42:39,1,KIA.eSuba Academy,Diversion Gaming
LOLTMNT01_195191,113667698748537232,2025-01-29T18:00:00Z,2025-01-29 19:41:44,2,KIA.eSuba Academy,Diversion Gaming
LOLTMNT01_196434,113667698748537247,2025-01-30T16:00:00Z,2025-01-30 16:12:12,1,Mighty Eagles,KIA.eSuba Academy
LOLTMNT01_195517,113667698748537248,2025-01-30T16:00:00Z,2025-01-30 17:09:33,2,Mighty Eagles,KIA.eSuba Academy
LOLTMNT01_196499,113667698748537249,2025-01-30T16:00:00Z,2025-01-30 18:06:29,3,KIA.eSuba Academy,Mighty Eagles
LOLTMNT01_196538,113667698748537219,2025-01-30T18:00:00Z,2025-01-30 19:11:06,1,CITA Kaizen,Divernex
LOLTMNT01_196570,113667698748537220,2025-01-30T18:00:00Z,2025-01-30 20:09:06,2,CITA Kaizen,Divernex
LOLTMNT01_195652,113667698748537221,2025-01-30T18:00:00Z,2025-01-30 21:09:24,3,CITA Kaizen,Divernex
