oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT03_183585,113780832654584510,2025-01-15T10:30:00Z,2025-01-15 11:26:48,1,DN SOOPers,Nongshim RedForce
LOLTMNT03_182705,113780832654584511,2025-01-15T10:30:00Z,2025-01-15 12:36:28,2,Nongshim RedForce,DN SOOPers
LOLTMNT03_182729,113780832654584512,2025-01-15T10:30:00Z,2025-01-15 13:34:29,3,DN SOOPers,Nongshim RedForce
LOLTMNT03_184086,113780832538454688,2025-01-16T08:00:00Z,2025-01-16 08:09:06,1,BNK FEARX,KT Rolster
LOLTMNT03_183991,113780832538454689,2025-01-16T08:00:00Z,2025-01-16 09:04:00,2,BNK FEARX,KT Rolster
LOLTMNT03_184105,113780832538454690,2025-01-16T08:00:00Z,2025-01-16 09:54:20,3,KT Rolster,BNK FEARX
LOLTMNT03_185025,113780832453061250,2025-01-16T10:30:00Z,2025-01-16 11:11:06,1,Dplus Kia,T1
LOLTMNT03_185042,113780832453061251,2025-01-16T10:30:00Z,2025-01-16 11:55:28,2,T1,Dplus Kia
LOLTMNT03_185067,113780832453061252,2025-01-16T10:30:00Z,2025-01-16 12:50:03,3,Dplus Kia,T1
LOLTMNT03_184622,113780832754133719,2025-01-17T10:30:00Z,2025-01-17 10:34:53,1,Nongshim RedForce,HANJIN BRION
LOLTMNT03_184660,113780832754133720,2025-01-17T10:30:00Z,2025-01-17 11:38:32,2,HANJIN BRION,Nongshim RedForce
LOLTMNT03_186192,113780832626272948,2025-01-18T06:00:00Z,2025-01-18 06:05:55,1,Dplus Kia,DN SOOPers
LOLTMNT03_187100,113780832626272949,2025-01-18T06:00:00Z,2025-01-18 06:57:05,2,DN SOOPers,Dplus Kia
LOLTMNT03_187435,113780832343091822,2025-01-19T06:00:00Z,2025-01-19 06:04:49,1,KT Rolster,Hanwha Life Esports
LOLTMNT03_187440,113780832343091823,2025-01-19T06:00:00Z,2025-01-19 06:54:25,2,KT Rolster,Hanwha Life Esports
LOLTMNT03_188641,113780832525740699,2025-01-22T08:00:00Z,2025-01-22 08:04:43,1,Dplus Kia,BNK FEARX
LOLTMNT03_188645,113780832525740700,2025-01-22T08:00:00Z,2025-01-22 08:55:05,2,BNK FEARX,Dplus Kia
LOLTMNT03_188655,113780832525740701,2025-01-22T08:00:00Z,2025-01-22 09:48:21,3,Dplus Kia,BNK FEARX
LOLTMNT03_190012,113780832368061043,2025-01-23T10:30:00Z,2025-01-23 10:34:33,1,Hanwha Life Esports,Nongshim RedForce
LOLTMNT03_190023,113780832368061044,2025-01-23T10:30:00Z,2025-01-23 11:32:01,2,Nongshim RedForce,Hanwha Life Esports
LOLTMNT03_190264,113780832470559367,2025-01-24T10:30:00Z,2025-01-24 11:12:47,1,T1,KT Rolster
LOLTMNT03_191065,113780832470690440,2025-01-24T10:30:00Z,2025-01-24 12:03:15,2,KT Rolster,T1
LOLTMNT03_191077,113780832470690441,2025-01-24T10:30:00Z,2025-01-24 13:04:39,3,T1,KT Rolster
LOLTMNT03_191178,113780832328346217,2025-01-25T06:00:00Z,2025-01-25 06:06:39,1,Hanwha Life Esports,Dplus Kia
LOLTMNT03_191179,113780832328346218,2025-01-25T06:00:00Z,2025-01-25 07:00:00,2,Hanwha Life Esports,Dplus Kia
LOLTMNT03_190416,113780832328346219,2025-01-25T06:00:00Z,2025-01-25 07:59:38,3,Dplus Kia,Hanwha Life Esports
LOLTMNT03_191289,113780832484780684,2025-01-26T06:00:00Z,2025-01-26 06:04:20,1,T1,Nongshim RedForce
LOLTMNT03_191291,113780832484780685,2025-01-26T06:00:00Z,2025-01-26 06:58:03,2,Nongshim RedForce,T1
LOLTMNT03_191298,113780832733031122,2025-01-26T08:30:00Z,2025-01-26 08:34:53,1,KT Rolster,HANJIN BRION
LOLTMNT03_190508,113780832733031123,2025-01-26T08:30:00Z,2025-01-26 09:36:41,2,HANJIN BRION,KT Rolster
LOLTMNT01_196721,113780832643181241,2025-01-31T08:00:00Z,2025-01-31 08:03:18,1,DN SOOPers,KT Rolster
LOLTMNT01_195821,113780832643181242,2025-01-31T08:00:00Z,2025-01-31 08:53:26,2,KT Rolster,DN SOOPers
LOLTMNT01_196743,113780832643181243,2025-01-31T08:00:00Z,2025-01-31 09:44:17,3,DN SOOPers,KT Rolster
LOLTMNT01_197638,113780832710159053,2025-02-01T08:30:00Z,2025-02-01 09:15:19,1,HANJIN BRION,Dplus Kia
LOLTMNT01_197663,113780832710159054,2025-02-01T08:30:00Z,2025-02-01 10:06:23,2,Dplus Kia,HANJIN BRION
LOLTMNT01_197690,113780832710159055,2025-02-01T08:30:00Z,2025-02-01 10:54:40,3,HANJIN BRION,Dplus Kia
LOLTMNT01_198801,113780832559098533,2025-02-02T06:00:00Z,2025-02-02 06:06:34,1,Nongshim RedForce,BNK FEARX
LOLTMNT01_198810,113780832559098534,2025-02-02T06:00:00Z,2025-02-02 06:55:43,2,BNK FEARX,Nongshim RedForce
LOLTMNT01_203863,113480935827278774,2025-02-07T10:30:00Z,2025-02-07 10:33:44,1,Nongshim RedForce,HANJIN BRION
LOLTMNT01_203871,113480935827278775,2025-02-07T10:30:00Z,2025-02-07 11:27:17,2,HANJIN BRION,Nongshim RedForce
LOLTMNT01_204096,113939330671349610,2025-02-08T06:00:00Z,2025-02-08 06:05:33,1,T1,Nongshim RedForce
LOLTMNT01_205030,113939330671349611,2025-02-08T06:00:00Z,2025-02-08 06:59:21,2,Nongshim RedForce,T1
LOLTMNT02_212651,113480952127938179,2025-02-12T08:00:00Z,2025-02-12 08:11:06,1,KT Rolster,Nongshim RedForce
LOLTMNT02_212665,113480952128200324,2025-02-12T08:00:00Z,2025-02-12 09:09:20,2,KT Rolster,Nongshim RedForce
LOLTMNT02_213066,113480952128265861,2025-02-12T08:00:00Z,2025-02-12 10:03:18,3,KT Rolster,Nongshim RedForce
LOLTMNT02_214006,113480952128462473,2025-02-13T08:00:00Z,2025-02-13 08:05:16,1,Hanwha Life Esports,T1
LOLTMNT02_214014,113480952128462474,2025-02-13T08:00:00Z,2025-02-13 08:54:58,2,T1,Hanwha Life Esports
LOLTMNT02_214018,113480952128462475,2025-02-13T08:00:00Z,2025-02-13 09:46:17,3,Hanwha Life Esports,T1
LOLTMNT02_213440,113480952128462476,2025-02-13T08:00:00Z,2025-02-13 10:41:37,4,T1,Hanwha Life Esports
LOLTMNT02_214059,113480952128462477,2025-02-13T08:00:00Z,2025-02-13 11:40:02,5,Hanwha Life Esports,T1
LOLTMNT02_215947,113480952128462479,2025-02-15T06:00:00Z,2025-02-15 06:06:56,1,Dplus Kia,Nongshim RedForce
LOLTMNT02_215958,113480952128462480,2025-02-15T06:00:00Z,2025-02-15 06:59:03,2,Nongshim RedForce,Dplus Kia
LOLTMNT02_216864,113480952128462481,2025-02-15T06:00:00Z,2025-02-15 07:47:46,3,Nongshim RedForce,Dplus Kia
LOLTMNT02_216888,113480952128462482,2025-02-15T06:00:00Z,2025-02-15 08:36:56,4,Dplus Kia,Nongshim RedForce
LOLTMNT02_222055,113480952128462491,2025-02-19T08:00:00Z,2025-02-19 08:06:35,1,Hanwha Life Esports,Dplus Kia
LOLTMNT02_222064,113480952128462492,2025-02-19T08:00:00Z,2025-02-19 08:57:23,2,Dplus Kia,Hanwha Life Esports
LOLTMNT02_222074,113480952128462493,2025-02-19T08:00:00Z,2025-02-19 09:57:34,3,Hanwha Life Esports,Dplus Kia
LOLTMNT02_221094,113480952128462494,2025-02-19T08:00:00Z,2025-02-19 10:58:30,4,Hanwha Life Esports,Dplus Kia
LOLTMNT02_221101,113480952128462495,2025-02-19T08:00:00Z,2025-02-19 11:52:23,5,Dplus Kia,Hanwha Life Esports
LOLTMNT02_241948,113503303285253050,2025-04-03T08:00:00Z,2025-04-03 08:09:21,1,Nongshim RedForce,HANJIN BRION
LOLTMNT02_241955,113503303285253051,2025-04-03T08:00:00Z,2025-04-03 09:06:27,2,HANJIN BRION,Nongshim RedForce
LOLTMNT02_241987,113503303285252998,2025-04-03T10:00:00Z,2025-04-03 10:26:24,1,BNK FEARX,Dplus Kia
LOLTMNT02_243004,113503303285252999,2025-04-03T10:00:00Z,2025-04-03 11:16:53,2,BNK FEARX,Dplus Kia
LOLTMNT02_242946,113503303285253000,2025-04-03T10:00:00Z,2025-04-03 12:04:23,3,Dplus Kia,BNK FEARX
LOLTMNT02_243218,113503303285187406,2025-04-04T08:00:00Z,2025-04-04 08:09:26,1,Hanwha Life Esports,KT Rolster
LOLTMNT02_243219,113503303285187407,2025-04-04T08:00:00Z,2025-04-04 09:07:00,2,KT Rolster,Hanwha Life Esports
LOLTMNT02_244146,113503303285187408,2025-04-04T08:00:00Z,2025-04-04 10:04:22,3,Hanwha Life Esports,KT Rolster
LOLTMNT02_244356,113503303285252990,2025-04-05T06:00:00Z,2025-04-05 06:08:15,1,HANJIN BRION,BNK FEARX
LOLTMNT02_243459,113503303285252991,2025-04-05T06:00:00Z,2025-04-05 07:01:01,2,BNK FEARX,HANJIN BRION
LOLTMNT02_244383,113503303285252992,2025-04-05T06:00:00Z,2025-04-05 07:55:21,3,HANJIN BRION,BNK FEARX
LOLTMNT02_243506,113503303285253030,2025-04-05T08:00:00Z,2025-04-05 09:06:40,1,DN SOOPers,Nongshim RedForce
LOLTMNT02_244407,113503303285253031,2025-04-05T08:00:00Z,2025-04-05 10:14:00,2,DN SOOPers,Nongshim RedForce
LOLTMNT02_244630,113503303285384146,2025-04-06T06:00:00Z,2025-04-06 06:07:19,1,KT Rolster,Dplus Kia
LOLTMNT02_243751,113503303285384147,2025-04-06T06:00:00Z,2025-04-06 07:07:17,2,KT Rolster,Dplus Kia
LOLTMNT03_218043,113503303285187390,2025-04-09T08:00:00Z,2025-04-09 08:10:53,1,DN SOOPers,Hanwha Life Esports
LOLTMNT03_218051,113503303285187391,2025-04-09T08:00:00Z,2025-04-09 09:08:54,2,DN SOOPers,Hanwha Life Esports
LOLTMNT03_217087,113503303285187392,2025-04-09T08:00:00Z,2025-04-09 10:05:44,3,Hanwha Life Esports,DN SOOPers
LOLTMNT03_218101,113503303285253042,2025-04-09T10:00:00Z,2025-04-09 11:19:20,1,Dplus Kia,HANJIN BRION
LOLTMNT03_218134,113503303285253043,2025-04-09T10:00:00Z,2025-04-09 12:10:40,2,HANJIN BRION,Dplus Kia
LOLTMNT03_219187,113503303285187438,2025-04-10T10:00:00Z,2025-04-10 10:32:59,1,T1,KT Rolster
LOLTMNT03_218683,113503303285252975,2025-04-10T10:00:00Z,2025-04-10 11:20:38,2,KT Rolster,T1
LOLTMNT03_220261,113503303285253014,2025-04-11T08:00:00Z,2025-04-11 08:06:10,1,HANJIN BRION,DN SOOPers
LOLTMNT03_219798,113503303285253015,2025-04-11T08:00:00Z,2025-04-11 08:59:22,2,HANJIN BRION,DN SOOPers
LOLTMNT03_220286,113503303285253016,2025-04-11T08:00:00Z,2025-04-11 09:51:57,3,DN SOOPers,HANJIN BRION
LOLTMNT03_221513,113503303285187382,2025-04-12T06:00:00Z,2025-04-12 06:07:11,1,Hanwha Life Esports,T1
LOLTMNT03_221558,113503303285187383,2025-04-12T06:00:00Z,2025-04-12 07:00:01,2,T1,Hanwha Life Esports
LOLTMNT03_222019,113503303285253002,2025-04-12T08:00:00Z,2025-04-12 08:29:02,1,KT Rolster,BNK FEARX
LOLTMNT03_221610,113503303285253003,2025-04-12T08:00:00Z,2025-04-12 09:21:23,2,BNK FEARX,KT Rolster
LOLTMNT03_221634,113503303285253004,2025-04-12T08:00:00Z,2025-04-12 10:12:46,3,KT Rolster,BNK FEARX
LOLTMNT03_230058,113503303285252978,2025-04-16T08:00:00Z,2025-04-16 08:05:15,1,T1,Nongshim RedForce
LOLTMNT03_229082,113503303285252979,2025-04-16T08:00:00Z,2025-04-16 09:00:40,2,Nongshim RedForce,T1
LOLTMNT03_229092,113503303285252980,2025-04-16T08:00:00Z,2025-04-16 09:52:25,3,T1,Nongshim RedForce
LOLTMNT03_230518,113503303285253046,2025-04-17T10:00:00Z,2025-04-17 10:11:54,1,HANJIN BRION,KT Rolster
LOLTMNT03_229541,113503303285253047,2025-04-17T10:00:00Z,2025-04-17 11:17:08,2,HANJIN BRION,KT Rolster
LOLTMNT03_230548,113503303285253048,2025-04-17T10:00:00Z,2025-04-17 12:08:37,3,KT Rolster,HANJIN BRION
LOLTMNT03_229809,113503303285187418,2025-04-18T08:00:00Z,2025-04-18 08:05:29,1,BNK FEARX,T1
LOLTMNT03_229822,113503303285187419,2025-04-18T08:00:00Z,2025-04-18 09:10:00,2,BNK FEARX,T1
LOLTMNT03_230810,113503303285187420,2025-04-18T08:00:00Z,2025-04-18 10:05:30,3,T1,BNK FEARX
LOLTMNT03_230842,113503303285253022,2025-04-18T10:00:00Z,2025-04-18 11:20:55,1,DN SOOPers,Dplus Kia
LOLTMNT03_230854,113503303285253023,2025-04-18T10:00:00Z,2025-04-18 12:10:51,2,DN SOOPers,Dplus Kia
LOLTMNT03_231086,113503303285187410,2025-04-19T08:00:00Z,2025-04-19 08:15:16,1,Nongshim RedForce,Hanwha Life Esports
