oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT03_180652,113798809744929878,2025-01-13T07:30:00Z,2025-01-13 07:32:39,1,HANJIN BRION Challengers,T1 Esports Academy
LOLTMNT03_180657,113798809744929879,2025-01-13T07:30:00Z,2025-01-13 08:22:46,2,HANJIN BRION Challengers,T1 Esports Academy
LOLTMNT03_180680,113798809602389048,2025-01-13T10:00:00Z,2025-01-13 10:02:34,1,BNK FEARX Youth,Hanwha Life Esports Challengers
LOLTMNT03_181730,113798809602389049,2025-01-13T10:00:00Z,2025-01-13 10:53:41,2,Hanwha Life Esports Challengers,BNK FEARX Youth
LOLTMNT03_181763,113798809602389050,2025-01-13T10:00:00Z,2025-01-13 11:42:55,3,Hanwha Life Esports Challengers,BNK FEARX Youth
LOLTMNT03_182166,113798809405518844,2025-01-14T08:00:00Z,2025-01-14 08:05:46,1,Dplus Kia Challengers,KT Rolster Challengers
LOLTMNT03_182173,113798809405518845,2025-01-14T08:00:00Z,2025-01-14 08:53:02,2,KT Rolster Challengers,Dplus Kia Challengers
LOLTMNT03_183141,113798809514767386,2025-01-14T10:30:00Z,2025-01-14 10:33:25,1,DRX Challengers,Gen.G Global Academy
LOLTMNT03_183156,113798809514767387,2025-01-14T10:30:00Z,2025-01-14 11:23:20,2,Gen.G Global Academy,DRX Challengers
LOLTMNT03_184010,113798809897628783,2025-01-16T05:00:00Z,2025-01-16 05:07:04,1,DN SOOPers Challengers,HANJIN BRION Challengers
LOLTMNT03_184009,113798809450411014,2025-01-16T05:00:00Z,2025-01-16 05:08:56,1,KT Rolster Challengers,Hanwha Life Esports Challengers
LOLTMNT03_183923,113798809897628784,2025-01-16T05:00:00Z,2025-01-16 05:55:37,2,HANJIN BRION Challengers,DN SOOPers Challengers
LOLTMNT03_184034,113798809450411015,2025-01-16T05:00:00Z,2025-01-16 06:12:09,2,Hanwha Life Esports Challengers,KT Rolster Challengers
LOLTMNT03_184504,113798809714259020,2025-01-17T05:00:00Z,2025-01-17 05:07:13,1,T1 Esports Academy,Gen.G Global Academy
LOLTMNT03_185405,113798809573422126,2025-01-17T05:00:00Z,2025-01-17 05:08:11,1,BNK FEARX Youth,Dplus Kia Challengers
LOLTMNT03_184518,113798809573422127,2025-01-17T05:00:00Z,2025-01-17 05:55:48,2,Dplus Kia Challengers,BNK FEARX Youth
LOLTMNT03_184519,113798809714259021,2025-01-17T05:00:00Z,2025-01-17 05:56:23,2,T1 Esports Academy,Gen.G Global Academy
LOLTMNT03_186856,113798809462338571,2025-01-20T05:00:00Z,2025-01-20 05:05:34,1,KT Rolster Challengers,HANJIN BRION Challengers
LOLTMNT03_186861,113798809462338572,2025-01-20T05:00:00Z,2025-01-20 05:53:09,2,HANJIN BRION Challengers,KT Rolster Challengers
LOLTMNT03_186902,113798809588495411,2025-01-20T07:30:00Z,2025-01-20 10:01:53,1,BNK FEARX Youth,Gen.G Global Academy
LOLTMNT03_186913,113798809588495412,2025-01-20T07:30:00Z,2025-01-20 10:53:05,2,Gen.G Global Academy,BNK FEARX Youth
LOLTMNT03_186938,113798809588495413,2025-01-20T07:30:00Z,2025-01-20 11:54:43,3,Gen.G Global Academy,BNK FEARX Youth
LOLTMNT03_186971,113798809800438880,2025-01-20T10:00:00Z,2025-01-20 13:06:52,1,DN SOOPers Challengers,Dplus Kia Challengers
LOLTMNT03_187887,113798809800438881,2025-01-20T10:00:00Z,2025-01-20 14:09:29,2,Dplus Kia Challengers,DN SOOPers Challengers
LOLTMNT03_188043,113798809800438882,2025-01-20T10:00:00Z,2025-01-20 15:10:21,3,DN SOOPers Challengers,Dplus Kia Challengers
LOLTMNT03_189101,113798809532986399,2025-01-21T08:00:00Z,2025-01-21 08:06:48,1,DRX Challengers,Hanwha Life Esports Challengers
LOLTMNT03_188256,113798809532986400,2025-01-21T08:00:00Z,2025-01-21 09:10:56,2,Hanwha Life Esports Challengers,DRX Challengers
LOLTMNT03_189734,113798809440711681,2025-01-23T05:00:00Z,2025-01-23 05:08:16,1,Gen.G Global Academy,KT Rolster Challengers
LOLTMNT03_189728,113798809692959815,2025-01-23T05:00:00Z,2025-01-23 05:08:39,1,T1 Esports Academy,Dplus Kia Challengers
LOLTMNT03_188947,113798809693025352,2025-01-23T05:00:00Z,2025-01-23 06:01:05,2,T1 Esports Academy,Dplus Kia Challengers
LOLTMNT03_189744,113798809440711682,2025-01-23T05:00:00Z,2025-01-23 06:02:52,2,Gen.G Global Academy,KT Rolster Challengers
LOLTMNT03_189753,113798809693025353,2025-01-23T05:00:00Z,2025-01-23 06:48:12,3,Dplus Kia Challengers,T1 Esports Academy
LOLTMNT03_190195,113798809549829156,2025-01-24T05:00:00Z,2025-01-24 05:04:57,1,HANJIN BRION Challengers,DRX Challengers
LOLTMNT03_190194,113798809863091306,2025-01-24T05:00:00Z,2025-01-24 05:07:58,1,Hanwha Life Esports Challengers,DN SOOPers Challengers
LOLTMNT03_190201,113798809549829157,2025-01-24T05:00:00Z,2025-01-24 05:55:58,2,HANJIN BRION Challengers,DRX Challengers
LOLTMNT03_190204,113798809863091307,2025-01-24T05:00:00Z,2025-01-24 06:03:42,2,DN SOOPers Challengers,Hanwha Life Esports Challengers
LOLTMNT03_189997,113798809863091308,2025-01-24T05:00:00Z,2025-01-24 06:59:29,3,Hanwha Life Esports Challengers,DN SOOPers Challengers
LOLTMNT01_199664,113798809732936785,2025-02-03T05:00:00Z,2025-02-03 05:09:24,1,Hanwha Life Esports Challengers,T1 Esports Academy
LOLTMNT01_199677,113798809732936786,2025-02-03T05:00:00Z,2025-02-03 06:02:19,2,Hanwha Life Esports Challengers,T1 Esports Academy
LOLTMNT01_199706,113798809491305493,2025-02-03T07:30:00Z,2025-02-03 07:38:39,1,Dplus Kia Challengers,DRX Challengers
LOLTMNT01_199711,113798809491305494,2025-02-03T07:30:00Z,2025-02-03 08:30:37,2,Dplus Kia Challengers,DRX Challengers
LOLTMNT01_199725,113798809491305495,2025-02-03T07:30:00Z,2025-02-03 09:26:59,3,DRX Challengers,Dplus Kia Challengers
LOLTMNT01_200818,113798809834255461,2025-02-04T08:00:00Z,2025-02-04 08:05:04,1,DN SOOPers Challengers,Gen.G Global Academy
LOLTMNT01_201204,113798809834255462,2025-02-04T08:00:00Z,2025-02-04 09:15:16,2,Gen.G Global Academy,DN SOOPers Challengers
LOLTMNT01_201218,113798809622705213,2025-02-04T10:30:00Z,2025-02-04 10:32:56,1,HANJIN BRION Challengers,BNK FEARX Youth
LOLTMNT01_200864,113798809622705214,2025-02-04T10:30:00Z,2025-02-04 11:24:12,2,BNK FEARX Youth,HANJIN BRION Challengers
LOLTMNT01_201245,113798809622705215,2025-02-04T10:30:00Z,2025-02-04 12:15:29,3,HANJIN BRION Challengers,BNK FEARX Youth
