oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT03_185513,113476466603365075,2025-01-17T10:00:00Z,2025-01-17 10:52:29,1,CTBC Flying Oyster,MGN Vikings Esports
LOLTMNT03_185549,113476466603365076,2025-01-17T10:00:00Z,2025-01-17 11:56:40,2,CTBC Flying Oyster,MGN Vikings Esports
LOLTMNT03_184704,113476466603365077,2025-01-17T10:00:00Z,2025-01-17 12:51:12,3,MGN Vikings Esports,CTBC Flying Oyster
LOLTMNT03_185634,113476466603365143,2025-01-17T12:30:00Z,2025-01-17 14:23:04,1,Fukuoka SoftBank HAWKS gaming,GAM Esports
LOLTMNT03_184820,113476466603365144,2025-01-17T12:30:00Z,2025-01-17 15:16:25,2,Fukuoka SoftBank HAWKS gaming,GAM Esports
LOLTMNT03_184865,113476466603365145,2025-01-17T12:30:00Z,2025-01-17 16:31:47,3,GAM Esports,Fukuoka SoftBank HAWKS gaming
LOLTMNT01_190147,113476466603365131,2025-01-18T10:00:00Z,2025-01-18 10:26:59,1,Team Secret Whales,DetonatioN FocusMe
LOLTMNT01_190170,113476466603365132,2025-01-18T10:00:00Z,2025-01-18 11:21:08,2,DetonatioN FocusMe,Team Secret Whales
LOLTMNT01_190206,113476466603365103,2025-01-18T12:30:00Z,2025-01-18 13:28:20,1,PSG Talon,Chiefs Esports Club
LOLTMNT01_189225,113476466603365104,2025-01-18T12:30:00Z,2025-01-18 14:32:40,2,Chiefs Esports Club,PSG Talon
LOLTMNT01_190269,113476466603365135,2025-01-19T10:00:00Z,2025-01-19 10:37:27,1,GAM Esports,MGN Vikings Esports
LOLTMNT01_189281,113476466603365136,2025-01-19T10:00:00Z,2025-01-19 11:42:16,2,MGN Vikings Esports,GAM Esports
LOLTMNT01_189290,113476466603365083,2025-01-19T12:30:00Z,2025-01-19 13:25:52,1,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster
LOLTMNT01_189291,113476466603365084,2025-01-19T12:30:00Z,2025-01-19 14:29:13,2,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster
LOLTMNT03_191042,113476466603365091,2025-01-24T10:00:00Z,2025-01-24 10:32:10,1,Chiefs Esports Club,DetonatioN FocusMe
LOLTMNT03_190272,113476466603365092,2025-01-24T10:00:00Z,2025-01-24 11:40:03,2,DetonatioN FocusMe,Chiefs Esports Club
LOLTMNT03_191076,113476466603365093,2025-01-24T10:00:00Z,2025-01-24 12:35:25,3,Chiefs Esports Club,DetonatioN FocusMe
LOLTMNT03_191114,113476466603365167,2025-01-24T12:30:00Z,2025-01-24 14:06:41,1,PSG Talon,Team Secret Whales
LOLTMNT03_191124,113476466603365168,2025-01-24T12:30:00Z,2025-01-24 15:09:48,2,Team Secret Whales,PSG Talon
LOLTMNT01_191513,113476466603365155,2025-01-25T10:00:00Z,2025-01-25 10:23:08,1,Fukuoka SoftBank HAWKS gaming,MGN Vikings Esports
LOLTMNT01_192554,113476466603365156,2025-01-25T10:00:00Z,2025-01-25 11:12:38,2,Fukuoka SoftBank HAWKS gaming,MGN Vikings Esports
LOLTMNT01_192599,113476466603365072,2025-01-25T12:30:00Z,2025-01-25 13:48:48,2,GAM Esports,CTBC Flying Oyster
LOLTMNT01_192618,113476466603365073,2025-01-25T12:30:00Z,2025-01-25 14:53:39,3,CTBC Flying Oyster,GAM Esports
LOLTMNT01_191882,113476466603365111,2025-01-26T10:00:00Z,2025-01-26 10:18:28,1,Chiefs Esports Club,Team Secret Whales
LOLTMNT01_191887,113476466603365112,2025-01-26T10:00:00Z,2025-01-26 11:11:07,2,Chiefs Esports Club,Team Secret Whales
LOLTMNT01_192954,113476466603365123,2025-01-26T12:30:00Z,2025-01-26 12:46:08,1,PSG Talon,DetonatioN FocusMe
LOLTMNT01_192973,113476466603365124,2025-01-26T12:30:00Z,2025-01-26 13:46:57,2,DetonatioN FocusMe,PSG Talon
LOLTMNT01_202632,113476466603299531,2025-02-06T10:00:00Z,2025-02-06 10:21:50,1,CTBC Flying Oyster,DetonatioN FocusMe
LOLTMNT01_202642,113476466603299532,2025-02-06T10:00:00Z,2025-02-06 11:13:20,2,DetonatioN FocusMe,CTBC Flying Oyster
LOLTMNT01_202660,113476466603365159,2025-02-06T12:30:00Z,2025-02-06 12:17:43,1,MGN Vikings Esports,Team Secret Whales
LOLTMNT01_202679,113476466603365160,2025-02-06T12:30:00Z,2025-02-06 13:23:44,2,Team Secret Whales,MGN Vikings Esports
LOLTMNT01_202919,113476466603365163,2025-02-07T10:00:00Z,2025-02-07 10:25:02,1,Fukuoka SoftBank HAWKS gaming,PSG Talon
LOLTMNT01_203870,113476466603365164,2025-02-07T10:00:00Z,2025-02-07 11:15:38,2,Fukuoka SoftBank HAWKS gaming,PSG Talon
LOLTMNT01_202959,113476466603365095,2025-02-07T12:30:00Z,2025-02-07 12:25:59,1,Chiefs Esports Club,GAM Esports
LOLTMNT01_203901,113476466603365096,2025-02-07T12:30:00Z,2025-02-07 13:16:59,2,Chiefs Esports Club,GAM Esports
LOLTMNT02_209518,113476466603365087,2025-02-08T10:00:00Z,2025-02-08 10:19:56,1,CTBC Flying Oyster,Team Secret Whales
LOLTMNT02_209539,113476466603365088,2025-02-08T10:00:00Z,2025-02-08 11:28:55,2,Team Secret Whales,CTBC Flying Oyster
LOLTMNT02_209565,113476466603365089,2025-02-08T10:00:00Z,2025-02-08 12:23:23,3,CTBC Flying Oyster,Team Secret Whales
LOLTMNT02_209616,113476466603365119,2025-02-08T12:30:00Z,2025-02-08 13:40:46,1,MGN Vikings Esports,DetonatioN FocusMe
LOLTMNT02_209674,113476466603365120,2025-02-08T12:30:00Z,2025-02-08 14:31:43,2,DetonatioN FocusMe,MGN Vikings Esports
LOLTMNT02_209765,113476466603365121,2025-02-08T12:30:00Z,2025-02-08 15:25:51,3,MGN Vikings Esports,DetonatioN FocusMe
LOLTMNT02_207868,113476466603365107,2025-02-09T10:00:00Z,2025-02-09 10:19:11,1,Chiefs Esports Club,Fukuoka SoftBank HAWKS gaming
LOLTMNT02_210459,113476466603365108,2025-02-09T10:00:00Z,2025-02-09 11:10:02,2,Fukuoka SoftBank HAWKS gaming,Chiefs Esports Club
LOLTMNT02_207916,113476466603365139,2025-02-09T12:30:00Z,2025-02-09 12:25:11,1,PSG Talon,GAM Esports
LOLTMNT02_207935,113476466603365140,2025-02-09T12:30:00Z,2025-02-09 13:16:42,2,GAM Esports,PSG Talon
LOLTMNT02_210527,113476466603365141,2025-02-09T12:30:00Z,2025-02-09 14:19:24,3,PSG Talon,GAM Esports
LOLTMNT02_214038,113476466603365171,2025-02-13T10:00:00Z,2025-02-13 10:19:49,1,Fukuoka SoftBank HAWKS gaming,Team Secret Whales
LOLTMNT02_213465,113476466603365172,2025-02-13T10:00:00Z,2025-02-13 11:15:01,2,Team Secret Whales,Fukuoka SoftBank HAWKS gaming
LOLTMNT02_216021,113476466603365115,2025-02-13T12:30:00Z,2025-02-13 12:45:11,1,GAM Esports,DetonatioN FocusMe
LOLTMNT02_216058,113476466603365116,2025-02-13T12:30:00Z,2025-02-13 13:39:02,2,DetonatioN FocusMe,GAM Esports
LOLTMNT02_216452,113476466603365099,2025-02-14T10:00:00Z,2025-02-14 10:19:31,1,Chiefs Esports Club,MGN Vikings Esports
LOLTMNT02_216463,113476466603365100,2025-02-14T10:00:00Z,2025-02-14 11:05:29,2,MGN Vikings Esports,Chiefs Esports Club
LOLTMNT02_215487,113476466603365079,2025-02-14T12:30:00Z,2025-02-14 12:13:53,1,CTBC Flying Oyster,PSG Talon
LOLTMNT02_216518,113476466603365080,2025-02-14T12:30:00Z,2025-02-14 13:11:22,2,PSG Talon,CTBC Flying Oyster
LOLTMNT02_215538,113476466603365081,2025-02-14T12:30:00Z,2025-02-14 14:09:35,3,CTBC Flying Oyster,PSG Talon
LOLTMNT02_216943,113476466603365127,2025-02-15T10:00:00Z,2025-02-15 10:22:52,1,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming
LOLTMNT02_217067,113476466603365128,2025-02-15T10:00:00Z,2025-02-15 11:17:30,2,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming
LOLTMNT02_217112,113476466603365147,2025-02-15T12:30:00Z,2025-02-15 12:39:45,1,Team Secret Whales,GAM Esports
