oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT06_96344,113476054450558828,2025-01-18T17:00:00Z,2025-01-18 17:09:08,1,Team Heretics,Rogue
LOLTMNT06_95363,113476054450558888,2025-01-18T18:30:00Z,2025-01-18 19:05:05,1,GiantX,SK Gaming
LOLTMNT06_96368,113476054450558906,2025-01-18T19:15:00Z,2025-01-18 19:59:46,1,Movistar KOI,Fnatic
LOLTMNT06_95385,113476054450558916,2025-01-18T20:00:00Z,2025-01-18 21:00:09,1,Karmine Corp,G2 Esports
LOLTMNT06_96430,113476054450558836,2025-01-19T17:00:00Z,2025-01-19 17:06:11,1,Team Heretics,SK Gaming
LOLTMNT06_95435,113476054450558850,2025-01-19T17:45:00Z,2025-01-19 17:59:13,1,Rogue,GiantX
LOLTMNT06_95446,113476054450558908,2025-01-19T18:30:00Z,2025-01-19 19:21:06,1,Movistar KOI,Karmine Corp
LOLTMNT06_96473,113476054450558870,2025-01-19T20:00:00Z,2025-01-19 21:18:52,1,Fnatic,Team Vitality
LOLTMNT06_96516,113476054450558840,2025-01-20T17:45:00Z,2025-01-20 18:05:02,1,Team Heretics,Fnatic
LOLTMNT06_96529,113476054450558868,2025-01-20T18:30:00Z,2025-01-20 18:52:10,1,Movistar KOI,Team Vitality
LOLTMNT06_95531,113476054450558904,2025-01-20T19:15:00Z,2025-01-20 19:48:37,1,G2 Esports,SK Gaming
LOLTMNT06_96548,113476054450558894,2025-01-20T20:00:00Z,2025-01-20 20:43:00,1,GiantX,Karmine Corp
LOLTMNT04_92110,113476054450558856,2025-01-25T17:00:00Z,2025-01-25 17:08:30,1,Rogue,Fnatic
LOLTMNT04_92126,113476054450558890,2025-01-25T18:30:00Z,2025-01-25 19:08:52,1,GiantX,Movistar KOI
LOLTMNT04_92133,113476054450558874,2025-01-25T19:15:00Z,2025-01-25 20:07:47,1,Team Vitality,G2 Esports
LOLTMNT04_92142,113476054450558902,2025-01-25T20:00:00Z,2025-01-25 21:14:10,1,Karmine Corp,SK Gaming
LOLTMNT04_92193,113476054450558834,2025-01-26T17:00:00Z,2025-01-26 17:07:00,1,GiantX,Team Heretics
LOLTMNT04_93166,113476054450558866,2025-01-26T17:45:00Z,2025-01-26 17:57:24,1,SK Gaming,Team Vitality
LOLTMNT04_93174,113476054450558914,2025-01-26T18:30:00Z,2025-01-26 19:04:12,1,Fnatic,G2 Esports
LOLTMNT04_92211,113476054450558858,2025-01-26T19:15:00Z,2025-01-26 19:52:31,1,Karmine Corp,Rogue
LOLTMNT04_92277,113476054450558846,2025-01-27T17:00:00Z,2025-01-27 17:07:16,1,Team Vitality,Rogue
LOLTMNT04_93287,113476054450558896,2025-01-27T18:30:00Z,2025-01-27 19:06:14,1,G2 Esports,GiantX
LOLTMNT04_93299,113476054450558842,2025-01-27T19:15:00Z,2025-01-27 19:53:56,1,Karmine Corp,Team Heretics
LOLTMNT04_93308,113476054450558898,2025-01-27T20:00:00Z,2025-01-27 20:50:22,1,SK Gaming,Movistar KOI
LOLTMNT04_92679,113476054450558892,2025-02-01T17:45:00Z,2025-02-01 17:56:54,1,GiantX,Fnatic
LOLTMNT04_92696,113476054450558860,2025-02-01T18:30:00Z,2025-02-01 18:52:30,1,Rogue,G2 Esports
LOLTMNT04_92709,113476054450558838,2025-02-01T19:15:00Z,2025-02-01 19:44:04,1,Team Heretics,Movistar KOI
LOLTMNT04_92728,113476054450558872,2025-02-01T20:00:00Z,2025-02-01 20:43:29,1,Team Vitality,Karmine Corp
LOLTMNT04_93871,113476054450558852,2025-02-02T17:00:00Z,2025-02-02 17:07:20,1,Rogue,SK Gaming
LOLTMNT04_92827,113476054450558912,2025-02-02T18:30:00Z,2025-02-02 18:59:16,1,Fnatic,Karmine Corp
LOLTMNT04_92843,113476054450558830,2025-02-02T19:15:00Z,2025-02-02 19:46:21,1,Team Heretics,Team Vitality
LOLTMNT04_93937,113476054450558910,2025-02-02T20:00:00Z,2025-02-02 20:42:01,1,G2 Esports,Movistar KOI
LOLTMNT04_92941,113476054450558864,2025-02-03T17:00:00Z,2025-02-03 17:05:40,1,Team Vitality,GiantX
LOLTMNT04_92952,113476054450558854,2025-02-03T17:45:00Z,2025-02-03 17:55:39,1,Movistar KOI,Rogue
LOLTMNT04_92989,113476054450558844,2025-02-03T19:15:00Z,2025-02-03 19:36:03,1,G2 Esports,Team Heretics
LOLTMNT04_94054,113476054450558900,2025-02-03T20:00:00Z,2025-02-03 20:28:27,1,SK Gaming,Fnatic
LOLTMNT05_111524,113476054450558918,2025-02-15T17:00:00Z,2025-02-15 17:12:10,1,Fnatic,Team Heretics
LOLTMNT05_112394,113476054450558919,2025-02-15T17:00:00Z,2025-02-15 17:58:23,2,Team Heretics,Fnatic
LOLTMNT05_112400,113476054450558922,2025-02-15T19:00:00Z,2025-02-15 18:57:18,1,G2 Esports,GiantX
LOLTMNT05_112410,113476054450558923,2025-02-15T19:00:00Z,2025-02-15 19:58:48,2,GiantX,G2 Esports
LOLTMNT05_112521,113476054450558930,2025-02-16T19:00:00Z,2025-02-16 19:07:09,1,Karmine Corp,Team Vitality
LOLTMNT05_112538,113476054450558931,2025-02-16T19:00:00Z,2025-02-16 19:59:43,2,Team Vitality,Karmine Corp
LOLTMNT05_111721,113476054450558934,2025-02-17T17:00:00Z,2025-02-17 17:17:33,1,Fnatic,G2 Esports
LOLTMNT05_111732,113476054450558935,2025-02-17T17:00:00Z,2025-02-17 18:23:54,2,Fnatic,G2 Esports
LOLTMNT05_111735,113476054450558938,2025-02-17T19:00:00Z,2025-02-17 19:18:39,1,Karmine Corp,Movistar KOI
LOLTMNT05_111750,113476054450558939,2025-02-17T19:00:00Z,2025-02-17 20:07:22,2,Movistar KOI,Karmine Corp
LOLTMNT05_114277,113476054450558942,2025-02-22T19:00:00Z,2025-02-22 20:05:16,1,GiantX,Team Heretics
LOLTMNT05_113307,113476054450558943,2025-02-22T19:00:00Z,2025-02-22 20:53:51,2,Team Heretics,GiantX
LOLTMNT05_113309,113476054450558944,2025-02-22T19:00:00Z,2025-02-22 21:47:15,3,GiantX,Team Heretics
LOLTMNT05_114381,113476054450558954,2025-02-23T19:00:00Z,2025-02-23 20:14:40,1,Movistar KOI,GiantX
LOLTMNT05_114389,113476054450558955,2025-02-23T19:00:00Z,2025-02-23 21:10:17,2,GiantX,Movistar KOI
LOLTMNT05_113387,113476054450558948,2025-02-24T17:00:00Z,2025-02-24 17:11:24,1,Karmine Corp,G2 Esports
LOLTMNT05_113388,113476054450558949,2025-02-24T17:00:00Z,2025-02-24 17:59:06,2,Karmine Corp,G2 Esports
LOLTMNT05_114409,113476054450558950,2025-02-24T17:00:00Z,2025-02-24 18:47:56,3,G2 Esports,Karmine Corp
LOLTMNT05_114414,113476054450558951,2025-02-24T17:00:00Z,2025-02-24 19:43:32,4,Karmine Corp,G2 Esports
LOLTMNT05_115018,113476054450624498,2025-02-28T17:00:00Z,2025-02-28 17:09:33,1,Fnatic,Movistar KOI
LOLTMNT05_115019,113476054450624499,2025-02-28T17:00:00Z,2025-02-28 18:08:30,2,Movistar KOI,Fnatic
LOLTMNT05_115021,113476054450624500,2025-02-28T17:00:00Z,2025-02-28 18:56:51,3,Movistar KOI,Fnatic
LOLTMNT05_115027,113476054450624501,2025-02-28T17:00:00Z,2025-02-28 19:58:16,4,Fnatic,Movistar KOI
LOLTMNT05_115043,113476054450624504,2025-03-01T17:00:00Z,2025-03-01 17:08:25,1,Karmine Corp,Fnatic
LOLTMNT05_115044,113476054450624505,2025-03-01T17:00:00Z,2025-03-01 18:04:33,2,Fnatic,Karmine Corp
LOLTMNT05_115046,113476054450624506,2025-03-01T17:00:00Z,2025-03-01 19:10:39,3,Karmine Corp,Fnatic
LOLTMNT05_116037,113476054450624507,2025-03-01T17:00:00Z,2025-03-01 20:05:53,4,Karmine Corp,Fnatic
LOLTMNT05_115052,113476054450624508,2025-03-01T17:00:00Z,2025-03-01 21:00:04,5,Fnatic,Karmine Corp
LOLTMNT05_116057,113476054450624510,2025-03-02T17:00:00Z,2025-03-02 17:13:49,1,G2 Esports,Karmine Corp
LOLTMNT05_116059,113476054450624511,2025-03-02T17:00:00Z,2025-03-02 18:09:35,2,G2 Esports,Karmine Corp
LOLTMNT05_115078,113476054450624512,2025-03-02T17:00:00Z,2025-03-02 19:02:17,3,Karmine Corp,G2 Esports
LOLTMNT05_122323,113487475359325310,2025-03-29T13:00:00Z,2025-03-29 13:16:11,1,Fnatic,GiantX
LOLTMNT05_122326,113487475359325311,2025-03-29T13:00:00Z,2025-03-29 14:03:24,2,GiantX,Fnatic
LOLTMNT05_122336,113487475359259646,2025-03-29T15:00:00Z,2025-03-29 15:31:53,1,Rogue,Team Heretics
LOLTMNT05_121339,113487475359259647,2025-03-29T15:00:00Z,2025-03-29 16:28:08,2,Rogue,Team Heretics
LOLTMNT05_122345,113487475359325346,2025-03-29T17:00:00Z,2025-03-29 17:19:38,1,G2 Esports,Movistar KOI
LOLTMNT05_122355,113487475359325347,2025-03-29T17:00:00Z,2025-03-29 18:06:59,2,Movistar KOI,G2 Esports
LOLTMNT05_121353,113487475359325348,2025-03-29T17:00:00Z,2025-03-29 19:26:02,3,Movistar KOI,G2 Esports
LOLTMNT05_122377,113487475359325254,2025-03-30T15:00:00Z,2025-03-30 15:08:17,1,GiantX,Team Vitality
LOLTMNT05_121383,113487475359325255,2025-03-30T15:00:00Z,2025-03-30 16:01:34,2,GiantX,Team Vitality
LOLTMNT05_122381,113487475359325342,2025-03-30T17:00:00Z,2025-03-30 16:54:21,1,Karmine Corp,Movistar KOI
LOLTMNT05_122391,113487475359325343,2025-03-30T17:00:00Z,2025-03-30 17:44:33,2,Movistar KOI,Karmine Corp
LOLTMNT05_122399,113487475359325344,2025-03-30T17:00:00Z,2025-03-30 18:41:35,3,Karmine Corp,Movistar KOI
LOLTMNT05_121441,113487475359325326,2025-03-31T17:00:00Z,2025-03-31 18:03:10,1,SK Gaming,Fnatic
LOLTMNT05_121453,113487475359325327,2025-03-31T17:00:00Z,2025-03-31 18:52:10,2,Fnatic,SK Gaming
LOLTMNT06_111070,113487475359259682,2025-04-05T12:00:00Z,2025-04-05 12:07:02,1,Rogue,Team Vitality
LOLTMNT06_111072,113487475359259683,2025-04-05T12:00:00Z,2025-04-05 13:09:58,2,Rogue,Team Vitality
LOLTMNT06_111097,113487475359259678,2025-04-05T16:00:00Z,2025-04-05 16:02:04,1,G2 Esports,Team Heretics
LOLTMNT06_110120,113487475359259679,2025-04-05T16:00:00Z,2025-04-05 16:57:34,2,Team Heretics,G2 Esports
LOLTMNT06_111156,113487475359325350,2025-04-06T17:00:00Z,2025-04-06 16:56:07,1,Karmine Corp,Fnatic
LOLTMNT06_110166,113487475359325351,2025-04-06T17:00:00Z,2025-04-06 17:50:46,2,Fnatic,Karmine Corp
LOLTMNT06_110171,113487475359325352,2025-04-06T17:00:00Z,2025-04-06 18:48:36,3,Karmine Corp,Fnatic
LOLTMNT06_110205,113487475359259690,2025-04-07T15:00:00Z,2025-04-07 15:07:35,1,GiantX,Rogue
LOLTMNT06_110211,113487475359259691,2025-04-07T15:00:00Z,2025-04-07 16:25:24,2,Rogue,GiantX
LOLTMNT06_111217,113487475359259666,2025-04-07T17:00:00Z,2025-04-07 17:19:50,1,Movistar KOI,Team Heretics
LOLTMNT06_110226,113487475359259667,2025-04-07T17:00:00Z,2025-04-07 18:11:29,2,Team Heretics,Movistar KOI
LOLTMNT06_111775,113487475359325246,2025-04-12T14:00:00Z,2025-04-12 14:58:26,1,Rogue,G2 Esports
LOLTMNT06_111817,113487475359325247,2025-04-12T14:00:00Z,2025-04-12 15:52:38,2,G2 Esports,Rogue
LOLTMNT06_110736,113487475359325330,2025-04-12T16:00:00Z,2025-04-12 16:52:56,1,Karmine Corp,SK Gaming
