oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT06_95624,113663019302238463,2025-01-22T17:00:00Z,2025-01-22 17:04:55,1,BK ROG Esports,Team BDS Academy
LOLTMNT06_96685,113663019302238461,2025-01-22T18:00:00Z,2025-01-22 17:58:26,1,Galions,Ici Japon Corp. Esport
LOLTMNT06_95665,113663019302238449,2025-01-22T19:00:00Z,2025-01-22 18:53:56,1,Gentle Mates,GameWard
LOLTMNT06_96715,113663019302238447,2025-01-22T20:00:00Z,2025-01-22 20:01:11,1,Karmine Corp Blue,Joblife
LOLTMNT06_95728,113663019302238471,2025-01-23T17:00:00Z,2025-01-23 17:05:13,1,Ici Japon Corp. Esport,Team BDS Academy
LOLTMNT06_96768,113663019302238459,2025-01-23T18:00:00Z,2025-01-23 17:50:17,1,Galions,Solary
LOLTMNT06_95764,113663019302238443,2025-01-23T19:00:00Z,2025-01-23 18:51:25,1,GameWard,Joblife
LOLTMNT06_96794,113663019302238441,2025-01-23T20:00:00Z,2025-01-23 19:46:23,1,Karmine Corp Blue,Vitality.Bee
LOLTMNT06_96823,113663019302238467,2025-01-24T17:00:00Z,2025-01-24 17:05:09,1,Ici Japon Corp. Esport,BK ROG Esports
LOLTMNT06_96840,113663019302238469,2025-01-24T18:00:00Z,2025-01-24 18:11:40,1,Solary,Team BDS Academy
LOLTMNT06_96849,113663019302238451,2025-01-24T19:00:00Z,2025-01-24 19:09:24,1,GameWard,Karmine Corp Blue
LOLTMNT06_96854,113663019302238439,2025-01-24T20:00:00Z,2025-01-24 20:25:13,1,Gentle Mates,Vitality.Bee
LOLTMNT06_95937,113663019302238457,2025-01-29T17:00:00Z,2025-01-29 17:10:18,1,Galions,Team BDS Academy
LOLTMNT06_96972,113663019302238465,2025-01-29T18:00:00Z,2025-01-29 18:02:24,1,Solary,BK ROG Esports
LOLTMNT06_95948,113663019302238437,2025-01-29T19:00:00Z,2025-01-29 18:59:19,1,GameWard,Vitality.Bee
LOLTMNT06_95950,113663019302238445,2025-01-29T20:00:00Z,2025-01-29 20:09:43,1,Gentle Mates,Joblife
LOLTMNT06_95958,113663019302238473,2025-01-30T17:00:00Z,2025-01-30 17:05:48,1,Solary,Ici Japon Corp. Esport
LOLTMNT06_96989,113663019302238455,2025-01-30T18:00:00Z,2025-01-30 18:11:10,1,BK ROG Esports,Galions
LOLTMNT06_96993,113663019302238435,2025-01-30T19:00:00Z,2025-01-30 19:11:27,1,Joblife,Vitality.Bee
LOLTMNT06_95964,113663019302238453,2025-01-30T20:00:00Z,2025-01-30 20:05:52,1,Karmine Corp Blue,Gentle Mates
LOLTMNT06_95974,113922042368604646,2025-01-31T17:00:00Z,2025-01-31 17:08:13,1,Karmine Corp Blue,GameWard
LOLTMNT06_95978,113922043211965250,2025-01-31T18:00:00Z,2025-01-31 17:56:45,1,GameWard,Joblife
LOLTMNT06_95981,113922043797457660,2025-01-31T19:00:00Z,2025-01-31 18:54:02,1,Joblife,Karmine Corp Blue
LOLTMNT04_96116,113663059491010829,2025-02-05T17:00:00Z,2025-02-05 17:07:33,1,Vitality.Bee,Ici Japon Corp. Esport
LOLTMNT04_96141,113663059491010830,2025-02-05T17:00:00Z,2025-02-05 18:22:27,2,Ici Japon Corp. Esport,Vitality.Bee
LOLTMNT04_96167,113663059491010833,2025-02-05T19:00:00Z,2025-02-05 20:12:34,1,BK ROG Esports,Joblife
LOLTMNT04_95166,113663059491010834,2025-02-05T19:00:00Z,2025-02-05 21:17:42,2,Joblife,BK ROG Esports
LOLTMNT04_96204,113663059491010837,2025-02-06T17:00:00Z,2025-02-06 17:04:42,1,Gentle Mates,Solary
LOLTMNT04_96231,113663059491010838,2025-02-06T17:00:00Z,2025-02-06 17:59:51,2,Solary,Gentle Mates
LOLTMNT04_96237,113663059491010839,2025-02-06T17:00:00Z,2025-02-06 18:58:23,3,Gentle Mates,Solary
LOLTMNT04_95224,113663059491010841,2025-02-06T19:00:00Z,2025-02-06 19:57:00,1,Galions,Karmine Corp Blue
LOLTMNT04_95229,113663059491010842,2025-02-06T19:00:00Z,2025-02-06 20:48:55,2,Karmine Corp Blue,Galions
LOLTMNT04_96253,113663059491010843,2025-02-06T19:00:00Z,2025-02-06 21:43:46,3,Galions,Karmine Corp Blue
LOLTMNT04_96408,113663059491010853,2025-02-12T17:00:00Z,2025-02-12 17:09:06,1,Vitality.Bee,Galions
LOLTMNT04_96410,113663059491010854,2025-02-12T17:00:00Z,2025-02-12 18:05:12,2,Vitality.Bee,Galions
LOLTMNT04_96411,113663059491010857,2025-02-12T19:00:00Z,2025-02-12 18:58:58,1,Gentle Mates,Joblife
LOLTMNT04_95368,113663059491010858,2025-02-12T19:00:00Z,2025-02-12 19:48:33,2,Joblife,Gentle Mates
LOLTMNT04_95372,113663059491010845,2025-02-13T17:00:00Z,2025-02-13 17:05:55,1,BK ROG Esports,Ici Japon Corp. Esport
LOLTMNT04_95375,113663059491010846,2025-02-13T17:00:00Z,2025-02-13 18:05:18,2,Ici Japon Corp. Esport,BK ROG Esports
LOLTMNT04_95376,113663059491010847,2025-02-13T17:00:00Z,2025-02-13 18:55:30,3,BK ROG Esports,Ici Japon Corp. Esport
LOLTMNT04_97015,113663059491010849,2025-02-13T19:00:00Z,2025-02-13 19:51:28,1,Karmine Corp Blue,Solary
LOLTMNT04_97017,113663059491010850,2025-02-13T19:00:00Z,2025-02-13 20:55:27,2,Solary,Karmine Corp Blue
LOLTMNT04_97022,113663059491010861,2025-02-14T17:00:00Z,2025-02-14 17:06:13,1,BK ROG Esports,Solary
LOLTMNT04_98001,113663059491010862,2025-02-14T17:00:00Z,2025-02-14 18:09:55,2,Solary,BK ROG Esports
LOLTMNT04_97023,113663059491010863,2025-02-14T17:00:00Z,2025-02-14 18:53:33,3,BK ROG Esports,Solary
LOLTMNT04_97025,113663059491010865,2025-02-14T19:00:00Z,2025-02-14 19:58:28,1,Galions,Gentle Mates
LOLTMNT04_97026,113663059491010866,2025-02-14T19:00:00Z,2025-02-14 20:50:06,2,Gentle Mates,Galions
LOLTMNT05_113027,113663070584953201,2025-02-19T17:00:00Z,2025-02-19 17:09:23,1,Ici Japon Corp. Esport,Karmine Corp Blue
LOLTMNT05_114042,113663070584953202,2025-02-19T17:00:00Z,2025-02-19 17:59:59,2,Ici Japon Corp. Esport,Karmine Corp Blue
LOLTMNT05_114048,113663070584953203,2025-02-19T17:00:00Z,2025-02-19 18:50:02,3,Ici Japon Corp. Esport,Karmine Corp Blue
LOLTMNT05_113105,113663070585018743,2025-02-20T17:00:00Z,2025-02-20 17:04:42,1,Galions,Solary
LOLTMNT05_113118,113663070585018744,2025-02-20T17:00:00Z,2025-02-20 17:58:33,2,Solary,Galions
LOLTMNT05_113127,113663070585018745,2025-02-20T17:00:00Z,2025-02-20 19:01:43,3,Galions,Solary
LOLTMNT05_114123,113663070585018746,2025-02-20T17:00:00Z,2025-02-20 20:11:41,4,Galions,Solary
LOLTMNT05_113136,113663070585018747,2025-02-20T17:00:00Z,2025-02-20 21:00:41,5,Solary,Galions
LOLTMNT05_113437,113663070585018749,2025-02-26T17:00:00Z,2025-02-26 17:25:57,1,Ici Japon Corp. Esport,Solary
LOLTMNT05_113439,113663070585018750,2025-02-26T17:00:00Z,2025-02-26 18:25:03,2,Solary,Ici Japon Corp. Esport
LOLTMNT05_113442,113663070585018751,2025-02-26T17:00:00Z,2025-02-26 19:25:34,3,Solary,Ici Japon Corp. Esport
LOLTMNT05_113445,113663070585018752,2025-02-26T17:00:00Z,2025-02-26 20:18:05,4,Ici Japon Corp. Esport,Solary
LOLTMNT06_111312,114188293490993891,2025-04-09T15:00:00Z,2025-04-09 15:07:52,1,BK ROG Esports,GameWard
LOLTMNT06_111336,114188293490993889,2025-04-09T16:00:00Z,2025-04-09 16:11:17,1,Vitality.Bee,Team BDS Academy
LOLTMNT06_110339,114188293490993871,2025-04-09T17:00:00Z,2025-04-09 17:10:42,1,Galions,Ici Japon Corp. Esport
LOLTMNT06_110355,114188293491059465,2025-04-09T18:00:00Z,2025-04-09 18:11:26,1,Joblife,Gentle Mates
LOLTMNT06_111391,114188293491059455,2025-04-09T19:00:00Z,2025-04-09 19:27:53,1,Karmine Corp Blue,Solary
LOLTMNT06_110421,114188293490993859,2025-04-10T15:00:00Z,2025-04-10 15:11:57,1,Ici Japon Corp. Esport,BK ROG Esports
LOLTMNT06_111490,114188293490993877,2025-04-10T16:00:00Z,2025-04-10 16:13:14,1,GameWard,Team BDS Academy
LOLTMNT06_111514,114188293491059479,2025-04-10T17:00:00Z,2025-04-10 17:19:18,1,Vitality.Bee,Joblife
LOLTMNT06_111543,114188293491059473,2025-04-10T18:00:00Z,2025-04-10 18:27:43,1,Galions,Solary
LOLTMNT06_111562,114188293491059453,2025-04-10T19:00:00Z,2025-04-10 19:28:40,1,Gentle Mates,Karmine Corp Blue
LOLTMNT06_112120,114188293491059433,2025-04-15T16:00:00Z,2025-04-15 16:06:24,1,BK ROG Esports,Solary
LOLTMNT06_112133,114188293490993885,2025-04-15T17:00:00Z,2025-04-15 17:21:02,1,Team BDS Academy,Joblife
LOLTMNT06_112140,114188293491059467,2025-04-15T18:00:00Z,2025-04-15 18:12:14,1,Galions,Gentle Mates
LOLTMNT06_113061,114188293491059461,2025-04-15T19:00:00Z,2025-04-15 19:10:19,1,Karmine Corp Blue,Vitality.Bee
LOLTMNT06_113066,114188293490993861,2025-04-15T20:00:00Z,2025-04-15 20:05:54,1,Ici Japon Corp. Esport,GameWard
LOLTMNT06_115035,114188293491059447,2025-04-16T16:00:00Z,2025-04-16 16:07:17,1,GameWard,Joblife
LOLTMNT06_114057,114188293490993867,2025-04-16T17:00:00Z,2025-04-16 17:03:56,1,Ici Japon Corp. Esport,Solary
LOLTMNT06_115094,114188293490993879,2025-04-16T18:00:00Z,2025-04-16 18:19:54,1,Team BDS Academy,Karmine Corp Blue
LOLTMNT06_115107,114188293491059481,2025-04-16T19:00:00Z,2025-04-16 19:24:25,1,Galions,Vitality.Bee
LOLTMNT06_115115,114188293491059431,2025-04-16T20:00:00Z,2025-04-16 20:19:44,1,BK ROG Esports,Gentle Mates
LOLTMNT06_114127,114188293491059445,2025-04-17T16:00:00Z,2025-04-17 16:05:26,1,GameWard,Solary
LOLTMNT06_115168,114188293490993865,2025-04-17T17:00:00Z,2025-04-17 16:59:13,1,Ici Japon Corp. Esport,Gentle Mates
LOLTMNT06_115177,114188293490993887,2025-04-17T18:00:00Z,2025-04-17 18:00:44,1,Galions,Team BDS Academy
LOLTMNT06_115188,114188293491059457,2025-04-17T19:00:00Z,2025-04-17 18:58:01,1,Joblife,Karmine Corp Blue
LOLTMNT06_115193,114188293491059439,2025-04-17T20:00:00Z,2025-04-17 19:56:37,1,BK ROG Esports,Vitality.Bee
LOLTMNT06_115252,114188293491059477,2025-04-18T16:00:00Z,2025-04-18 16:05:50,1,Galions,Joblife
LOLTMNT06_114236,114188293490993873,2025-04-18T17:00:00Z,2025-04-18 17:04:19,1,Ici Japon Corp. Esport,Vitality.Bee
LOLTMNT06_115274,114188293491059441,2025-04-18T18:00:00Z,2025-04-18 18:00:35,1,Karmine Corp Blue,GameWard
LOLTMNT06_115278,114188293491059463,2025-04-18T19:00:00Z,2025-04-18 18:54:52,1,Gentle Mates,Solary
LOLTMNT06_115292,114188293490993875,2025-04-18T20:00:00Z,2025-04-18 19:56:20,1,BK ROG Esports,Team BDS Academy
LOLTMNT04_106246,114188293491059475,2025-04-23T16:00:00Z,2025-04-23 16:09:49,1,Vitality.Bee,Solary
LOLTMNT04_106262,114188293491059443,2025-04-23T17:00:00Z,2025-04-23 17:10:45,1,Gentle Mates,GameWard
LOLTMNT04_107326,114188293491059459,2025-04-23T18:00:00Z,2025-04-23 18:16:15,1,Galions,Karmine Corp Blue
LOLTMNT04_107336,114188293491059435,2025-04-23T19:00:00Z,2025-04-23 19:14:14,1,BK ROG Esports,Joblife
LOLTMNT04_107341,114188293490928321,2025-04-23T20:00:00Z,2025-04-23 20:18:28,1,Ici Japon Corp. Esport,Team BDS Academy
LOLTMNT04_108019,114188293491059449,2025-04-24T16:00:00Z,2025-04-24 16:09:49,1,Galions,GameWard
LOLTMNT04_106398,114188293491059469,2025-04-24T17:00:00Z,2025-04-24 17:04:33,1,Vitality.Bee,Gentle Mates
LOLTMNT04_106407,114188293491059429,2025-04-24T18:00:00Z,2025-04-24 18:02:15,1,Karmine Corp Blue,BK ROG Esports
LOLTMNT04_108041,114188293490993869,2025-04-24T19:00:00Z,2025-04-24 19:12:34,1,Ici Japon Corp. Esport,Joblife
LOLTMNT04_106426,114188293490993883,2025-04-24T20:00:00Z,2025-04-24 20:14:07,1,Team BDS Academy,Solary
LOLTMNT04_108261,114188293491059451,2025-04-25T16:00:00Z,2025-04-25 16:05:42,1,Vitality.Bee,GameWard
LOLTMNT04_108278,114188293491059437,2025-04-25T17:00:00Z,2025-04-25 16:55:32,1,Galions,BK ROG Esports
LOLTMNT04_106705,114188293491059471,2025-04-25T18:00:00Z,2025-04-25 18:06:58,1,Joblife,Solary
LOLTMNT04_106742,114188293490993863,2025-04-25T19:00:00Z,2025-04-25 19:02:54,1,Karmine Corp Blue,Ici Japon Corp. Esport
LOLTMNT04_108308,114188293490993881,2025-04-25T20:00:00Z,2025-04-25 19:57:44,1,Gentle Mates,Team BDS Academy
LOLTMNT04_108898,114223895242957632,2025-04-30T16:00:00Z,2025-04-30 16:08:54,1,BK ROG Esports,Galions
LOLTMNT04_108923,114223895242957633,2025-04-30T16:00:00Z,2025-04-30 17:09:49,2,Galions,BK ROG Esports
LOLTMNT04_108937,114223895242957634,2025-04-30T16:00:00Z,2025-04-30 18:01:08,3,BK ROG Esports,Galions
LOLTMNT04_109367,114223895242957636,2025-04-30T19:00:00Z,2025-04-30 18:57:06,1,Gentle Mates,Solary
LOLTMNT04_108953,114223895242957637,2025-04-30T19:00:00Z,2025-04-30 19:53:15,2,Gentle Mates,Solary
LOLTMNT04_109376,114223895242957638,2025-04-30T19:00:00Z,2025-04-30 20:50:50,3,Gentle Mates,Solary
LOLTMNT04_109477,114223895242957640,2025-05-01T16:00:00Z,2025-05-01 16:08:52,1,Ici Japon Corp. Esport,Joblife
LOLTMNT04_109487,114223895242957641,2025-05-01T16:00:00Z,2025-05-01 16:58:04,2,Joblife,Ici Japon Corp. Esport
LOLTMNT04_110103,114223895242957644,2025-05-01T19:00:00Z,2025-05-01 17:55:49,1,Vitality.Bee,Karmine Corp Blue
LOLTMNT04_110105,114223895242957645,2025-05-01T19:00:00Z,2025-05-01 18:48:10,2,Vitality.Bee,Karmine Corp Blue
LOLTMNT04_109511,114223895242957646,2025-05-01T19:00:00Z,2025-05-01 19:40:30,3,Karmine Corp Blue,Vitality.Bee
LOLTMNT05_131366,114223895242957648,2025-05-07T16:00:00Z,2025-05-07 16:07:02,1,Ici Japon Corp. Esport,Gentle Mates
LOLTMNT05_130381,114223895242957649,2025-05-07T16:00:00Z,2025-05-07 17:13:45,2,Gentle Mates,Ici Japon Corp. Esport
LOLTMNT05_131383,114223895242957650,2025-05-07T16:00:00Z,2025-05-07 18:17:28,3,Ici Japon Corp. Esport,Gentle Mates
LOLTMNT05_130394,114223895242957652,2025-05-07T19:00:00Z,2025-05-07 19:31:50,1,Galions,Karmine Corp Blue
LOLTMNT05_130397,114223895242957653,2025-05-07T19:00:00Z,2025-05-07 20:23:03,2,Galions,Karmine Corp Blue
LOLTMNT05_131400,114223895242957654,2025-05-07T19:00:00Z,2025-05-07 21:17:03,3,Galions,Karmine Corp Blue
LOLTMNT05_131490,114223895242957656,2025-05-08T16:00:00Z,2025-05-08 16:06:39,1,BK ROG Esports,Joblife
LOLTMNT05_130515,114223895242957657,2025-05-08T16:00:00Z,2025-05-08 17:04:18,2,BK ROG Esports,Joblife
LOLTMNT05_131518,114223895242957660,2025-05-08T19:00:00Z,2025-05-08 18:20:35,1,Vitality.Bee,Solary
LOLTMNT05_130529,114223895242957661,2025-05-08T19:00:00Z,2025-05-08 19:12:26,2,Solary,Vitality.Bee
LOLTMNT05_131521,114223895242957662,2025-05-08T19:00:00Z,2025-05-08 20:02:54,3,Vitality.Bee,Solary
LOLTMNT05_130575,114223895242957664,2025-05-09T16:00:00Z,2025-05-09 16:05:49,1,BK ROG Esports,Galions
LOLTMNT05_130584,114223895242957665,2025-05-09T16:00:00Z,2025-05-09 17:03:20,2,BK ROG Esports,Galions
LOLTMNT05_131602,114223895242957668,2025-05-09T19:00:00Z,2025-05-09 17:58:54,1,Ici Japon Corp. Esport,Vitality.Bee
LOLTMNT05_130594,114223895242957669,2025-05-09T19:00:00Z,2025-05-09 19:04:04,2,Vitality.Bee,Ici Japon Corp. Esport
LOLTMNT05_131908,114223895242957672,2025-05-14T16:00:00Z,2025-05-14 16:07:53,1,Solary,Team BDS Academy
LOLTMNT05_130909,114223895242957673,2025-05-14T16:00:00Z,2025-05-14 17:00:29,2,Team BDS Academy,Solary
LOLTMNT05_131930,114223895242957676,2025-05-14T19:00:00Z,2025-05-14 18:06:54,1,GameWard,Joblife
LOLTMNT05_130926,114223895242957677,2025-05-14T19:00:00Z,2025-05-14 19:01:22,2,GameWard,Joblife
LOLTMNT05_131992,114223895242957684,2025-05-15T16:00:00Z,2025-05-15 16:05:38,1,BK ROG Esports,GameWard
LOLTMNT05_130971,114223895242957685,2025-05-15T16:00:00Z,2025-05-15 16:56:42,2,GameWard,BK ROG Esports
LOLTMNT05_132011,114223895242957686,2025-05-15T16:00:00Z,2025-05-15 17:59:45,3,BK ROG Esports,GameWard
LOLTMNT05_130987,114223895242957680,2025-05-15T19:00:00Z,2025-05-15 19:05:27,1,Vitality.Bee,Solary
LOLTMNT05_132022,114223895242957681,2025-05-15T19:00:00Z,2025-05-15 20:05:41,2,Solary,Vitality.Bee
