oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT06_96669,113792786805450763,2025-01-22T17:00:00Z,2025-01-22 17:18:53,1,Zena Esports,Underworld Esports
LOLTMNT06_96689,113792786805647373,2025-01-22T18:00:00Z,2025-01-22 18:01:29,1,Axolotl,Macko Esports
LOLTMNT06_96697,113792786805647375,2025-01-22T19:00:00Z,2025-01-22 18:51:25,1,GMBLERS Esports,EKO Esports
LOLTMNT06_96747,113792786805647381,2025-01-23T17:00:00Z,2025-01-23 17:10:27,1,Axolotl,GMBLERS Esports
LOLTMNT06_96775,113792786805647379,2025-01-23T18:00:00Z,2025-01-23 18:14:45,1,Macko Esports,Zena Esports
LOLTMNT06_95768,113792786805647377,2025-01-23T19:00:00Z,2025-01-23 19:02:19,1,Underworld Esports,EKO Esports
LOLTMNT06_95802,113792786805647387,2025-01-24T17:00:00Z,2025-01-24 17:07:20,1,Zena Esports,Axolotl
LOLTMNT06_95808,113792786805647385,2025-01-24T18:00:00Z,2025-01-24 18:10:45,1,GMBLERS Esports,EKO Esports
LOLTMNT06_96848,113792786805647383,2025-01-24T19:00:00Z,2025-01-24 18:58:20,1,Macko Esports,Underworld Esports
LOLTMNT04_92572,113792786805647401,2025-01-31T17:00:00Z,2025-01-31 17:03:45,1,Zena Esports,Axolotl
LOLTMNT04_93624,113792786805647402,2025-01-31T17:00:00Z,2025-01-31 18:08:41,2,Zena Esports,Axolotl
LOLTMNT04_92589,113792786805647403,2025-01-31T17:00:00Z,2025-01-31 18:57:23,3,Axolotl,Zena Esports
LOLTMNT04_92600,113792786805647404,2025-01-31T17:00:00Z,2025-01-31 19:39:17,4,Zena Esports,Axolotl
LOLTMNT04_96287,113792786805647395,2025-02-07T17:00:00Z,2025-02-07 17:09:08,1,GMBLERS Esports,Underworld Esports
LOLTMNT04_95264,113792786805647396,2025-02-07T17:00:00Z,2025-02-07 18:33:15,2,GMBLERS Esports,Underworld Esports
LOLTMNT04_96315,113792786805647397,2025-02-07T17:00:00Z,2025-02-07 19:33:33,3,Underworld Esports,GMBLERS Esports
LOLTMNT04_96316,113792786805647398,2025-02-07T17:00:00Z,2025-02-07 20:21:19,4,Underworld Esports,GMBLERS Esports
LOLTMNT04_96318,113792786805647399,2025-02-07T17:00:00Z,2025-02-07 21:12:50,5,GMBLERS Esports,Underworld Esports
LOLTMNT06_110450,114177914070084715,2025-04-10T16:00:00Z,2025-04-10 16:04:28,1,Colossal Gaming,Axolotl
LOLTMNT06_110474,114177914070084721,2025-04-10T17:00:00Z,2025-04-10 17:02:02,1,GMBLERS Esports,aNc Legends
LOLTMNT06_111534,114177914070084739,2025-04-10T18:00:00Z,2025-04-10 17:50:18,1,EKO Esports,Zena Esports
LOLTMNT03_221075,114177914070084723,2025-04-11T16:00:00Z,2025-04-11 16:19:12,1,GMBLERS Esports,Axolotl
