oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT01_195330,113679560221187493,2025-01-30T09:00:00Z,2025-01-30 09:10:10,1,Burning Core Toyama,Kareha Children
LOLTMNT01_195345,113679560221187495,2025-01-30T10:00:00Z,2025-01-30 10:10:25,1,Night Cap,Spirit Quartz Gaming
LOLTMNT01_195389,113679560221187497,2025-01-30T11:00:00Z,2025-01-30 11:30:49,1,Yang Yang Gaming,VelbeliKaizokudan
LOLTMNT01_195424,113679560221187499,2025-01-30T12:00:00Z,2025-01-30 12:41:29,1,REJECT,Black Dog
LOLTMNT01_196736,113679560221187501,2025-01-31T09:00:00Z,2025-01-31 09:12:02,1,Clocks,BraVeLY
LOLTMNT01_196798,113679560221187505,2025-01-31T11:00:00Z,2025-01-31 11:07:01,1,We Can Win,VARREL YOUTH
LOLTMNT01_197628,113679560221187509,2025-02-01T09:00:00Z,2025-02-01 09:16:09,1,Spirit Quartz Gaming,BraVeLY
LOLTMNT01_197673,113679560221187511,2025-02-01T10:00:00Z,2025-02-01 10:10:56,1,We Can Win,V3 Esports
LOLTMNT01_198379,113679560221187513,2025-02-01T11:00:00Z,2025-02-01 11:09:25,1,Yang Yang Gaming,REJECT
LOLTMNT01_198873,113679560221187519,2025-02-02T10:00:00Z,2025-02-02 10:20:46,1,Black Dog,VelbeliKaizokudan
LOLTMNT01_198901,113679560221187521,2025-02-02T11:00:00Z,2025-02-02 11:41:45,1,VARREL YOUTH,Clocks
LOLTMNT03_202243,113679560221187533,2025-02-26T09:00:00Z,2025-02-26 09:12:01,1,BraVeLY,Night Cap
LOLTMNT03_202265,113679560221187535,2025-02-26T10:00:00Z,2025-02-26 10:17:10,1,VARREL YOUTH,VelbeliKaizokudan
LOLTMNT03_202285,113679560221187541,2025-02-26T11:00:00Z,2025-02-26 11:20:50,1,Hands,Clocks
LOLTMNT03_202311,113679560221187525,2025-02-26T12:00:00Z,2025-02-26 12:48:44,1,REJECT,We Can Win
LOLTMNT03_201682,113679560221187537,2025-02-27T09:00:00Z,2025-02-27 09:05:43,1,V3 Esports,Kareha Children
LOLTMNT03_202613,113679560221187529,2025-02-27T12:00:00Z,2025-02-27 12:35:33,1,Burning Core Toyama,Spirit Quartz Gaming
LOLTMNT03_201899,113679560221187561,2025-02-28T08:00:00Z,2025-02-28 08:04:49,1,Black Dog,BraVeLY
LOLTMNT03_202888,113679560221187549,2025-02-28T09:00:00Z,2025-02-28 09:09:04,1,Yang Yang Gaming,Kareha Children
