oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT03_202130,113674305138711582,2025-02-25T19:00:00Z,2025-02-25 19:10:36,1,FlameHard,For The Win Esports
LOLTMNT03_201239,113674305138711583,2025-02-25T19:00:00Z,2025-02-25 20:03:34,2,For The Win Esports,FlameHard
LOLTMNT03_202151,113674305138711586,2025-02-25T22:00:00Z,2025-02-25 21:09:06,1,White Dragons,Leões Porto Salvo Esports
LOLTMNT03_202156,113674305138711587,2025-02-25T22:00:00Z,2025-02-25 22:00:38,2,Leões Porto Salvo Esports,White Dragons
LOLTMNT03_201837,113674305138711604,2025-02-27T19:00:00Z,2025-02-27 19:42:19,1,Odivelas Sports Club,GTZ Esports
LOLTMNT03_202764,113674305138711605,2025-02-27T19:00:00Z,2025-02-27 20:40:24,2,Odivelas Sports Club,GTZ Esports
LOLTMNT03_201849,113674305138711606,2025-02-27T19:00:00Z,2025-02-27 21:34:23,3,Odivelas Sports Club,GTZ Esports
LOLTMNT03_202795,113674305138711607,2025-02-27T19:00:00Z,2025-02-27 22:26:50,4,GTZ Esports,Odivelas Sports Club
LOLTMNT03_201855,113674305138711608,2025-02-27T19:00:00Z,2025-02-27 23:17:20,5,Odivelas Sports Club,GTZ Esports
LOLTMNT03_229954,114183692418962094,2025-04-18T20:00:00Z,2025-04-18 20:37:59,1,FlameHard,For The Win Esports
LOLTMNT03_229963,114183692418962098,2025-04-18T21:00:00Z,2025-04-18 21:35:16,1,Keypulse Esports,ZeroZone Gaming
LOLTMNT02_269637,114183692418962128,2025-05-23T18:00:00Z,2025-05-23 18:12:02,1,For The Win Esports,FlameHard
LOLTMNT02_269639,114183692418962129,2025-05-23T18:00:00Z,2025-05-23 19:04:49,2,FlameHard,For The Win Esports
LOLTMNT02_270327,114183692418962130,2025-05-23T18:00:00Z,2025-05-23 19:59:43,3,FlameHard,For The Win Esports
LOLTMNT02_295634,114862259490321314,2025-08-06T18:00:00Z,2025-08-06 18:07:21,1,ZeroZone Gaming,FlameHard
LOLTMNT02_294716,114862259490386852,2025-08-06T19:00:00Z,2025-08-06 19:05:36,1,NORTHS FURY,Odivelas Sports Club
LOLTMNT02_294753,114862259490452392,2025-08-06T21:00:00Z,2025-08-06 21:00:47,1,Team High Ground,Papo Secos
LOLTMNT02_296148,114862259490452394,2025-08-07T18:00:00Z,2025-08-07 18:07:40,1,Leões Porto Salvo Esports,GTZ Esports
LOLTMNT02_296181,114862259490452398,2025-08-07T20:00:00Z,2025-08-07 19:14:30,1,Rage Bait e-Sports,Evolve eSports
LOLTMNT02_296203,114862259490452400,2025-08-07T21:00:00Z,2025-08-07 20:16:34,1,Crusaders,Otter Side
LOLTMNT02_301817,114862259490452402,2025-08-13T18:00:00Z,2025-08-13 18:09:31,1,Keypulse Esports,FlameHard
LOLTMNT02_301838,114862259490452404,2025-08-13T19:00:00Z,2025-08-13 19:15:51,1,Otter Side,Papo Secos
LOLTMNT02_300713,114862259490452406,2025-08-13T20:00:00Z,2025-08-13 20:14:25,1,Odivelas Sports Club,GTZ Esports
LOLTMNT02_302120,114862259490452410,2025-08-14T18:00:00Z,2025-08-14 18:13:39,1,Evolve eSports,Leões Porto Salvo Esports
LOLTMNT02_300949,114862259490452412,2025-08-14T19:00:00Z,2025-08-14 19:08:55,1,Grow uP eSports,NORTHS FURY
LOLTMNT02_300965,114862259490452416,2025-08-14T21:00:00Z,2025-08-14 21:05:58,1,ZeroZone Gaming,Team High Ground
LOLTMNT03_284356,114862259490452426,2025-08-20T18:00:00Z,2025-08-20 18:12:14,1,Grow uP eSports,Team High Ground
LOLTMNT03_285320,114862259490452428,2025-08-20T19:00:00Z,2025-08-20 19:24:41,1,Papo Secos,GTZ Esports
LOLTMNT03_284421,114862259490452430,2025-08-20T20:00:00Z,2025-08-20 20:29:02,1,FlameHard,Leões Porto Salvo Esports
LOLTMNT03_285364,114862259490452432,2025-08-20T21:00:00Z,2025-08-20 21:40:08,1,Crusaders,Rage Bait e-Sports
LOLTMNT03_285759,114862259490452418,2025-08-21T18:00:00Z,2025-08-21 18:21:39,1,Otter Side,Keypulse Esports
LOLTMNT03_285779,114862259490452419,2025-08-21T18:00:00Z,2025-08-21 19:11:51,2,Keypulse Esports,Otter Side
LOLTMNT03_285815,114862259490452420,2025-08-21T18:00:00Z,2025-08-21 19:57:13,3,Otter Side,Keypulse Esports
LOLTMNT03_286383,114862259490452434,2025-08-22T18:00:00Z,2025-08-22 18:07:04,1,Evolve eSports,ZeroZone Gaming
LOLTMNT03_286414,114862259490452435,2025-08-22T18:00:00Z,2025-08-22 18:58:52,2,ZeroZone Gaming,Evolve eSports
LOLTMNT03_293268,114862259490452442,2025-08-28T18:00:00Z,2025-08-28 18:08:24,1,FlameHard,Grow uP eSports
