oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT02_239998,114069341215287994,2025-03-31T20:00:00Z,2025-03-31 20:03:14,1,LYON Academy,Zeu5 Esports
LOLTMNT02_241029,114069341215287995,2025-03-31T20:00:00Z,2025-03-31 20:53:55,2,Zeu5 Esports,LYON Academy
LOLTMNT02_242029,114069341215091322,2025-03-31T23:00:00Z,2025-03-31 21:49:11,1,ODD Esports,Fuego
LOLTMNT02_242042,114069341215091323,2025-03-31T23:00:00Z,2025-03-31 22:41:13,2,ODD Esports,Fuego
LOLTMNT03_215340,114069341215222434,2025-04-07T20:00:00Z,2025-04-07 20:25:44,1,SDM Tigres,ODD Esports
LOLTMNT03_215363,114069341215222435,2025-04-07T20:00:00Z,2025-04-07 21:49:51,2,ODD Esports,SDM Tigres
LOLTMNT03_224074,114069341215222438,2025-04-13T20:00:00Z,2025-04-13 20:04:23,1,ODD Esports,LYON Academy
LOLTMNT03_223600,114069341215222439,2025-04-13T20:00:00Z,2025-04-13 21:13:57,2,LYON Academy,ODD Esports
LOLTMNT03_223639,114069341215091326,2025-04-14T02:00:00Z,2025-04-14 01:33:38,1,Fuego,Zeu5 Esports
LOLTMNT03_223641,114069341215091327,2025-04-14T02:00:00Z,2025-04-14 02:29:02,2,Fuego,Zeu5 Esports
LOLTMNT03_225058,114069341215091338,2025-04-14T20:00:00Z,2025-04-14 20:11:34,1,Fuego,SDM Tigres
LOLTMNT03_225071,114069341215091339,2025-04-14T20:00:00Z,2025-04-14 21:23:34,2,SDM Tigres,Fuego
LOLTMNT01_227233,114069341215419102,2025-04-20T23:00:00Z,2025-04-20 23:12:45,1,LYON Academy,SDM Tigres
LOLTMNT01_228142,114069341215222422,2025-04-21T23:00:00Z,2025-04-21 23:26:52,1,ODD Esports,Zeu5 Esports
LOLTMNT01_227696,114069341215156878,2025-04-22T02:00:00Z,2025-04-22 01:11:36,1,LYON Academy,Fuego
LOLTMNT01_228153,114069341215222415,2025-04-22T02:00:00Z,2025-04-22 02:14:29,2,LYON Academy,Fuego
LOLTMNT01_227703,114069341215222416,2025-04-22T02:00:00Z,2025-04-22 03:36:13,3,Fuego,LYON Academy
LOLTMNT02_255523,114069341215287990,2025-05-05T02:00:00Z,2025-05-05 01:47:31,1,SDM Tigres,Zeu5 Esports
LOLTMNT02_256484,114069341215287991,2025-05-05T02:00:00Z,2025-05-05 02:49:47,2,Zeu5 Esports,SDM Tigres
