oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT02_239612,114069355463273214,2025-03-30T19:00:00Z,2025-03-30 19:28:09,1,Malvinas Gaming,WAP Esports
LOLTMNT02_240631,114069355463273215,2025-03-30T19:00:00Z,2025-03-30 20:30:33,2,WAP Esports,Malvinas Gaming
LOLTMNT02_240645,114069355463273216,2025-03-30T19:00:00Z,2025-03-30 21:27:44,3,Malvinas Gaming,WAP Esports
LOLTMNT02_239645,114069355463273302,2025-03-30T22:00:00Z,2025-03-30 22:39:14,1,Seven Dark,Farenvehn
LOLTMNT02_239650,114069355463273303,2025-03-30T22:00:00Z,2025-03-30 23:34:53,2,Farenvehn,Seven Dark
LOLTMNT02_241404,114069355463273258,2025-04-01T19:00:00Z,2025-04-01 19:09:41,1,Sicar Esports,Malvinas Gaming
LOLTMNT02_242448,114069355463273259,2025-04-01T19:00:00Z,2025-04-01 20:13:20,2,Malvinas Gaming,Sicar Esports
LOLTMNT02_242467,114069355463273218,2025-04-01T22:00:00Z,2025-04-01 21:36:39,1,WAP Esports,Farenvehn
LOLTMNT02_242475,114069355463273219,2025-04-01T22:00:00Z,2025-04-01 22:36:12,2,WAP Esports,Farenvehn
LOLTMNT01_228560,114069355463273230,2025-04-22T19:00:00Z,2025-04-22 19:03:11,1,Sicar Esports,Team Evermeet
LOLTMNT01_229142,114069355463273231,2025-04-22T19:00:00Z,2025-04-22 19:51:21,2,Team Evermeet,Sicar Esports
LOLTMNT01_229168,114069355463273210,2025-04-22T22:00:00Z,2025-04-22 21:08:46,1,Maze Gaming,WAP Esports
LOLTMNT01_229179,114069355463273211,2025-04-22T22:00:00Z,2025-04-22 21:58:24,2,WAP Esports,Maze Gaming
LOLTMNT01_228634,114069355463273212,2025-04-22T22:00:00Z,2025-04-22 22:45:38,3,Maze Gaming,WAP Esports
LOLTMNT02_269512,114069355463273320,2025-05-19T19:00:00Z,2025-05-19 19:14:53,1,WAP Esports,Sicar Esports
LOLTMNT02_270231,114069355463273321,2025-05-19T19:00:00Z,2025-05-19 20:15:28,2,WAP Esports,Sicar Esports
LOLTMNT02_269514,114069355463273322,2025-05-19T19:00:00Z,2025-05-19 21:16:23,3,Sicar Esports,WAP Esports
LOLTMNT02_270232,114069355463273323,2025-05-19T19:00:00Z,2025-05-19 22:12:39,4,WAP Esports,Sicar Esports
LOLTMNT02_269515,114069355463273324,2025-05-19T19:00:00Z,2025-05-19 23:02:22,5,Sicar Esports,WAP Esports
LOLTMNT03_247564,114069355463273326,2025-05-27T19:00:00Z,2025-05-27 19:08:48,1,WAP Esports,Maze Gaming
LOLTMNT03_247584,114069355463273327,2025-05-27T19:00:00Z,2025-05-27 19:57:59,2,Maze Gaming,WAP Esports
LOLTMNT03_248031,114069355463273328,2025-05-27T19:00:00Z,2025-05-27 20:49:27,3,WAP Esports,Maze Gaming
LOLTMNT03_247617,114069355463273329,2025-05-27T19:00:00Z,2025-05-27 21:52:41,4,WAP Esports,Maze Gaming
LOLTMNT03_248038,114069355463273330,2025-05-27T19:00:00Z,2025-05-27 22:39:32,5,Maze Gaming,WAP Esports
LOLTMNT03_274456,114776582141974611,2025-07-15T19:00:00Z,2025-07-15 19:07:24,1,Seven Dark,Malvinas Gaming
LOLTMNT03_274476,114776582142040179,2025-07-15T20:00:00Z,2025-07-15 20:07:09,1,Golden Lions,Sicar Esports
LOLTMNT03_273549,114776582142040189,2025-07-15T21:00:00Z,2025-07-15 21:17:16,1,Lechuga Gaming,Maze Gaming
LOLTMNT03_273562,114776582142040191,2025-07-15T22:00:00Z,2025-07-15 22:20:34,1,WAP Esports,Farenvehn
LOLTMNT03_274856,114776582142040181,2025-07-16T19:00:00Z,2025-07-16 19:20:09,1,Lechuga Gaming,Sicar Esports
LOLTMNT03_273942,114776582141974617,2025-07-16T20:00:00Z,2025-07-16 20:22:30,1,Seven Dark,WAP Esports
LOLTMNT03_274891,114776582141974631,2025-07-16T21:00:00Z,2025-07-16 21:21:31,1,Malvinas Gaming,Farenvehn
LOLTMNT03_274895,114776582142040187,2025-07-16T22:00:00Z,2025-07-16 22:12:33,1,Golden Lions,Maze Gaming
LOLTMNT01_265501,114776582142040201,2025-07-22T20:00:00Z,2025-07-22 20:51:39,1,Golden Lions,Lechuga Gaming
LOLTMNT01_264524,114776582142040173,2025-07-22T21:00:00Z,2025-07-22 21:51:41,1,Sicar Esports,Maze Gaming
LOLTMNT01_265531,114776582141974629,2025-07-22T22:00:00Z,2025-07-22 22:47:07,1,WAP Esports,Malvinas Gaming
LOLTMNT01_265541,114776582141974619,2025-07-22T23:00:00Z,2025-07-22 23:36:32,1,Seven Dark,Farenvehn
LOLTMNT01_267040,114776582142040177,2025-07-23T20:00:00Z,2025-07-23 20:12:46,1,Sicar Esports,Farenvehn
