oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT01_191597,113475306295973617,2025-01-25T16:00:00Z,2025-01-25 16:17:11,1,LOUD,paiN Gaming
LOLTMNT01_191624,113475306295973618,2025-01-25T16:00:00Z,2025-01-25 17:33:08,2,paiN Gaming,LOUD
LOLTMNT01_192707,113475306295973619,2025-01-25T16:00:00Z,2025-01-25 18:40:09,3,LOUD,paiN Gaming
LOLTMNT01_192721,113475306295908077,2025-01-25T19:00:00Z,2025-01-25 19:47:21,1,Vivo Keyd Stars,Leviatan
LOLTMNT01_191692,113475306295908078,2025-01-25T19:00:00Z,2025-01-25 20:33:15,2,Vivo Keyd Stars,Leviatan
LOLTMNT01_191715,113475306295908079,2025-01-25T19:00:00Z,2025-01-25 21:17:56,3,Leviatan,Vivo Keyd Stars
LOLTMNT01_193039,113475306295973621,2025-01-26T16:00:00Z,2025-01-26 16:16:45,1,Isurus Estral,FURIA
LOLTMNT01_194013,113475306295973622,2025-01-26T16:00:00Z,2025-01-26 17:13:23,2,FURIA,Isurus Estral
LOLTMNT01_193073,113475306295973623,2025-01-26T16:00:00Z,2025-01-26 17:59:30,3,Isurus Estral,FURIA
LOLTMNT01_193083,113475306295973625,2025-01-26T19:00:00Z,2025-01-26 18:56:45,1,RED Canids,Fluxo W7M
LOLTMNT01_194060,113475306295973626,2025-01-26T19:00:00Z,2025-01-26 19:53:56,2,Fluxo W7M,RED Canids
LOLTMNT01_198544,113475306295973637,2025-02-01T16:00:00Z,2025-02-01 16:18:39,1,LOUD,Vivo Keyd Stars
LOLTMNT01_197947,113475306295973638,2025-02-01T16:00:00Z,2025-02-01 17:11:32,2,LOUD,Vivo Keyd Stars
LOLTMNT01_198607,113475306295973639,2025-02-01T16:00:00Z,2025-02-01 18:11:06,3,Vivo Keyd Stars,LOUD
LOLTMNT01_198625,113475306295973641,2025-02-01T19:00:00Z,2025-02-01 19:18:20,1,Fluxo W7M,FURIA
LOLTMNT01_198654,113475306295973642,2025-02-01T19:00:00Z,2025-02-01 20:06:18,2,Fluxo W7M,FURIA
LOLTMNT01_199445,113475306295973633,2025-02-02T16:00:00Z,2025-02-02 16:09:37,1,Isurus Estral,RED Canids
LOLTMNT01_200090,113475306295973634,2025-02-02T16:00:00Z,2025-02-02 17:09:22,2,Isurus Estral,RED Canids
LOLTMNT01_199518,113475306295973635,2025-02-02T16:00:00Z,2025-02-02 18:16:46,3,RED Canids,Isurus Estral
LOLTMNT01_200132,113475306295973629,2025-02-02T19:00:00Z,2025-02-02 19:09:43,1,paiN Gaming,Leviatan
LOLTMNT01_199567,113475306295973630,2025-02-02T19:00:00Z,2025-02-02 20:14:24,2,paiN Gaming,Leviatan
LOLTMNT01_199596,113475306295973631,2025-02-02T19:00:00Z,2025-02-02 21:15:10,3,Leviatan,paiN Gaming
LOLTMNT01_200198,113475306295973645,2025-02-02T22:00:00Z,2025-02-02 22:13:27,1,Leviatan,Isurus Estral
LOLTMNT02_211045,113475306295973647,2025-02-09T16:00:00Z,2025-02-09 16:11:28,1,RED Canids,LOUD
LOLTMNT02_211085,113475306295973648,2025-02-09T16:00:00Z,2025-02-09 17:20:20,2,LOUD,RED Canids
LOLTMNT02_210665,113475306295973649,2025-02-09T16:00:00Z,2025-02-09 18:07:27,3,LOUD,RED Canids
LOLTMNT02_210695,113475306295973651,2025-02-09T19:00:00Z,2025-02-09 19:18:20,1,paiN Gaming,FURIA
LOLTMNT02_211159,113475306295973652,2025-02-09T19:00:00Z,2025-02-09 20:07:06,2,FURIA,paiN Gaming
LOLTMNT02_211189,113475306295973653,2025-02-09T19:00:00Z,2025-02-09 21:02:18,3,paiN Gaming,FURIA
LOLTMNT02_210778,113475306295973655,2025-02-09T22:00:00Z,2025-02-09 22:10:45,1,LOUD,paiN Gaming
LOLTMNT03_214145,114103277165171986,2025-04-05T16:00:00Z,2025-04-05 16:16:17,1,Isurus Estral,paiN Gaming
LOLTMNT03_213170,114103277165106436,2025-04-05T17:00:00Z,2025-04-05 17:10:28,1,FURIA,Leviatan
LOLTMNT03_214199,114103277165106432,2025-04-05T18:00:00Z,2025-04-05 18:27:35,1,Vivo Keyd Stars,Fluxo W7M
LOLTMNT03_214223,114103277165172002,2025-04-05T19:00:00Z,2025-04-05 19:36:08,1,LOUD,RED Canids
LOLTMNT03_213606,114103277165106434,2025-04-06T16:00:00Z,2025-04-06 16:08:12,1,FURIA,Isurus Estral
LOLTMNT03_213634,114103277165172010,2025-04-06T17:00:00Z,2025-04-06 16:55:57,1,Vivo Keyd Stars,RED Canids
LOLTMNT03_213678,114103277165106424,2025-04-06T18:00:00Z,2025-04-06 17:50:38,1,Leviatan,Fluxo W7M
