oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT03_182440,113668648432187619,2025-01-14T18:00:00Z,2025-01-14 17:59:43,1,LUA Gaming,Guasones
LOLTMNT03_183380,113668648432187645,2025-01-14T19:00:00Z,2025-01-14 18:54:29,1,GIANTX iTero,Veni Vidi Vici
LOLTMNT03_182503,113668648432253199,2025-01-14T20:00:00Z,2025-01-14 19:46:00,1,Movistar KOI Fénix,UCAM Esports
LOLTMNT03_182532,113668648432253209,2025-01-14T21:00:00Z,2025-01-14 20:44:41,1,Los Heretics,Barça eSports
LOLTMNT03_183723,113668648432187633,2025-01-15T17:00:00Z,2025-01-15 17:08:04,1,GIANTX iTero,LUA Gaming
LOLTMNT03_183750,113668648432187613,2025-01-15T18:00:00Z,2025-01-15 18:00:53,1,UCAM Esports,Ramboot Club
LOLTMNT03_183778,113668648432187625,2025-01-15T19:00:00Z,2025-01-15 18:54:28,1,Movistar KOI Fénix,Guasones
LOLTMNT03_182901,113668648432253195,2025-01-15T20:00:00Z,2025-01-15 19:44:50,1,Veni Vidi Vici,Los Heretics
LOLTMNT03_184314,113668648432187627,2025-01-16T17:00:00Z,2025-01-16 17:06:53,1,Guasones,UCAM Esports
LOLTMNT03_184350,113668648432187641,2025-01-16T18:00:00Z,2025-01-16 18:09:29,1,Los Heretics,LUA Gaming
LOLTMNT03_184375,113668648432187617,2025-01-16T19:00:00Z,2025-01-16 19:07:16,1,Ramboot Club,Barça eSports
LOLTMNT03_184416,113668648432187647,2025-01-16T20:00:00Z,2025-01-16 20:11:06,1,GIANTX iTero,Movistar KOI Fénix
LOLTMNT03_188414,113668648432187609,2025-01-21T17:00:00Z,2025-01-21 17:04:33,1,Veni Vidi Vici,Ramboot Club
LOLTMNT03_188451,113668648432253207,2025-01-21T19:00:00Z,2025-01-21 18:51:54,1,UCAM Esports,Barça eSports
LOLTMNT03_189330,113668648432253201,2025-01-21T20:00:00Z,2025-01-21 19:57:16,1,Movistar KOI Fénix,Los Heretics
LOLTMNT03_189341,113668648432187621,2025-01-21T21:00:00Z,2025-01-21 20:55:24,1,GIANTX iTero,Guasones
LOLTMNT03_188815,113668648432187629,2025-01-22T17:00:00Z,2025-01-22 17:06:05,1,Los Heretics,Guasones
LOLTMNT03_188828,113668648432253197,2025-01-22T18:00:00Z,2025-01-22 17:58:31,1,Barça eSports,Veni Vidi Vici
LOLTMNT03_188850,113668648432187649,2025-01-22T20:00:00Z,2025-01-22 19:28:16,1,GIANTX iTero,UCAM Esports
LOLTMNT03_188862,113668648432187605,2025-01-22T21:00:00Z,2025-01-22 20:21:55,1,Ramboot Club,LUA Gaming
LOLTMNT03_189909,113668648432187657,2025-01-23T17:00:00Z,2025-01-23 17:05:50,1,UCAM Esports,Veni Vidi Vici
LOLTMNT03_190143,113668648432187611,2025-01-23T19:00:00Z,2025-01-23 18:54:52,1,Movistar KOI Fénix,Ramboot Club
LOLTMNT03_190159,113668648432187643,2025-01-23T20:00:00Z,2025-01-23 20:05:30,1,LUA Gaming,Barça eSports
LOLTMNT03_189948,113668648432187651,2025-01-23T21:00:00Z,2025-01-23 21:16:27,1,GIANTX iTero,Los Heretics
LOLTMNT01_193651,113668648432187603,2025-01-28T17:00:00Z,2025-01-28 17:13:50,1,Ramboot Club,Guasones
LOLTMNT01_194638,113668648432187635,2025-01-28T19:00:00Z,2025-01-28 18:54:18,1,LUA Gaming,Veni Vidi Vici
LOLTMNT01_193749,113668648432253203,2025-01-28T20:00:00Z,2025-01-28 19:54:58,1,Barça eSports,Movistar KOI Fénix
LOLTMNT01_193769,113668648432253205,2025-01-28T21:00:00Z,2025-01-28 20:45:06,1,Los Heretics,UCAM Esports
LOLTMNT01_195094,113668648432187631,2025-01-29T18:00:00Z,2025-01-29 17:49:33,1,Guasones,Barça eSports
