oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT03_258379,113470922764572271,2025-06-27T19:00:00Z,2025-06-27 19:13:18,1,FURIA,G2 Esports
LOLTMNT03_257393,113470922764572272,2025-06-27T19:00:00Z,2025-06-27 20:00:28,2,G2 Esports,FURIA
LOLTMNT03_257408,113470922764572273,2025-06-27T19:00:00Z,2025-06-27 21:07:32,3,FURIA,G2 Esports
LOLTMNT03_258398,113470922764572274,2025-06-27T19:00:00Z,2025-06-27 22:05:40,4,G2 Esports,FURIA
LOLTMNT03_257416,113470922764572275,2025-06-27T19:00:00Z,2025-06-27 23:07:26,5,G2 Esports,FURIA
LOLTMNT03_257430,113470922764572277,2025-06-28T00:00:00Z,2025-06-28 00:05:11,1,Bilibili Gaming,GAM Esports
LOLTMNT03_258418,113470922764572278,2025-06-28T00:00:00Z,2025-06-28 00:57:24,2,GAM Esports,Bilibili Gaming
LOLTMNT03_257442,113470922764572279,2025-06-28T00:00:00Z,2025-06-28 01:49:22,3,GAM Esports,Bilibili Gaming
LOLTMNT03_258564,113470922764572289,2025-06-28T19:00:00Z,2025-06-28 19:08:37,1,GAM Esports,FURIA
LOLTMNT03_258569,113470922764572290,2025-06-28T19:00:00Z,2025-06-28 20:13:43,2,GAM Esports,FURIA
LOLTMNT03_258574,113470922764572291,2025-06-28T19:00:00Z,2025-06-28 21:02:44,3,GAM Esports,FURIA
LOLTMNT03_258579,113470922764572292,2025-06-28T19:00:00Z,2025-06-28 21:59:21,4,FURIA,GAM Esports
LOLTMNT03_257580,113470922764572293,2025-06-28T19:00:00Z,2025-06-28 22:54:16,5,FURIA,GAM Esports
LOLTMNT03_257596,113470922764572283,2025-06-29T00:00:00Z,2025-06-29 00:14:58,1,Bilibili Gaming,G2 Esports
LOLTMNT03_257602,113470922764572284,2025-06-29T00:00:00Z,2025-06-29 01:11:40,2,G2 Esports,Bilibili Gaming
LOLTMNT03_258617,113470922764572285,2025-06-29T00:00:00Z,2025-06-29 02:03:36,3,G2 Esports,Bilibili Gaming
LOLTMNT03_258859,113470922764572295,2025-06-30T00:00:00Z,2025-06-30 00:07:38,1,G2 Esports,GAM Esports
LOLTMNT03_257845,113470922764572296,2025-06-30T00:00:00Z,2025-06-30 00:57:50,2,GAM Esports,G2 Esports
LOLTMNT03_257849,113470922764572297,2025-06-30T00:00:00Z,2025-06-30 01:51:30,3,GAM Esports,G2 Esports
LOLTMNT03_257855,113470922764572298,2025-06-30T00:00:00Z,2025-06-30 02:44:53,4,G2 Esports,GAM Esports
LOLTMNT03_258884,113470922764572299,2025-06-30T00:00:00Z,2025-06-30 03:37:39,5,G2 Esports,GAM Esports
LOLTMNT03_261259,113470922758215200,2025-07-03T00:00:00Z,2025-07-03 00:09:12,1,Anyone's Legend,FlyQuest
LOLTMNT03_261266,113470922758215201,2025-07-03T00:00:00Z,2025-07-03 01:06:32,2,Anyone's Legend,FlyQuest
LOLTMNT03_261269,113470922758215202,2025-07-03T00:00:00Z,2025-07-03 01:55:15,3,FlyQuest,Anyone's Legend
LOLTMNT03_261272,113470922758215203,2025-07-03T00:00:00Z,2025-07-03 02:52:09,4,Anyone's Legend,FlyQuest
LOLTMNT03_261555,113470922758215212,2025-07-03T19:00:00Z,2025-07-03 19:09:34,1,Movistar KOI,Bilibili Gaming
LOLTMNT03_261584,113470922758215213,2025-07-03T19:00:00Z,2025-07-03 20:06:04,2,Movistar KOI,Bilibili Gaming
LOLTMNT03_261593,113470922758215214,2025-07-03T19:00:00Z,2025-07-03 20:57:08,3,Bilibili Gaming,Movistar KOI
LOLTMNT03_261611,113470922758215215,2025-07-03T19:00:00Z,2025-07-03 21:54:35,4,Movistar KOI,Bilibili Gaming
LOLTMNT03_262048,113470922758215207,2025-07-04T00:00:00Z,2025-07-04 00:00:46,2,CTBC Flying Oyster,T1
