oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT02_236530,114058320676724204,2025-03-26T21:00:00Z,2025-03-26 21:06:13,1,Apex Mission Impossible,Conviction
LOLTMNT02_236548,114058320676724205,2025-03-26T21:00:00Z,2025-03-26 22:12:05,2,Apex Mission Impossible,Conviction
LOLTMNT02_236569,114058320676658585,2025-03-27T00:00:00Z,2025-03-27 00:04:07,2,Luminosity Gaming,Near Airport
LOLTMNT02_235520,114058320676658586,2025-03-27T00:00:00Z,2025-03-27 01:04:09,3,Near Airport,Luminosity Gaming
LOLTMNT02_238415,114058320676658512,2025-03-28T21:00:00Z,2025-03-28 21:07:54,1,Winthrop University,Blue Otter
LOLTMNT02_237504,114058320676658513,2025-03-28T21:00:00Z,2025-03-28 21:56:38,2,Blue Otter,Winthrop University
LOLTMNT02_241787,114058320676658504,2025-04-02T21:00:00Z,2025-04-02 21:14:29,1,Pulse Star,Blue Otter
LOLTMNT02_242767,114058320676658505,2025-04-02T21:00:00Z,2025-04-02 22:09:47,2,Blue Otter,Pulse Star
LOLTMNT02_242782,114058320676724178,2025-04-03T00:00:00Z,2025-04-03 00:43:14,3,Apex Mission Impossible,Winthrop University
LOLTMNT02_244070,114058320676724161,2025-04-04T00:00:00Z,2025-04-04 00:03:07,2,Apex Mission Impossible,Supernova
LOLTMNT02_244235,114058320676724132,2025-04-04T21:00:00Z,2025-04-04 21:07:04,1,Pulse Star,Winthrop University
LOLTMNT02_244243,114058320676724133,2025-04-04T21:00:00Z,2025-04-04 21:58:04,2,Winthrop University,Pulse Star
LOLTMNT02_243340,114058320676724134,2025-04-04T21:00:00Z,2025-04-04 22:51:30,3,Winthrop University,Pulse Star
LOLTMNT02_244258,114058320676658557,2025-04-05T00:00:00Z,2025-04-05 00:36:42,2,Near Airport,CCG Esports
LOLTMNT02_244259,114058320676658558,2025-04-05T00:00:00Z,2025-04-05 01:28:07,3,CCG Esports,Near Airport
LOLTMNT03_219640,114058320676724142,2025-04-11T00:00:00Z,2025-04-11 00:21:38,3,Apex Mission Impossible,Pulse Star
LOLTMNT03_220735,114058320676658572,2025-04-11T21:00:00Z,2025-04-11 21:16:48,1,Winthrop University,Luminosity Gaming
LOLTMNT03_220752,114058320676658573,2025-04-11T21:00:00Z,2025-04-11 22:10:33,2,Luminosity Gaming,Winthrop University
LOLTMNT01_233264,114058320676724184,2025-04-25T21:00:00Z,2025-04-25 21:07:06,1,Conviction,Winthrop University
LOLTMNT01_233282,114058320676724185,2025-04-25T21:00:00Z,2025-04-25 22:04:48,2,Winthrop University,Conviction
LOLTMNT01_238657,114058320676724148,2025-05-01T21:00:00Z,2025-05-01 21:06:54,1,Conviction,Pulse Star
LOLTMNT01_239121,114058320676724149,2025-05-01T21:00:00Z,2025-05-01 21:50:27,2,Pulse Star,Conviction
LOLTMNT01_238678,114058320676658526,2025-05-02T00:00:00Z,2025-05-02 00:36:28,3,Near Airport,Blue Otter
LOLTMNT01_238872,114058320676658552,2025-05-02T21:00:00Z,2025-05-02 21:07:14,1,Apex Mission Impossible,CCG Esports
LOLTMNT01_239360,114058320676658553,2025-05-02T21:00:00Z,2025-05-02 22:02:49,2,Apex Mission Impossible,CCG Esports
LOLTMNT01_238884,114058320676724154,2025-05-03T00:00:00Z,2025-05-03 00:40:38,3,Winthrop University,Supernova
LOLTMNT02_260711,114058320676658520,2025-05-08T21:00:00Z,2025-05-08 21:06:51,1,Apex Mission Impossible,Blue Otter
LOLTMNT02_259789,114058320676658521,2025-05-08T21:00:00Z,2025-05-08 21:59:32,2,Blue Otter,Apex Mission Impossible
LOLTMNT02_260761,114058320676658562,2025-05-09T00:00:00Z,2025-05-09 00:43:29,3,Conviction,CCG Esports
LOLTMNT02_261498,114058320676724145,2025-05-10T00:00:00Z,2025-05-10 00:51:26,2,Pulse Star,Near Airport
LOLTMNT02_262547,114058320676658568,2025-05-10T03:00:00Z,2025-05-10 01:48:21,1,Luminosity Gaming,Supernova
LOLTMNT02_262560,114058320676658569,2025-05-10T03:00:00Z,2025-05-10 02:38:34,2,Luminosity Gaming,Supernova
LOLTMNT02_261539,114058320676658570,2025-05-10T03:00:00Z,2025-05-10 03:26:09,3,Luminosity Gaming,Supernova
LOLTMNT03_236286,114058320676724216,2025-05-15T20:00:00Z,2025-05-15 20:09:10,1,Near Airport,Winthrop University
LOLTMNT03_236302,114058320676724217,2025-05-15T20:00:00Z,2025-05-15 21:09:48,2,Near Airport,Winthrop University
LOLTMNT03_236326,114058320676724218,2025-05-15T20:00:00Z,2025-05-15 22:14:29,3,Near Airport,Winthrop University
LOLTMNT03_236338,114058320676724212,2025-05-15T23:00:00Z,2025-05-15 23:21:48,1,Conviction,CCG Esports
LOLTMNT03_252401,114058320676724246,2025-05-30T21:00:00Z,2025-05-30 21:07:03,1,Conviction,Near Airport
LOLTMNT03_252427,114058320676724247,2025-05-30T21:00:00Z,2025-05-30 21:53:41,2,Conviction,Near Airport
LOLTMNT03_253421,114058320676724248,2025-05-30T21:00:00Z,2025-05-30 22:42:53,3,Near Airport,Conviction
LOLTMNT03_252458,114058320676724249,2025-05-30T21:00:00Z,2025-05-30 23:42:40,4,Near Airport,Conviction
LOLTMNT01_259321,114748438522774030,2025-07-17T21:00:00Z,2025-07-17 21:08:26,1,Vancouver Impact,Blue Otter
LOLTMNT01_259335,114748438522774058,2025-07-17T22:00:00Z,2025-07-17 22:02:43,1,CCG Esports,Luminosity Gaming
LOLTMNT01_261358,114748438522839706,2025-07-17T23:00:00Z,2025-07-17 22:59:30,1,Citadel Gaming,Winthrop University
LOLTMNT01_261366,114748438522839686,2025-07-18T00:00:00Z,2025-07-18 00:14:54,1,Supernova,Dorado Gaming
LOLTMNT01_261677,114748438522774026,2025-07-18T21:00:00Z,2025-07-18 21:07:08,1,Luminosity Gaming,Blue Otter
LOLTMNT01_259696,114748438522774122,2025-07-18T22:00:00Z,2025-07-18 22:14:02,1,Vancouver Impact,Winthrop University
LOLTMNT01_261718,114748438522839734,2025-07-19T00:00:00Z,2025-07-19 00:07:48,1,Conviction,Citadel Gaming
LOLTMNT01_261724,114748438522774066,2025-07-19T01:00:00Z,2025-07-19 01:07:44,1,CCG Esports,Supernova
LOLTMNT01_268021,114748438522839726,2025-07-24T21:00:00Z,2025-07-24 21:07:30,1,Dorado Gaming,Citadel Gaming
LOLTMNT01_266580,114748438522774094,2025-07-24T22:00:00Z,2025-07-24 22:31:59,1,Luminosity Gaming,Supernova
