oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT06_96247,113668046993533348,2025-01-15T18:00:00Z,2025-01-15 18:15:31,1,Bulldog Esports,Verdant
LOLTMNT06_96258,113668046993533346,2025-01-15T19:00:00Z,2025-01-15 19:25:59,1,Lundqvist Lightside,Los Ratones
LOLTMNT06_96264,113668046993533350,2025-01-15T21:00:00Z,2025-01-15 21:38:26,1,Bulldog Esports,Lundqvist Lightside
LOLTMNT06_95284,113668046993533354,2025-01-16T17:00:00Z,2025-01-16 17:15:00,1,Ruddy Corporation,Rich Gang
LOLTMNT06_95291,113668046993533368,2025-01-16T18:00:00Z,2025-01-16 18:12:45,1,DMG Esports,Venomcrest Esports
LOLTMNT06_95294,113668046993533366,2025-01-16T19:00:00Z,2025-01-16 19:08:47,1,Ruddy Corporation,KAOS e-sport
LOLTMNT06_95295,113668046993533358,2025-01-16T20:00:00Z,2025-01-16 20:00:47,1,Venomcrest Esports,Rich Gang
LOLTMNT06_95297,113668046993533370,2025-01-16T21:00:00Z,2025-01-16 21:19:29,1,KAOS e-sport,DMG Esports
LOLTMNT06_95660,113668046993533352,2025-01-22T18:00:00Z,2025-01-22 18:10:29,1,Verdant,Lundqvist Lightside
LOLTMNT06_96709,113668046993533342,2025-01-22T19:00:00Z,2025-01-22 19:14:59,1,Los Ratones,Bulldog Esports
LOLTMNT06_96717,113668046993533344,2025-01-22T21:00:00Z,2025-01-22 21:03:55,1,Verdant,Los Ratones
LOLTMNT06_95741,113668046993533356,2025-01-23T17:00:00Z,2025-01-23 17:15:45,1,Rich Gang,DMG Esports
LOLTMNT06_96773,113668046993533372,2025-01-23T18:00:00Z,2025-01-23 18:09:34,1,Venomcrest Esports,KAOS e-sport
LOLTMNT06_96792,113668046993533362,2025-01-23T19:00:00Z,2025-01-23 19:13:20,1,Ruddy Corporation,DMG Esports
LOLTMNT06_95772,113668046993533360,2025-01-23T20:00:00Z,2025-01-23 20:07:24,1,KAOS e-sport,Rich Gang
LOLTMNT06_95773,113668046993533364,2025-01-23T21:00:00Z,2025-01-23 21:05:35,1,Ruddy Corporation,Venomcrest Esports
LOLTMNT06_96829,113879496072811533,2025-01-24T17:00:00Z,2025-01-24 17:08:48,1,Bulldog Esports,Lundqvist Lightside
LOLTMNT06_96841,113879498153450888,2025-01-24T18:00:00Z,2025-01-24 18:14:59,1,Verdant,Lundqvist Lightside
LOLTMNT06_95811,113879499033553070,2025-01-24T19:00:00Z,2025-01-24 19:11:38,1,Bulldog Esports,Verdant
LOLTMNT04_92414,113668046993533374,2025-01-29T17:00:00Z,2025-01-29 17:08:33,1,Los Ratones,DMG Esports
