oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT02_210881,113685278535180272,2025-02-10T09:00:00Z,2025-02-10 09:03:42,1,Frank Esports,CTBC Flying Oyster Academy
LOLTMNT02_211310,113685278535180273,2025-02-10T09:00:00Z,2025-02-10 09:47:41,2,CTBC Flying Oyster Academy,Frank Esports
LOLTMNT02_210893,113685278535180280,2025-02-10T11:00:00Z,2025-02-10 10:25:49,1,Ground Zero Gaming,HELL PIGS
LOLTMNT02_210907,113685278535180281,2025-02-10T11:00:00Z,2025-02-10 11:14:00,2,Ground Zero Gaming,HELL PIGS
LOLTMNT02_210941,113685278535180244,2025-02-10T13:00:00Z,2025-02-10 12:03:35,1,Deep Cross Gaming,PSG Talon Academy
LOLTMNT02_211380,113685278535180245,2025-02-10T13:00:00Z,2025-02-10 12:50:08,2,PSG Talon Academy,Deep Cross Gaming
LOLTMNT02_211639,113685278535180324,2025-02-11T09:00:00Z,2025-02-11 09:03:52,1,West Point Esports,Hungkuang Falcon (弘光獵鷹)
LOLTMNT02_211647,113685278535180325,2025-02-11T09:00:00Z,2025-02-11 09:51:07,2,West Point Esports,Hungkuang Falcon (弘光獵鷹)
LOLTMNT02_212232,113685278535180256,2025-02-11T11:00:00Z,2025-02-11 10:31:40,1,CTBC Flying Oyster Academy,HELL PIGS
LOLTMNT02_212248,113685278535180257,2025-02-11T11:00:00Z,2025-02-11 11:16:43,2,CTBC Flying Oyster Academy,HELL PIGS
LOLTMNT02_211694,113685278535180258,2025-02-11T11:00:00Z,2025-02-11 12:11:52,3,HELL PIGS,CTBC Flying Oyster Academy
LOLTMNT02_212664,113685278535180304,2025-02-12T09:00:00Z,2025-02-12 09:06:07,1,Deep Cross Gaming,Ground Zero Gaming
LOLTMNT02_212667,113685278535180305,2025-02-12T09:00:00Z,2025-02-12 09:42:37,2,Ground Zero Gaming,Deep Cross Gaming
LOLTMNT02_212683,113685278535180248,2025-02-12T11:00:00Z,2025-02-12 10:27:18,1,Frank Esports,PSG Talon Academy
LOLTMNT02_213088,113685278535180249,2025-02-12T11:00:00Z,2025-02-12 11:18:11,2,Frank Esports,PSG Talon Academy
LOLTMNT02_213102,113685278535180250,2025-02-12T11:00:00Z,2025-02-12 12:17:20,3,PSG Talon Academy,Frank Esports
LOLTMNT02_218658,113685278535180308,2025-02-17T09:00:00Z,2025-02-17 09:04:53,1,Frank Esports,Ground Zero Gaming
LOLTMNT02_218664,113685278535180309,2025-02-17T09:00:00Z,2025-02-17 09:49:09,2,Ground Zero Gaming,Frank Esports
LOLTMNT02_218691,113685278535180316,2025-02-17T11:00:00Z,2025-02-17 10:35:22,1,Deep Cross Gaming,Hungkuang Falcon (弘光獵鷹)
LOLTMNT02_218711,113685278535180317,2025-02-17T11:00:00Z,2025-02-17 11:17:51,2,Hungkuang Falcon (弘光獵鷹),Deep Cross Gaming
LOLTMNT02_218728,113685278535180296,2025-02-17T13:00:00Z,2025-02-17 11:59:46,1,West Point Esports,HELL PIGS
LOLTMNT02_218753,113685278535180297,2025-02-17T13:00:00Z,2025-02-17 12:45:43,2,HELL PIGS,West Point Esports
LOLTMNT02_217846,113685278535180298,2025-02-17T13:00:00Z,2025-02-17 13:40:25,3,West Point Esports,HELL PIGS
LOLTMNT02_220055,113685278535180268,2025-02-18T09:00:00Z,2025-02-18 09:09:58,1,CTBC Flying Oyster Academy,Deep Cross Gaming
LOLTMNT02_220070,113685278535180269,2025-02-18T09:00:00Z,2025-02-18 09:57:32,2,CTBC Flying Oyster Academy,Deep Cross Gaming
LOLTMNT02_220081,113685278535180236,2025-02-18T11:00:00Z,2025-02-18 10:44:05,1,Ground Zero Gaming,PSG Talon Academy
LOLTMNT02_219180,113685278535180237,2025-02-18T11:00:00Z,2025-02-18 11:29:11,2,Ground Zero Gaming,PSG Talon Academy
LOLTMNT02_221062,113685278535180284,2025-02-19T09:00:00Z,2025-02-19 09:05:38,1,HELL PIGS,Hungkuang Falcon (弘光獵鷹)
LOLTMNT02_221063,113685278535180285,2025-02-19T09:00:00Z,2025-02-19 09:46:04,2,Hungkuang Falcon (弘光獵鷹),HELL PIGS
LOLTMNT02_222091,113685278535180336,2025-02-19T11:00:00Z,2025-02-19 10:37:39,1,West Point Esports,Frank Esports
LOLTMNT02_222097,113685278535180337,2025-02-19T11:00:00Z,2025-02-19 11:35:01,2,Frank Esports,West Point Esports
LOLTMNT03_200716,113685278535180240,2025-02-24T09:00:00Z,2025-02-24 09:04:48,1,Hungkuang Falcon (弘光獵鷹),PSG Talon Academy
LOLTMNT03_200727,113685278535180241,2025-02-24T09:00:00Z,2025-02-24 09:54:25,2,Hungkuang Falcon (弘光獵鷹),PSG Talon Academy
LOLTMNT03_200742,113685278535180260,2025-02-24T11:00:00Z,2025-02-24 10:36:30,1,Ground Zero Gaming,CTBC Flying Oyster Academy
LOLTMNT03_199769,113685278535180261,2025-02-24T11:00:00Z,2025-02-24 11:23:37,2,CTBC Flying Oyster Academy,Ground Zero Gaming
LOLTMNT03_199785,113685278535180262,2025-02-24T11:00:00Z,2025-02-24 12:07:27,3,Ground Zero Gaming,CTBC Flying Oyster Academy
LOLTMNT03_199801,113685278535180332,2025-02-24T13:00:00Z,2025-02-24 13:00:39,1,Deep Cross Gaming,West Point Esports
LOLTMNT03_200804,113685278535180333,2025-02-24T13:00:00Z,2025-02-24 13:52:21,2,West Point Esports,Deep Cross Gaming
LOLTMNT03_204882,113685278535180320,2025-03-03T09:00:00Z,2025-03-03 09:09:05,1,Frank Esports,Hungkuang Falcon (弘光獵鷹)
LOLTMNT03_204891,113685278535180321,2025-03-03T09:00:00Z,2025-03-03 09:51:56,2,Frank Esports,Hungkuang Falcon (弘光獵鷹)
LOLTMNT03_205869,113685278535180312,2025-03-03T11:00:00Z,2025-03-03 10:34:36,1,Ground Zero Gaming,West Point Esports
LOLTMNT03_204907,113685278535180313,2025-03-03T11:00:00Z,2025-03-03 11:22:32,2,Ground Zero Gaming,West Point Esports
