oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT05_113406,113668118971722263,2025-02-25T17:00:00Z,2025-02-25 17:06:30,1,Austrian Force willhaben,TeamOrangeGaming
LOLTMNT05_113407,113668118971722264,2025-02-25T17:00:00Z,2025-02-25 17:55:11,2,TeamOrangeGaming,Austrian Force willhaben
LOLTMNT05_113410,113668118971722265,2025-02-25T17:00:00Z,2025-02-25 18:43:43,3,Austrian Force willhaben,TeamOrangeGaming
LOLTMNT05_113417,113668118971722266,2025-02-25T17:00:00Z,2025-02-25 19:34:57,4,Austrian Force willhaben,TeamOrangeGaming
LOLTMNT04_107292,114177391618826202,2025-04-23T16:00:00Z,2025-04-23 16:04:27,1,Austrian Force willhaben,CGN Esports
LOLTMNT04_107319,114177391618826203,2025-04-23T16:00:00Z,2025-04-23 17:20:19,2,CGN Esports,Austrian Force willhaben
LOLTMNT04_106274,114177391618826204,2025-04-23T16:00:00Z,2025-04-23 18:14:07,3,Austrian Force willhaben,CGN Esports
LOLTMNT04_106277,114177360303169247,2025-04-23T18:00:00Z,2025-04-23 19:09:59,1,TeamOrangeGaming,E WIE EINFACH E-SPORTS
LOLTMNT04_106282,114177360303169248,2025-04-23T18:00:00Z,2025-04-23 20:05:29,2,TeamOrangeGaming,E WIE EINFACH E-SPORTS
LOLTMNT04_109101,114177391618695098,2025-04-29T16:00:00Z,2025-04-29 16:05:11,1,Kaufland Hangry Knights,ROSSMANN Centaurs
LOLTMNT04_108674,114177391618826174,2025-04-29T16:00:00Z,2025-04-29 16:06:39,1,Eintracht Frankfurt,Eintracht Spandau
LOLTMNT04_108676,114177391618695099,2025-04-29T16:00:00Z,2025-04-29 16:51:43,2,ROSSMANN Centaurs,Kaufland Hangry Knights
LOLTMNT04_109105,114177391618826175,2025-04-29T16:00:00Z,2025-04-29 17:07:00,2,Eintracht Spandau,Eintracht Frankfurt
LOLTMNT04_108681,114177360303169227,2025-04-29T18:00:00Z,2025-04-29 18:04:32,1,Berlin International Gaming,TeamOrangeGaming
LOLTMNT04_109111,114177360303169228,2025-04-29T18:00:00Z,2025-04-29 18:58:35,2,TeamOrangeGaming,Berlin International Gaming
LOLTMNT04_109323,114177391618695050,2025-04-30T16:00:00Z,2025-04-30 16:04:36,1,Unicorns of Love Sexy Edition,Austrian Force willhaben
LOLTMNT04_108918,114177391618695051,2025-04-30T16:00:00Z,2025-04-30 16:50:28,2,Unicorns of Love Sexy Edition,Austrian Force willhaben
LOLTMNT04_109352,114177391618695052,2025-04-30T16:00:00Z,2025-04-30 17:43:24,3,Austrian Force willhaben,Unicorns of Love Sexy Edition
LOLTMNT04_108949,114177391618695074,2025-04-30T18:00:00Z,2025-04-30 18:32:09,1,E WIE EINFACH E-SPORTS,CGN Esports
LOLTMNT04_108952,114177391618695075,2025-04-30T18:00:00Z,2025-04-30 19:16:52,2,CGN Esports,E WIE EINFACH E-SPORTS
LOLTMNT04_108954,114177391618695076,2025-04-30T18:00:00Z,2025-04-30 20:19:02,3,E WIE EINFACH E-SPORTS,CGN Esports
LOLTMNT05_131369,114177360303169251,2025-05-07T16:00:00Z,2025-05-07 16:03:45,1,TeamOrangeGaming,ROSSMANN Centaurs
LOLTMNT05_131376,114177360303169252,2025-05-07T16:00:00Z,2025-05-07 17:00:43,2,ROSSMANN Centaurs,TeamOrangeGaming
