oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT04_93366,113674097169087153,2025-01-28T19:00:00Z,2025-01-28 20:08:32,1,Forsaken,Back2TheGame
LOLTMNT04_93368,113674097169087154,2025-01-28T19:00:00Z,2025-01-28 21:20:52,2,Forsaken,Back2TheGame
LOLTMNT01_202033,113674097169152753,2025-02-04T16:00:00Z,2025-02-04 16:07:56,1,LODIS,MY STAR
LOLTMNT01_203013,113674097169152754,2025-02-04T16:00:00Z,2025-02-04 17:10:24,2,MY STAR,LODIS
LOLTMNT01_203441,113674097169087117,2025-02-05T19:00:00Z,2025-02-05 18:09:13,1,Zero Tenacity,Forsaken
LOLTMNT01_203452,113674097169087118,2025-02-05T19:00:00Z,2025-02-05 19:10:01,2,Forsaken,Zero Tenacity
LOLTMNT01_203469,113674097169087119,2025-02-05T19:00:00Z,2025-02-05 20:08:47,3,Zero Tenacity,Forsaken
LOLTMNT02_212380,113674097169087129,2025-02-11T16:00:00Z,2025-02-11 16:07:09,1,Zero Tenacity,Back2TheGame
LOLTMNT02_211844,113674097169087130,2025-02-11T16:00:00Z,2025-02-11 16:58:29,2,Zero Tenacity,Back2TheGame
LOLTMNT02_217096,113674097169087161,2025-02-15T12:30:00Z,2025-02-15 12:40:18,1,LODIS,Forsaken
LOLTMNT02_218022,113674097169087162,2025-02-15T12:30:00Z,2025-02-15 13:46:57,2,LODIS,Forsaken
LOLTMNT02_218056,113674097169087163,2025-02-15T12:30:00Z,2025-02-15 14:44:47,3,Forsaken,LODIS
LOLTMNT02_219331,113674097169087133,2025-02-18T16:00:00Z,2025-02-18 16:09:35,1,Zero Tenacity,MY STAR
LOLTMNT02_220232,113674097169087134,2025-02-18T16:00:00Z,2025-02-18 17:03:47,2,MY STAR,Zero Tenacity
LOLTMNT02_222278,113674097169152741,2025-02-19T19:00:00Z,2025-02-19 18:38:40,1,MY STAR,Back2TheGame
LOLTMNT02_221289,113674097169152742,2025-02-19T19:00:00Z,2025-02-19 19:35:50,2,MY STAR,Back2TheGame
LOLTMNT01_232778,114161562263750672,2025-04-26T09:30:00Z,2025-04-26 09:38:33,1,Forsaken,LODIS
LOLTMNT01_233646,114161562263750673,2025-04-26T09:30:00Z,2025-04-26 10:36:57,2,Forsaken,LODIS
LOLTMNT01_232903,114161562263750674,2025-04-26T09:30:00Z,2025-04-26 11:33:21,3,LODIS,Forsaken
LOLTMNT01_235250,114161562263750716,2025-04-27T09:30:00Z,2025-04-27 09:40:28,1,Zero Tenacity,StormMedia Fajnie Mieć Skład
LOLTMNT01_235284,114161562263750717,2025-04-27T09:30:00Z,2025-04-27 10:39:56,2,StormMedia Fajnie Mieć Skład,Zero Tenacity
LOLTMNT01_234763,114161562263750718,2025-04-27T09:30:00Z,2025-04-27 11:38:05,3,Zero Tenacity,StormMedia Fajnie Mieć Skład
LOLTMNT01_282352,114742343629334681,2025-09-05T10:00:00Z,2025-09-05 11:18:11,1,StormMedia Fajnie Mieć Skład,Forsaken
LOLTMNT01_282399,114742343629334682,2025-09-05T10:00:00Z,2025-09-05 12:23:47,2,StormMedia Fajnie Mieć Skład,Forsaken
LOLTMNT01_282447,114742343629334683,2025-09-05T10:00:00Z,2025-09-05 13:24:44,3,Forsaken,StormMedia Fajnie Mieć Skład
LOLTMNT01_283188,114742343629334684,2025-09-05T10:00:00Z,2025-09-05 15:20:29,4,StormMedia Fajnie Mieć Skład,Forsaken
LOLTMNT01_283223,114742343629334685,2025-09-05T10:00:00Z,2025-09-05 16:31:40,5,Forsaken,StormMedia Fajnie Mieć Skład
LOLTMNT01_283340,114742343629334687,2025-09-05T15:30:00Z,2025-09-05 18:52:28,1,Zero Tenacity,Barcząca Esports
LOLTMNT01_283355,114742343629334688,2025-09-05T15:30:00Z,2025-09-05 19:45:42,2,Barcząca Esports,Zero Tenacity
LOLTMNT01_283389,114742343629334689,2025-09-05T15:30:00Z,2025-09-05 20:51:56,3,Barcząca Esports,Zero Tenacity
LOLTMNT01_283405,114742343629334690,2025-09-05T15:30:00Z,2025-09-05 21:51:36,4,Zero Tenacity,Barcząca Esports
LOLTMNT01_283629,114742343629334693,2025-09-06T10:00:00Z,2025-09-06 11:22:08,1,Zero Tenacity,Forsaken
LOLTMNT01_283667,114742343629334694,2025-09-06T10:00:00Z,2025-09-06 12:38:53,2,Zero Tenacity,Forsaken
LOLTMNT01_284128,114742343629334695,2025-09-06T10:00:00Z,2025-09-06 13:54:11,3,Zero Tenacity,Forsaken
LOLTMNT01_283801,114742343629334696,2025-09-06T10:00:00Z,2025-09-06 14:55:32,4,Zero Tenacity,Forsaken
LOLTMNT01_284841,114742343629334699,2025-09-07T10:00:00Z,2025-09-07 10:29:48,1,StormMedia Fajnie Mieć Skład,Zero Tenacity
LOLTMNT01_284866,114742343629334700,2025-09-07T10:00:00Z,2025-09-07 11:28:11,2,StormMedia Fajnie Mieć Skład,Zero Tenacity
LOLTMNT01_285374,114742343629334701,2025-09-07T10:00:00Z,2025-09-07 12:25:14,3,Zero Tenacity,StormMedia Fajnie Mieć Skład
LOLTMNT01_284940,114742343629334702,2025-09-07T10:00:00Z,2025-09-07 13:45:36,4,Zero Tenacity,StormMedia Fajnie Mieć Skład
