oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT02_211873,113866446098445193,2025-02-11T18:00:00Z,2025-02-11 18:14:11,1,Once Upon A Team,A One Man Army
LOLTMNT02_211916,113866446098445194,2025-02-11T18:00:00Z,2025-02-11 19:16:31,2,A One Man Army,Once Upon A Team
LOLTMNT02_211937,113866446098445195,2025-02-11T18:00:00Z,2025-02-11 20:19:38,3,A One Man Army,Once Upon A Team
LOLTMNT02_215223,113866446098445201,2025-02-13T18:00:00Z,2025-02-13 18:06:56,1,Aurora,Myth Esports
LOLTMNT02_216250,113866446098445202,2025-02-13T18:00:00Z,2025-02-13 19:01:27,2,Aurora,Myth Esports
LOLTMNT02_219421,113866446098445209,2025-02-18T18:00:00Z,2025-02-18 18:04:49,1,ZennIT,mCon esports
LOLTMNT02_219480,113866446098510746,2025-02-18T18:00:00Z,2025-02-18 19:04:12,2,mCon esports,ZennIT
LOLTMNT02_219522,113866446098576283,2025-02-18T18:00:00Z,2025-02-18 20:12:11,3,ZennIT,mCon esports
LOLTMNT02_222239,113866446098576289,2025-02-19T18:00:00Z,2025-02-19 18:04:41,1,Once Upon A Team,Senshi eSports
LOLTMNT02_221276,113866446098576290,2025-02-19T18:00:00Z,2025-02-19 19:05:50,2,Senshi eSports,Once Upon A Team
LOLTMNT02_222565,113866446098641833,2025-02-20T18:00:00Z,2025-02-20 18:04:49,1,Myth Esports,Jörmungang
LOLTMNT02_221574,113866446098641834,2025-02-20T18:00:00Z,2025-02-20 18:57:12,2,Jörmungang,Myth Esports
LOLTMNT02_221589,113866446098641835,2025-02-20T18:00:00Z,2025-02-20 19:54:37,3,Myth Esports,Jörmungang
LOLTMNT03_201174,113866446098641847,2025-02-25T18:00:00Z,2025-02-25 18:05:10,1,Myth Esports,mCon esports
LOLTMNT03_201214,113866446098641848,2025-02-25T18:00:00Z,2025-02-25 19:05:19,2,Myth Esports,mCon esports
LOLTMNT03_201237,113866446098641849,2025-02-25T18:00:00Z,2025-02-25 19:58:42,3,Myth Esports,mCon esports
LOLTMNT03_201797,113866446098641841,2025-02-27T18:00:00Z,2025-02-27 18:04:41,1,ZennIT,A One Man Army
LOLTMNT03_201821,113866446098641842,2025-02-27T18:00:00Z,2025-02-27 18:59:38,2,A One Man Army,ZennIT
LOLTMNT03_202752,113866446098641843,2025-02-27T18:00:00Z,2025-02-27 19:55:50,3,A One Man Army,ZennIT
LOLTMNT03_206261,113866446098641853,2025-03-04T18:00:00Z,2025-03-04 18:05:01,1,A One Man Army,mCon esports
LOLTMNT03_206278,113866446098641854,2025-03-04T18:00:00Z,2025-03-04 18:57:17,2,mCon esports,A One Man Army
LOLTMNT03_206288,113866446098641855,2025-03-04T18:00:00Z,2025-03-04 19:54:52,3,mCon esports,A One Man Army
LOLTMNT03_206569,113866446098641859,2025-03-06T18:00:00Z,2025-03-06 18:05:12,1,ZennIT,mCon esports
LOLTMNT03_206586,113866446098641860,2025-03-06T18:00:00Z,2025-03-06 18:50:48,2,mCon esports,ZennIT
LOLTMNT03_207530,113866446098641861,2025-03-06T18:00:00Z,2025-03-06 19:42:16,3,ZennIT,mCon esports
LOLTMNT03_207538,113866446098641862,2025-03-06T18:00:00Z,2025-03-06 20:40:29,4,mCon esports,ZennIT
LOLTMNT03_207544,113866446098641863,2025-03-06T18:00:00Z,2025-03-06 21:39:32,5,ZennIT,mCon esports
LOLTMNT02_235050,114161485626485750,2025-03-25T18:00:00Z,2025-03-25 18:11:08,1,Myth Esports,Senshi eSports
LOLTMNT02_236092,114161485626485751,2025-03-25T18:00:00Z,2025-03-25 19:20:15,2,Senshi eSports,Myth Esports
LOLTMNT02_235107,114161485626485752,2025-03-25T18:00:00Z,2025-03-25 20:13:18,3,Myth Esports,Senshi eSports
LOLTMNT02_235837,114161485626420174,2025-03-27T18:00:00Z,2025-03-27 18:06:12,1,A One Man Army,Jörmungang
LOLTMNT02_235862,114161485626420175,2025-03-27T18:00:00Z,2025-03-27 19:03:42,2,A One Man Army,Jörmungang
LOLTMNT02_236926,114161485626485742,2025-03-27T19:00:00Z,2025-03-27 19:06:03,1,Aurora,ZennIT
LOLTMNT02_236948,114161485626485743,2025-03-27T19:00:00Z,2025-03-27 19:57:35,2,Aurora,ZennIT
LOLTMNT02_241351,114161485626485778,2025-04-01T17:00:00Z,2025-04-01 17:04:27,1,mCon esports,ZennIT
LOLTMNT02_241389,114161485626485779,2025-04-01T17:00:00Z,2025-04-01 18:05:55,2,ZennIT,mCon esports
LOLTMNT02_242380,114161485626485754,2025-04-01T18:00:00Z,2025-04-01 18:06:04,1,Senshi eSports,A One Man Army
LOLTMNT02_242404,114161485626485780,2025-04-01T17:00:00Z,2025-04-01 19:05:59,3,mCon esports,ZennIT
LOLTMNT02_242413,114161485626485755,2025-04-01T18:00:00Z,2025-04-01 19:18:34,2,A One Man Army,Senshi eSports
LOLTMNT02_242452,114161485626485756,2025-04-01T18:00:00Z,2025-04-01 20:30:29,3,Senshi eSports,A One Man Army
LOLTMNT02_243093,114161485626485738,2025-04-03T17:00:00Z,2025-04-03 17:05:39,1,Once Upon A Team,Aurora
LOLTMNT02_244030,114161485626485739,2025-04-03T17:00:00Z,2025-04-03 18:13:29,2,Once Upon A Team,Aurora
LOLTMNT02_243114,114161485626420170,2025-04-03T18:00:00Z,2025-04-03 18:14:58,1,Jörmungang,Myth Esports
LOLTMNT02_244034,114161485626485740,2025-04-03T17:00:00Z,2025-04-03 19:09:04,3,Aurora,Once Upon A Team
LOLTMNT02_244035,114161485626420171,2025-04-03T18:00:00Z,2025-04-03 19:12:25,2,Myth Esports,Jörmungang
LOLTMNT02_244046,114161485626420172,2025-04-03T18:00:00Z,2025-04-03 20:07:33,3,Jörmungang,Myth Esports
LOLTMNT03_216735,114161485626420194,2025-04-08T17:00:00Z,2025-04-08 17:07:15,1,Myth Esports,Aurora
LOLTMNT03_216783,114161485626420195,2025-04-08T17:00:00Z,2025-04-08 18:05:32,2,Myth Esports,Aurora
LOLTMNT03_215805,114161485626420178,2025-04-08T18:00:00Z,2025-04-08 18:10:15,1,Once Upon A Team,Jörmungang
LOLTMNT03_215836,114161485626420196,2025-04-08T17:00:00Z,2025-04-08 18:58:55,3,Myth Esports,Aurora
LOLTMNT03_216827,114161485626420179,2025-04-08T18:00:00Z,2025-04-08 19:07:46,2,Jörmungang,Once Upon A Team
LOLTMNT03_215872,114161485626420180,2025-04-08T18:00:00Z,2025-04-08 20:09:13,3,Once Upon A Team,Jörmungang
LOLTMNT03_218925,114161485626485770,2025-04-10T17:00:00Z,2025-04-10 17:05:24,1,mCon esports,A One Man Army
