oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT06_95719,113674172583881808,2025-01-23T14:30:00Z,2025-01-23 14:32:07,1,Papara SuperMassive,BBL Dark Passage
LOLTMNT06_95723,113674172583881798,2025-01-23T15:30:00Z,2025-01-23 15:46:27,1,ULF Esports,Beşiktaş Esports
LOLTMNT06_96750,113674172583816222,2025-01-23T16:30:00Z,2025-01-23 17:02:42,1,Bushido Wildcats,BoostGate Esports
LOLTMNT06_95755,113674172583881822,2025-01-23T17:30:00Z,2025-01-23 18:15:52,1,Eternal Fire,Misa Esports
LOLTMNT06_115137,114160047311881228,2025-04-17T14:30:00Z,2025-04-17 14:34:21,1,Eternal Fire,Bushido Wildcats
LOLTMNT06_115166,114160047311946778,2025-04-17T15:30:00Z,2025-04-17 16:20:49,1,Beşiktaş Esports,Papara SuperMassive
LOLTMNT06_114146,114160047311946802,2025-04-17T16:30:00Z,2025-04-17 17:36:52,1,BBL Dark Passage,ULF Esports
LOLTMNT06_115185,114160047311881234,2025-04-17T17:30:00Z,2025-04-17 18:47:04,1,BoostGate Esports,Misa Esports
LOLTMNT06_129488,114794176901886927,2025-07-17T14:30:00Z,2025-07-17 14:28:28,1,Misa Esports,BoostGate Esports
LOLTMNT06_129518,114794176901952475,2025-07-17T16:00:00Z,2025-07-17 15:30:09,1,Beşiktaş Esports,BBL Dark Passage
LOLTMNT06_128525,114794176901886921,2025-07-17T17:30:00Z,2025-07-17 16:46:43,1,Bushido Wildcats,The Forbidden Five
LOLTMNT06_129545,114794176901952485,2025-07-17T19:00:00Z,2025-07-17 18:08:22,1,ULF Esports,Papara SuperMassive
LOLTMNT06_128591,114794176901952481,2025-07-18T14:30:00Z,2025-07-18 14:31:14,1,Misa Esports,Papara SuperMassive
LOLTMNT06_129621,114794176901886919,2025-07-18T15:30:00Z,2025-07-18 15:40:22,1,ULF Esports,Bushido Wildcats
LOLTMNT06_129630,114794176901952497,2025-07-18T16:30:00Z,2025-07-18 16:59:44,1,The Forbidden Five,BBL Dark Passage
LOLTMNT06_128619,114794176901886923,2025-07-18T17:30:00Z,2025-07-18 18:17:43,1,Beşiktaş Esports,BoostGate Esports
LOLTMNT04_125182,114794176901952473,2025-07-24T14:30:00Z,2025-07-24 14:27:30,1,Misa Esports,Beşiktaş Esports
LOLTMNT04_125190,114794176901952495,2025-07-24T15:30:00Z,2025-07-24 15:30:58,1,ULF Esports,BBL Dark Passage
LOLTMNT04_125215,114794176901952469,2025-07-24T16:30:00Z,2025-07-24 16:33:35,1,BoostGate Esports,The Forbidden Five
LOLTMNT04_125230,114794176901886913,2025-07-24T17:30:00Z,2025-07-24 17:42:29,1,Papara SuperMassive,Bushido Wildcats
LOLTMNT04_125273,114794176901952479,2025-07-25T14:30:00Z,2025-07-25 14:26:49,1,Beşiktaş Esports,The Forbidden Five
LOLTMNT04_125279,114794176901952483,2025-07-25T15:30:00Z,2025-07-25 15:29:12,1,BBL Dark Passage,Papara SuperMassive
LOLTMNT04_125284,114794176901886931,2025-07-25T16:30:00Z,2025-07-25 16:41:28,1,BoostGate Esports,ULF Esports
LOLTMNT04_127046,114794176901886915,2025-07-25T17:30:00Z,2025-07-25 17:49:58,1,Misa Esports,Bushido Wildcats
LOLTMNT04_127298,114794176901886925,2025-07-31T14:30:00Z,2025-07-31 14:29:45,1,Papara SuperMassive,BoostGate Esports
LOLTMNT04_125555,114794176901886917,2025-07-31T15:30:00Z,2025-07-31 15:35:39,1,Bushido Wildcats,BBL Dark Passage
LOLTMNT04_125569,114794176901952493,2025-07-31T16:30:00Z,2025-07-31 16:48:10,1,The Forbidden Five,Misa Esports
LOLTMNT04_127335,114794176901952477,2025-07-31T17:30:00Z,2025-07-31 17:47:32,1,Beşiktaş Esports,ULF Esports
LOLTMNT04_127372,114794176901952499,2025-08-01T14:30:00Z,2025-08-01 14:28:56,1,The Forbidden Five,ULF Esports
LOLTMNT04_125630,114794176901952489,2025-08-01T15:30:00Z,2025-08-01 15:36:34,1,Misa Esports,BBL Dark Passage
LOLTMNT04_127399,114794176901886909,2025-08-01T16:30:00Z,2025-08-01 16:34:13,1,BoostGate Esports,Bushido Wildcats
LOLTMNT04_127405,114794176901952471,2025-08-01T17:30:00Z,2025-08-01 17:33:48,1,Beşiktaş Esports,Papara SuperMassive
LOLTMNT05_146494,114794176901886911,2025-08-07T14:30:00Z,2025-08-07 14:33:03,1,Bushido Wildcats,Beşiktaş Esports
LOLTMNT05_145498,114794176901886929,2025-08-07T15:30:00Z,2025-08-07 15:41:16,1,BBL Dark Passage,BoostGate Esports
LOLTMNT05_145524,114794176901952487,2025-08-07T16:30:00Z,2025-08-07 16:51:09,1,Papara SuperMassive,The Forbidden Five
LOLTMNT05_145532,114794176901952491,2025-08-07T17:30:00Z,2025-08-07 17:46:07,1,ULF Esports,Misa Esports
LOLTMNT05_146601,114794176902018077,2025-08-08T14:30:00Z,2025-08-08 14:32:53,1,ULF Esports,Papara SuperMassive
LOLTMNT05_146610,114794176902018049,2025-08-08T15:30:00Z,2025-08-08 15:31:54,1,The Forbidden Five,Bushido Wildcats
LOLTMNT05_146624,114794176902018055,2025-08-08T16:30:00Z,2025-08-08 16:26:50,1,Misa Esports,BoostGate Esports
LOLTMNT05_146629,114794176902018067,2025-08-08T17:30:00Z,2025-08-08 17:31:10,1,BBL Dark Passage,Beşiktaş Esports
LOLTMNT05_146979,114794176902018051,2025-08-14T14:30:00Z,2025-08-14 14:29:46,1,Beşiktaş Esports,BoostGate Esports
LOLTMNT05_146983,114794176902018047,2025-08-14T15:30:00Z,2025-08-14 15:28:15,1,Bushido Wildcats,ULF Esports
LOLTMNT05_145999,114794176902149161,2025-08-14T16:30:00Z,2025-08-14 16:37:34,1,BBL Dark Passage,The Forbidden Five
LOLTMNT05_147014,114794176902018073,2025-08-14T17:30:00Z,2025-08-14 17:39:48,1,Misa Esports,Papara SuperMassive
LOLTMNT05_147125,114794176902149159,2025-08-15T14:30:00Z,2025-08-15 14:33:47,1,ULF Esports,BBL Dark Passage
LOLTMNT05_147133,114794176901952505,2025-08-15T15:30:00Z,2025-08-15 15:41:11,1,Bushido Wildcats,Papara SuperMassive
LOLTMNT05_147140,114794176902018065,2025-08-15T16:30:00Z,2025-08-15 16:47:21,1,Beşiktaş Esports,Misa Esports
LOLTMNT05_148152,114794176902018061,2025-08-15T17:30:00Z,2025-08-15 17:44:00,1,The Forbidden Five,BoostGate Esports
LOLTMNT06_132570,114794176902018071,2025-08-21T14:30:00Z,2025-08-21 14:27:24,1,Beşiktaş Esports,The Forbidden Five
LOLTMNT06_133601,114794176902018059,2025-08-21T15:30:00Z,2025-08-21 15:34:34,1,ULF Esports,BoostGate Esports
LOLTMNT06_132589,114794176902018075,2025-08-21T16:30:00Z,2025-08-21 16:35:19,1,Papara SuperMassive,BBL Dark Passage
LOLTMNT06_133627,114794176902018043,2025-08-21T17:30:00Z,2025-08-21 17:37:44,1,Misa Esports,Bushido Wildcats
LOLTMNT06_134017,114794176902018085,2025-08-22T14:30:00Z,2025-08-22 14:26:58,1,Misa Esports,The Forbidden Five
LOLTMNT06_133672,114794176902018045,2025-08-22T15:30:00Z,2025-08-22 15:27:00,1,BBL Dark Passage,Bushido Wildcats
LOLTMNT06_134040,114794176902018053,2025-08-22T16:30:00Z,2025-08-22 16:29:39,1,Papara SuperMassive,BoostGate Esports
LOLTMNT06_134045,114794176902018069,2025-08-22T17:30:00Z,2025-08-22 17:28:33,1,Beşiktaş Esports,ULF Esports
LOLTMNT06_135023,114794176901952501,2025-08-26T14:30:00Z,2025-08-26 14:32:17,1,BoostGate Esports,Bushido Wildcats
LOLTMNT06_135039,114794176902018063,2025-08-26T15:30:00Z,2025-08-26 15:31:59,1,Beşiktaş Esports,Papara SuperMassive
LOLTMNT06_135042,114794176902018081,2025-08-26T16:30:00Z,2025-08-26 16:36:48,1,Misa Esports,BBL Dark Passage
LOLTMNT06_135051,114794176902149163,2025-08-26T17:30:00Z,2025-08-26 17:34:50,1,The Forbidden Five,ULF Esports
LOLTMNT06_133915,114794176902018083,2025-08-27T14:30:00Z,2025-08-27 14:28:42,1,Misa Esports,ULF Esports
LOLTMNT06_136001,114794176902018079,2025-08-27T15:30:00Z,2025-08-27 15:26:58,1,Papara SuperMassive,The Forbidden Five
LOLTMNT06_137005,114794176901952503,2025-08-27T16:30:00Z,2025-08-27 16:16:42,1,Beşiktaş Esports,Bushido Wildcats
LOLTMNT06_136022,114794176902018057,2025-08-27T17:30:00Z,2025-08-27 17:37:29,1,BoostGate Esports,BBL Dark Passage
LOLTMNT04_130082,114794176902149165,2025-08-30T15:00:00Z,2025-08-30 15:01:17,1,Beşiktaş Esports,BBL Dark Passage
LOLTMNT04_130086,114794176902149166,2025-08-30T15:00:00Z,2025-08-30 15:55:29,2,Beşiktaş Esports,BBL Dark Passage
LOLTMNT04_130087,114794176902149167,2025-08-30T15:00:00Z,2025-08-30 16:47:44,3,Beşiktaş Esports,BBL Dark Passage
LOLTMNT04_129088,114794176902149171,2025-08-31T15:00:00Z,2025-08-31 15:04:06,1,ULF Esports,Papara SuperMassive
LOLTMNT04_129093,114794176902149172,2025-08-31T15:00:00Z,2025-08-31 15:58:43,2,Papara SuperMassive,ULF Esports
LOLTMNT04_130102,114794176902149173,2025-08-31T15:00:00Z,2025-08-31 16:55:44,3,ULF Esports,Papara SuperMassive
LOLTMNT04_130103,114794176902149174,2025-08-31T15:00:00Z,2025-08-31 17:47:18,4,Papara SuperMassive,ULF Esports
LOLTMNT04_129113,114794176902149177,2025-09-02T15:00:00Z,2025-09-02 14:59:33,1,Bushido Wildcats,Misa Esports
LOLTMNT04_129117,114794176902149178,2025-09-02T15:00:00Z,2025-09-02 15:52:35,2,Misa Esports,Bushido Wildcats
LOLTMNT04_129121,114794176902149179,2025-09-02T15:00:00Z,2025-09-02 16:46:56,3,Bushido Wildcats,Misa Esports
LOLTMNT04_129128,114794176902149180,2025-09-02T15:00:00Z,2025-09-02 17:44:31,4,Misa Esports,Bushido Wildcats
LOLTMNT04_130139,114794176902149183,2025-09-03T15:00:00Z,2025-09-03 14:59:38,1,Beşiktaş Esports,ULF Esports
LOLTMNT04_130144,114794176902149184,2025-09-03T15:00:00Z,2025-09-03 15:59:12,2,Beşiktaş Esports,ULF Esports
LOLTMNT04_130147,114794176902149185,2025-09-03T15:00:00Z,2025-09-03 16:59:56,3,ULF Esports,Beşiktaş Esports
LOLTMNT04_130150,114794176902149186,2025-09-03T15:00:00Z,2025-09-03 17:58:06,4,ULF Esports,Beşiktaş Esports
LOLTMNT04_130152,114794176902149187,2025-09-03T15:00:00Z,2025-09-03 19:03:38,5,Beşiktaş Esports,ULF Esports
LOLTMNT04_129201,114794176902149189,2025-09-05T15:00:00Z,2025-09-05 15:02:11,1,ULF Esports,Bushido Wildcats
LOLTMNT04_129221,114794176902149190,2025-09-05T15:00:00Z,2025-09-05 16:00:08,2,ULF Esports,Bushido Wildcats
LOLTMNT04_130197,114794176902149191,2025-09-05T15:00:00Z,2025-09-05 16:56:10,3,ULF Esports,Bushido Wildcats
LOLTMNT04_129235,114794176902149192,2025-09-05T15:00:00Z,2025-09-05 17:49:44,4,Bushido Wildcats,ULF Esports
LOLTMNT04_130456,114794176902214731,2025-09-12T14:30:00Z,2025-09-12 15:01:23,1,Misa Esports,Bushido Wildcats
LOLTMNT04_129468,114794176902214732,2025-09-12T14:30:00Z,2025-09-12 16:11:34,2,Misa Esports,Bushido Wildcats
LOLTMNT04_129474,114794176902214733,2025-09-12T14:30:00Z,2025-09-12 17:10:09,3,Misa Esports,Bushido Wildcats
LOLTMNT04_129484,114794176902280270,2025-09-12T14:30:00Z,2025-09-12 18:08:43,4,Bushido Wildcats,Misa Esports
LOLTMNT04_130485,114794176902280271,2025-09-12T14:30:00Z,2025-09-12 19:16:30,5,Misa Esports,Bushido Wildcats
