oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT03_202941,113843465172781239,2025-02-28T10:00:00Z,2025-02-28 10:08:35,1,Saigon Dino,SN CyberCore Esports
LOLTMNT03_203013,113843465172781241,2025-02-28T11:00:00Z,2025-02-28 11:09:48,1,Hyper Vortex Esports,Silent Storm Esports
LOLTMNT03_204017,113843465172781243,2025-02-28T12:00:00Z,2025-02-28 12:01:06,1,Saigon Secret,Hanoi Rookies Esports
LOLTMNT03_205033,113843465172781245,2025-02-28T13:00:00Z,2025-02-28 12:53:42,1,Team Flash,Never Give Up
LOLTMNT03_205334,113843465172781247,2025-03-01T10:00:00Z,2025-03-01 10:07:00,1,Team Flash,Hyper Vortex Esports
LOLTMNT03_204384,113843465172781248,2025-03-01T10:00:00Z,2025-03-01 10:57:30,2,Team Flash,Hyper Vortex Esports
LOLTMNT03_204430,113843465172781249,2025-03-01T10:00:00Z,2025-03-01 12:09:06,3,Hyper Vortex Esports,Team Flash
LOLTMNT03_204467,113843465172781251,2025-03-01T13:00:00Z,2025-03-01 13:15:25,1,Saigon Secret,SN CyberCore Esports
LOLTMNT03_204484,113843465172781252,2025-03-01T13:00:00Z,2025-03-01 14:04:34,2,SN CyberCore Esports,Saigon Secret
LOLTMNT03_204514,113843465172781253,2025-03-01T13:00:00Z,2025-03-01 15:00:32,3,SN CyberCore Esports,Saigon Secret
LOLTMNT03_204670,113843465172781255,2025-03-02T10:00:00Z,2025-03-02 10:05:36,1,Saigon Dino,Never Give Up
LOLTMNT03_204676,113843465172781256,2025-03-02T10:00:00Z,2025-03-02 11:08:07,2,Never Give Up,Saigon Dino
LOLTMNT03_205672,113843465172781259,2025-03-02T13:00:00Z,2025-03-02 12:16:31,1,Hanoi Rookies Esports,Silent Storm Esports
LOLTMNT03_204732,113843465172781260,2025-03-02T13:00:00Z,2025-03-02 13:03:56,2,Hanoi Rookies Esports,Silent Storm Esports
LOLTMNT03_206676,113843465172781263,2025-03-07T10:00:00Z,2025-03-07 10:06:30,1,Team Flash,Saigon Dino
LOLTMNT03_206681,113843465172781264,2025-03-07T10:00:00Z,2025-03-07 11:15:08,2,Team Flash,Saigon Dino
LOLTMNT03_206700,113843465172781265,2025-03-07T10:00:00Z,2025-03-07 12:20:46,3,Team Flash,Saigon Dino
LOLTMNT03_206710,113843465172781267,2025-03-07T13:00:00Z,2025-03-07 13:17:09,1,Silent Storm Esports,Saigon Secret
LOLTMNT03_206713,113843465172781268,2025-03-07T13:00:00Z,2025-03-07 14:07:50,2,Saigon Secret,Silent Storm Esports
LOLTMNT03_206810,113843465172781275,2025-03-08T10:00:00Z,2025-03-08 10:06:38,1,Saigon Dino,Silent Storm Esports
LOLTMNT03_207759,113843465172781276,2025-03-08T10:00:00Z,2025-03-08 10:56:37,2,Saigon Dino,Silent Storm Esports
LOLTMNT03_207780,113843465172781271,2025-03-08T13:00:00Z,2025-03-08 12:16:53,1,Never Give Up,Hanoi Rookies Esports
LOLTMNT03_207790,113843465172781272,2025-03-08T13:00:00Z,2025-03-08 13:11:15,2,Hanoi Rookies Esports,Never Give Up
LOLTMNT03_207900,113843465172781279,2025-03-09T10:00:00Z,2025-03-09 10:06:42,1,Hanoi Rookies Esports,Silent Storm Esports
LOLTMNT03_207902,113843465172781280,2025-03-09T10:00:00Z,2025-03-09 11:15:05,2,Hanoi Rookies Esports,Silent Storm Esports
LOLTMNT03_206948,113843465172781281,2025-03-09T10:00:00Z,2025-03-09 12:12:35,3,Hanoi Rookies Esports,Silent Storm Esports
LOLTMNT01_217866,113843487640553741,2025-03-20T10:00:00Z,2025-03-20 10:08:03,1,Saigon Secret,Hanoi Rookies Esports
LOLTMNT01_218753,113843487640553742,2025-03-20T10:00:00Z,2025-03-20 11:04:13,2,Hanoi Rookies Esports,Saigon Secret
