oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT01_296586,113475493522342054,2025-10-14T08:00:00Z,2025-10-14 08:20:58,1,Invictus Gaming,T1
LOLTMNT01_297545,113475493522604199,2025-10-14T08:00:00Z,2025-10-14 09:16:12,2,Invictus Gaming,T1
LOLTMNT01_296589,113475493522604200,2025-10-14T08:00:00Z,2025-10-14 10:15:23,3,T1,Invictus Gaming
LOLTMNT01_297554,113475493522604201,2025-10-14T08:00:00Z,2025-10-14 11:19:25,4,Invictus Gaming,T1
LOLTMNT01_297691,113475798006599035,2025-10-15T05:00:00Z,2025-10-15 05:18:22,1,Team Secret Whales,Vivo Keyd Stars
LOLTMNT01_296718,113475798006664573,2025-10-15T06:00:00Z,2025-10-15 06:18:06,1,CTBC Flying Oyster,Fnatic
LOLTMNT01_297721,113475798006664575,2025-10-15T07:00:00Z,2025-10-15 07:15:27,1,KT Rolster,Movistar KOI
LOLTMNT01_297733,113475798006664577,2025-10-15T08:00:00Z,2025-10-15 08:15:05,1,Bilibili Gaming,100 Thieves
LOLTMNT01_296748,113475798006664579,2025-10-15T09:00:00Z,2025-10-15 09:18:31,1,FlyQuest,T1
LOLTMNT01_296764,113475798006664581,2025-10-15T10:00:00Z,2025-10-15 10:20:25,1,Hanwha Life Esports,Anyone's Legend
LOLTMNT01_297767,113475798006664583,2025-10-15T11:00:00Z,2025-10-15 11:28:12,1,G2 Esports,Top Esports
LOLTMNT01_296903,113475798006664595,2025-10-16T05:00:00Z,2025-10-16 05:12:25,1,Vivo Keyd Stars,FlyQuest
LOLTMNT01_296921,113475798006664587,2025-10-16T06:00:00Z,2025-10-16 06:08:03,1,KT Rolster,Team Secret Whales
LOLTMNT01_296936,113475798006664597,2025-10-16T07:00:00Z,2025-10-16 07:02:03,1,Movistar KOI,G2 Esports
LOLTMNT01_297965,113475798006664589,2025-10-16T08:00:00Z,2025-10-16 07:54:27,1,Top Esports,100 Thieves
LOLTMNT01_296949,113475798006664591,2025-10-16T09:00:00Z,2025-10-16 08:46:57,1,CTBC Flying Oyster,T1
LOLTMNT01_296976,113475798006664599,2025-10-16T11:00:00Z,2025-10-16 11:02:52,1,Bilibili Gaming,Fnatic
LOLTMNT01_296993,113475798006664601,2025-10-16T12:00:00Z,2025-10-16 11:56:15,1,Hanwha Life Esports,PSG Talon
LOLTMNT01_298178,113475798006664603,2025-10-17T08:00:00Z,2025-10-17 08:09:42,1,KT Rolster,Top Esports
LOLTMNT01_298180,113475798006664604,2025-10-17T08:00:00Z,2025-10-17 09:00:39,2,Top Esports,KT Rolster
LOLTMNT01_299149,113475798006664607,2025-10-17T11:00:00Z,2025-10-17 09:56:46,1,CTBC Flying Oyster,Anyone's Legend
LOLTMNT01_299154,113475798006664608,2025-10-17T11:00:00Z,2025-10-17 10:56:17,2,Anyone's Legend,CTBC Flying Oyster
LOLTMNT01_299160,113475798006664609,2025-10-17T11:00:00Z,2025-10-17 11:47:36,3,CTBC Flying Oyster,Anyone's Legend
LOLTMNT01_298440,113475798006664611,2025-10-18T08:00:00Z,2025-10-18 08:12:24,1,FlyQuest,Team Secret Whales
LOLTMNT01_298463,113475798006664615,2025-10-18T10:00:00Z,2025-10-18 10:12:59,1,Bilibili Gaming,G2 Esports
LOLTMNT01_298478,113475798006664617,2025-10-18T11:00:00Z,2025-10-18 11:02:40,1,Hanwha Life Esports,100 Thieves
