tournament,startTime,match_id,esports_game_id,game_num,team_a_code,team_a_name,team_b_code,team_b_name,state,has_vods
lec_summer_2025,2025-08-02T15:00:00Z,113487543463874880,113487543463874881,1,NAVI,Natus Vincere,KC,Karmine Corp,,1
lec_summer_2025,2025-08-02T15:00:00Z,113487543463874880,113487543463874882,2,NAVI,Natus Vincere,KC,Karmine Corp,,1
lec_summer_2025,2025-08-02T15:00:00Z,113487543463874880,113487543463874883,3,NAVI,Natus Vincere,KC,Karmine Corp,,0
lec_summer_2025,2025-08-02T17:00:00Z,113487543463874912,113487543463874913,1,TH,Team Heretics,FNC,Fnatic,,1
lec_summer_2025,2025-08-02T17:00:00Z,113487543463874912,113487543463874914,2,TH,Team Heretics,FNC,Fnatic,,1
lec_summer_2025,2025-08-02T17:00:00Z,113487543463874912,113487543463874915,3,TH,Team Heretics,FNC,Fnatic,,1
lec_summer_2025,2025-08-03T15:00:00Z,113487543463874932,113487543463874933,1,SHFT,Shifters,SK,SK Gaming,,1
lec_summer_2025,2025-08-03T15:00:00Z,113487543463874932,113487543463874934,2,SHFT,Shifters,SK,SK Gaming,,1
lec_summer_2025,2025-08-03T15:00:00Z,113487543463874932,113487543463874935,3,SHFT,Shifters,SK,SK Gaming,,0
lec_summer_2025,2025-08-03T17:00:00Z,113487543463874872,113487543463874873,1,GX,GIANTX,KC,Karmine Corp,,1
lec_summer_2025,2025-08-03T17:00:00Z,113487543463874872,113487543463874874,2,GX,GIANTX,KC,Karmine Corp,,1
lec_summer_2025,2025-08-03T17:00:00Z,113487543463874872,113487543463874875,3,GX,GIANTX,KC,Karmine Corp,,1
lec_summer_2025,2025-08-04T15:00:00Z,113487543463874920,113487543463874921,1,SK,SK Gaming,FNC,Fnatic,,1
lec_summer_2025,2025-08-04T15:00:00Z,113487543463874920,113487543463874922,2,SK,SK Gaming,FNC,Fnatic,,1
lec_summer_2025,2025-08-04T15:00:00Z,113487543463874920,113487543463874923,3,SK,SK Gaming,FNC,Fnatic,,0
lec_summer_2025,2025-08-04T17:00:00Z,113487543463874884,113487543463874885,1,GX,GIANTX,VIT,Team Vitality,,1
lec_summer_2025,2025-08-04T17:00:00Z,113487543463874884,113487543463874886,2,GX,GIANTX,VIT,Team Vitality,,1
lec_summer_2025,2025-08-04T17:00:00Z,113487543463874884,113487543463874887,3,GX,GIANTX,VIT,Team Vitality,,0
lec_summer_2025,2025-08-09T15:00:00Z,113487543463874900,113487543463874901,1,G2,G2 Esports,TH,Team Heretics,,1
lec_summer_2025,2025-08-09T15:00:00Z,113487543463874900,113487543463874902,2,G2,G2 Esports,TH,Team Heretics,,1
lec_summer_2025,2025-08-09T15:00:00Z,113487543463874900,113487543463874903,3,G2,G2 Esports,TH,Team Heretics,,0
lec_summer_2025,2025-08-09T17:00:00Z,113487543463874860,113487543463874861,1,MKOI,Movistar KOI,GX,GIANTX,,1
lec_summer_2025,2025-08-09T17:00:00Z,113487543463874860,113487543463874862,2,MKOI,Movistar KOI,GX,GIANTX,,1
