oracle_gameid,esports_game_id,esports_match_id,tournament,date,start_time,blue,red,game_num
LOLTMNT06_96344,113476054450558828,113476054450558827,lec_winter_2025,2025-01-18 17:09:08,2025-01-18T17:00:00Z,Team Heretics,Rogue,1
LOLTMNT06_96348,113476054450558862,113476054450558861,lec_winter_2025,2025-01-18 18:10:05,2025-01-18T17:45:00Z,Team Vitality,Team BDS,1
LOLTMNT06_95363,113476054450558888,113476054450558887,lec_winter_2025,2025-01-18 19:05:05,2025-01-18T18:30:00Z,GiantX,SK Gaming,1
LOLTMNT06_96368,113476054450558906,113476054450558905,lec_winter_2025,2025-01-18 19:59:46,2025-01-18T19:15:00Z,Movistar KOI,Fnatic,1
LOLTMNT06_95385,113476054450558916,113476054450558915,lec_winter_2025,2025-01-18 21:00:09,2025-01-18T20:00:00Z,Karmine Corp,G2 Esports,1
LOLTMNT06_96430,113476054450558836,113476054450558835,lec_winter_2025,2025-01-19 17:06:11,2025-01-19T17:00:00Z,Team Heretics,SK Gaming,1
LOLTMNT06_95435,113476054450558850,113476054450558849,lec_winter_2025,2025-01-19 17:59:13,2025-01-19T17:45:00Z,Rogue,GiantX,1
LOLTMNT06_95446,113476054450558908,113476054450558907,lec_winter_2025,2025-01-19 19:21:06,2025-01-19T18:30:00Z,Movistar KOI,Karmine Corp,1
LOLTMNT06_96459,113476054450558886,113476054450558885,lec_winter_2025,2025-01-19 20:24:44,2025-01-19T19:15:00Z,G2 Esports,Team BDS,1
LOLTMNT06_96473,113476054450558870,113476054450558869,lec_winter_2025,2025-01-19 21:18:52,2025-01-19T20:00:00Z,Fnatic,Team Vitality,1
LOLTMNT06_95500,113476054450558848,113476054450558847,lec_winter_2025,2025-01-20 17:07:36,2025-01-20T17:00:00Z,Team BDS,Rogue,1
LOLTMNT06_96516,113476054450558840,113476054450558839,lec_winter_2025,2025-01-20 18:05:02,2025-01-20T17:45:00Z,Team Heretics,Fnatic,1
LOLTMNT06_96529,113476054450558868,113476054450558867,lec_winter_2025,2025-01-20 18:52:10,2025-01-20T18:30:00Z,Movistar KOI,Team Vitality,1
LOLTMNT06_95531,113476054450558904,113476054450558903,lec_winter_2025,2025-01-20 19:48:37,2025-01-20T19:15:00Z,G2 Esports,SK Gaming,1
LOLTMNT06_96548,113476054450558894,113476054450558893,lec_winter_2025,2025-01-20 20:43:00,2025-01-20T20:00:00Z,GiantX,Karmine Corp,1
LOLTMNT04_92110,113476054450558856,113476054450558855,lec_winter_2025,2025-01-25 17:08:30,2025-01-25T17:00:00Z,Rogue,Fnatic,1
LOLTMNT04_92114,113476054450558832,113476054450558831,lec_winter_2025,2025-01-25 18:08:27,2025-01-25T17:45:00Z,Team BDS,Team Heretics,1
LOLTMNT04_92126,113476054450558890,113476054450558889,lec_winter_2025,2025-01-25 19:08:52,2025-01-25T18:30:00Z,GiantX,Movistar KOI,1
LOLTMNT04_92133,113476054450558874,113476054450558873,lec_winter_2025,2025-01-25 20:07:47,2025-01-25T19:15:00Z,Team Vitality,G2 Esports,1
LOLTMNT04_92142,113476054450558902,113476054450558901,lec_winter_2025,2025-01-25 21:14:10,2025-01-25T20:00:00Z,Karmine Corp,SK Gaming,1
LOLTMNT04_92193,113476054450558834,113476054450558833,lec_winter_2025,2025-01-26 17:07:00,2025-01-26T17:00:00Z,GiantX,Team Heretics,1
