tournament,startTime,match_id,esports_game_id,game_num,team_a_name,team_b_name,has_vods
lck_split_3_2025,2025-07-23T08:00:00Z,113503500599535370,113503500599535371,1,Dplus KIA,HANJIN BRION,1
lck_split_3_2025,2025-07-23T08:00:00Z,113503500599535370,113503500599535372,2,Dplus KIA,HANJIN BRION,1
lck_split_3_2025,2025-07-23T08:00:00Z,113503500599535370,113503500599535373,3,Dplus KIA,HANJIN BRION,1
lck_split_3_2025,2025-07-23T10:00:00Z,113503500599535246,113503500599535247,1,Gen.G Esports,Hanwha Life Esports,1
lck_split_3_2025,2025-07-23T10:00:00Z,113503500599535246,113503500599535248,2,Gen.G Esports,Hanwha Life Esports,1
lck_split_3_2025,2025-07-23T10:00:00Z,113503500599535246,113503500599535249,3,Gen.G Esports,Hanwha Life Esports,0
lck_split_3_2025,2025-07-24T08:00:00Z,113503500599535390,113503500599535391,1,DN SOOPers,BNK FEARX,1
lck_split_3_2025,2025-07-24T08:00:00Z,113503500599535390,113503500599535392,2,DN SOOPers,BNK FEARX,1
lck_split_3_2025,2025-07-24T08:00:00Z,113503500599535390,113503500599535393,3,DN SOOPers,BNK FEARX,0
lck_split_3_2025,2025-07-24T10:00:00Z,113503500599535282,113503500599535283,1,kt Rolster,NONGSHIM RED FORCE,1
lck_split_3_2025,2025-07-24T10:00:00Z,113503500599535282,113503500599535284,2,kt Rolster,NONGSHIM RED FORCE,1
lck_split_3_2025,2025-07-24T10:00:00Z,113503500599535282,113503500599535285,3,kt Rolster,NONGSHIM RED FORCE,0
lck_split_3_2025,2025-07-25T08:00:00Z,113503500599535250,113503500599535251,1,T1,Gen.G Esports,1
lck_split_3_2025,2025-07-25T08:00:00Z,113503500599535250,113503500599535252,2,T1,Gen.G Esports,1
lck_split_3_2025,2025-07-25T08:00:00Z,113503500599535250,113503500599535253,3,T1,Gen.G Esports,1
lck_split_3_2025,2025-07-25T10:00:00Z,113503500599535394,113503500599535395,1,HANJIN BRION,KIWOOM DRX,1
lck_split_3_2025,2025-07-25T10:00:00Z,113503500599535394,113503500599535396,2,HANJIN BRION,KIWOOM DRX,1
lck_split_3_2025,2025-07-25T10:00:00Z,113503500599535394,113503500599535397,3,HANJIN BRION,KIWOOM DRX,1
lck_split_3_2025,2025-07-26T06:00:00Z,113503500599535366,113503500599535367,1,Dplus KIA,BNK FEARX,1
lck_split_3_2025,2025-07-26T06:00:00Z,113503500599535366,113503500599535368,2,Dplus KIA,BNK FEARX,1
lck_split_3_2025,2025-07-26T06:00:00Z,113503500599535366,113503500599535369,3,Dplus KIA,BNK FEARX,0
lck_split_3_2025,2025-07-26T08:00:00Z,113503500599535270,113503500599535271,1,Hanwha Life Esports,kt Rolster,1
lck_split_3_2025,2025-07-26T08:00:00Z,113503500599535270,113503500599535272,2,Hanwha Life Esports,kt Rolster,1
