oracle_gameid,esports_game_id,tournament,date,start_time,blue,red,game_num
LOLTMNT03_183532,113780832792144604,lck_cup_2025,2025-01-15 08:09:30,2025-01-15T08:00:00Z,HANJIN BRION,DRX,1
LOLTMNT03_183538,113780832792144605,lck_cup_2025,2025-01-15 09:03:08,2025-01-15T08:00:00Z,DRX,HANJIN BRION,2
LOLTMNT03_183544,113780832792144606,lck_cup_2025,2025-01-15 09:54:37,2025-01-15T08:00:00Z,HANJIN BRION,DRX,3
LOLTMNT03_183585,113780832654584510,lck_cup_2025,2025-01-15 11:26:48,2025-01-15T10:30:00Z,DN SOOPers,Nongshim RedForce,1
LOLTMNT03_182705,113780832654584511,lck_cup_2025,2025-01-15 12:36:28,2025-01-15T10:30:00Z,Nongshim RedForce,DN SOOPers,2
LOLTMNT03_182729,113780832654584512,lck_cup_2025,2025-01-15 13:34:29,2025-01-15T10:30:00Z,DN SOOPers,Nongshim RedForce,3
LOLTMNT03_184086,113780832538454688,lck_cup_2025,2025-01-16 08:09:06,2025-01-16T08:00:00Z,BNK FEARX,KT Rolster,1
LOLTMNT03_183991,113780832538454689,lck_cup_2025,2025-01-16 09:04:00,2025-01-16T08:00:00Z,BNK FEARX,KT Rolster,2
LOLTMNT03_184105,113780832538454690,lck_cup_2025,2025-01-16 09:54:20,2025-01-16T08:00:00Z,KT Rolster,BNK FEARX,3
LOLTMNT03_185025,113780832453061250,lck_cup_2025,2025-01-16 11:11:06,2025-01-16T10:30:00Z,Dplus Kia,T1,1
LOLTMNT03_185042,113780832453061251,lck_cup_2025,2025-01-16 11:55:28,2025-01-16T10:30:00Z,T1,Dplus Kia,2
LOLTMNT03_185067,113780832453061252,lck_cup_2025,2025-01-16 12:50:03,2025-01-16T10:30:00Z,Dplus Kia,T1,3
LOLTMNT03_185467,113780832270215780,lck_cup_2025,2025-01-17 08:08:25,2025-01-17T08:00:00Z,Gen.G,Hanwha Life Esports,1
LOLTMNT03_184583,113780832270477925,lck_cup_2025,2025-01-17 08:59:26,2025-01-17T08:00:00Z,Hanwha Life Esports,Gen.G,2
LOLTMNT03_184622,113780832754133719,lck_cup_2025,2025-01-17 10:34:53,2025-01-17T10:30:00Z,Nongshim RedForce,HANJIN BRION,1
LOLTMNT03_184660,113780832754133720,lck_cup_2025,2025-01-17 11:38:32,2025-01-17T10:30:00Z,HANJIN BRION,Nongshim RedForce,2
LOLTMNT03_186192,113780832626272948,lck_cup_2025,2025-01-18 06:05:55,2025-01-18T06:00:00Z,Dplus Kia,DN SOOPers,1
LOLTMNT03_187100,113780832626272949,lck_cup_2025,2025-01-18 06:57:05,2025-01-18T06:00:00Z,DN SOOPers,Dplus Kia,2
LOLTMNT03_186260,113780832498215569,lck_cup_2025,2025-01-18 08:35:57,2025-01-18T08:30:00Z,DRX,T1,1
LOLTMNT03_187132,113780832498215570,lck_cup_2025,2025-01-18 09:32:58,2025-01-18T08:30:00Z,DRX,T1,2
LOLTMNT03_187435,113780832343091822,lck_cup_2025,2025-01-19 06:04:49,2025-01-19T06:00:00Z,KT Rolster,Hanwha Life Esports,1
LOLTMNT03_187440,113780832343091823,lck_cup_2025,2025-01-19 06:54:25,2025-01-19T06:00:00Z,KT Rolster,Hanwha Life Esports,2
LOLTMNT03_187470,113780832513878678,lck_cup_2025,2025-01-19 08:34:13,2025-01-19T08:30:00Z,BNK FEARX,Gen.G,1
LOLTMNT03_187471,113780832513878679,lck_cup_2025,2025-01-19 09:34:45,2025-01-19T08:30:00Z,BNK FEARX,Gen.G,2
LOLTMNT03_188641,113780832525740699,lck_cup_2025,2025-01-22 08:04:43,2025-01-22T08:00:00Z,Dplus Kia,BNK FEARX,1
LOLTMNT03_188645,113780832525740700,lck_cup_2025,2025-01-22 08:55:05,2025-01-22T08:00:00Z,BNK FEARX,Dplus Kia,2
LOLTMNT03_188655,113780832525740701,lck_cup_2025,2025-01-22 09:48:21,2025-01-22T08:00:00Z,Dplus Kia,BNK FEARX,3
LOLTMNT03_188679,113780832667757251,lck_cup_2025,2025-01-22 11:00:14,2025-01-22T10:30:00Z,DN SOOPers,DRX,1
LOLTMNT03_189517,113780832667757252,lck_cup_2025,2025-01-22 11:54:37,2025-01-22T10:30:00Z,DRX,DN SOOPers,2
LOLTMNT03_188722,113780832667757253,lck_cup_2025,2025-01-22 12:46:42,2025-01-22T10:30:00Z,DN SOOPers,DRX,3
LOLTMNT03_189773,113780832684600008,lck_cup_2025,2025-01-23 08:04:06,2025-01-23T08:00:00Z,HANJIN BRION,Gen.G,1
LOLTMNT03_189783,113780832684600009,lck_cup_2025,2025-01-23 09:12:50,2025-01-23T08:00:00Z,Gen.G,HANJIN BRION,2
LOLTMNT03_190012,113780832368061043,lck_cup_2025,2025-01-23 10:34:33,2025-01-23T10:30:00Z,Hanwha Life Esports,Nongshim RedForce,1
LOLTMNT03_190023,113780832368061044,lck_cup_2025,2025-01-23 11:32:01,2025-01-23T10:30:00Z,Nongshim RedForce,Hanwha Life Esports,2
LOLTMNT03_191023,113780832582953642,lck_cup_2025,2025-01-24 08:05:35,2025-01-24T08:00:00Z,DRX,BNK FEARX,1
LOLTMNT03_191028,113780832582953643,lck_cup_2025,2025-01-24 08:59:16,2025-01-24T08:00:00Z,BNK FEARX,DRX,2
LOLTMNT03_191030,113780832582953644,lck_cup_2025,2025-01-24 09:49:42,2025-01-24T08:00:00Z,DRX,BNK FEARX,3
LOLTMNT03_190264,113780832470559367,lck_cup_2025,2025-01-24 11:12:47,2025-01-24T10:30:00Z,T1,KT Rolster,1
LOLTMNT03_191065,113780832470690440,lck_cup_2025,2025-01-24 12:03:15,2025-01-24T10:30:00Z,KT Rolster,T1,2
LOLTMNT03_191077,113780832470690441,lck_cup_2025,2025-01-24 13:04:39,2025-01-24T10:30:00Z,T1,KT Rolster,3
LOLTMNT03_191178,113780832328346217,lck_cup_2025,2025-01-25 06:06:39,2025-01-25T06:00:00Z,Hanwha Life Esports,Dplus Kia,1
LOLTMNT03_191179,113780832328346218,lck_cup_2025,2025-01-25 07:00:00,2025-01-25T06:00:00Z,Hanwha Life Esports,Dplus Kia,2
