gameid,date,game_num,blue,red,url
LOLTMNT03_183532,2025-01-15 08:09:30,1,HANJIN BRION,DRX,
LOLTMNT03_183538,2025-01-15 09:03:08,2,DRX,HANJIN BRION,
LOLTMNT03_183544,2025-01-15 09:54:37,3,HANJIN BRION,DRX,
LOLTMNT03_183585,2025-01-15 11:26:48,1,DN SOOPers,Nongshim RedForce,
LOLTMNT03_182705,2025-01-15 12:36:28,2,Nongshim RedForce,DN SOOPers,
LOLTMNT03_182729,2025-01-15 13:34:29,3,DN SOOPers,Nongshim RedForce,
LOLTMNT03_184086,2025-01-16 08:09:06,1,BNK FEARX,KT Rolster,
LOLTMNT03_183991,2025-01-16 09:04:00,2,BNK FEARX,KT Rolster,
LOLTMNT03_184105,2025-01-16 09:54:20,3,KT Rolster,BNK FEARX,
LOLTMNT03_185025,2025-01-16 11:11:06,1,Dplus Kia,T1,
LOLTMNT03_185042,2025-01-16 11:55:28,2,T1,Dplus Kia,
LOLTMNT03_185067,2025-01-16 12:50:03,3,Dplus Kia,T1,
LOLTMNT03_185467,2025-01-17 08:08:25,1,Gen.G,Hanwha Life Esports,
LOLTMNT03_184583,2025-01-17 08:59:26,2,Hanwha Life Esports,Gen.G,
LOLTMNT03_184622,2025-01-17 10:34:53,1,Nongshim RedForce,HANJIN BRION,
LOLTMNT03_184660,2025-01-17 11:38:32,2,HANJIN BRION,Nongshim RedForce,
LOLTMNT03_186192,2025-01-18 06:05:55,1,Dplus Kia,DN SOOPers,
LOLTMNT03_187100,2025-01-18 06:57:05,2,DN SOOPers,Dplus Kia,
LOLTMNT03_186260,2025-01-18 08:35:57,1,DRX,T1,
LOLTMNT03_187132,2025-01-18 09:32:58,2,DRX,T1,
LOLTMNT03_187435,2025-01-19 06:04:49,1,KT Rolster,Hanwha Life Esports,
LOLTMNT03_187440,2025-01-19 06:54:25,2,KT Rolster,Hanwha Life Esports,
LOLTMNT03_187470,2025-01-19 08:34:13,1,BNK FEARX,Gen.G,
LOLTMNT03_187471,2025-01-19 09:34:45,2,BNK FEARX,Gen.G,
LOLTMNT03_188641,2025-01-22 08:04:43,1,Dplus Kia,BNK FEARX,
LOLTMNT03_188645,2025-01-22 08:55:05,2,BNK FEARX,Dplus Kia,
LOLTMNT03_188655,2025-01-22 09:48:21,3,Dplus Kia,BNK FEARX,
LOLTMNT03_188679,2025-01-22 11:00:14,1,DN SOOPers,DRX,
LOLTMNT03_189517,2025-01-22 11:54:37,2,DRX,DN SOOPers,
LOLTMNT03_188722,2025-01-22 12:46:42,3,DN SOOPers,DRX,
LOLTMNT03_189773,2025-01-23 08:04:06,1,HANJIN BRION,Gen.G,
LOLTMNT03_189783,2025-01-23 09:12:50,2,Gen.G,HANJIN BRION,
LOLTMNT03_190012,2025-01-23 10:34:33,1,Hanwha Life Esports,Nongshim RedForce,
LOLTMNT03_190023,2025-01-23 11:32:01,2,Nongshim RedForce,Hanwha Life Esports,
LOLTMNT03_191023,2025-01-24 08:05:35,1,DRX,BNK FEARX,
LOLTMNT03_191028,2025-01-24 08:59:16,2,BNK FEARX,DRX,
LOLTMNT03_191030,2025-01-24 09:49:42,3,DRX,BNK FEARX,
LOLTMNT03_190264,2025-01-24 11:12:47,1,T1,KT Rolster,
LOLTMNT03_191065,2025-01-24 12:03:15,2,KT Rolster,T1,
LOLTMNT03_191077,2025-01-24 13:04:39,3,T1,KT Rolster,
LOLTMNT03_191178,2025-01-25 06:06:39,1,Hanwha Life Esports,Dplus Kia,
LOLTMNT03_191179,2025-01-25 07:00:00,2,Hanwha Life Esports,Dplus Kia,
