oracle_gameid,esports_game_id,tournament,date,start_time,blue,red,game_num
LOLTMNT06_96344,113476054450558828,lec_winter_2025,2025-01-18 17:09:08,2025-01-18T17:00:00Z,Team Heretics,Rogue,1
LOLTMNT06_96348,113476054450558862,lec_winter_2025,2025-01-18 18:10:05,2025-01-18T17:45:00Z,Team Vitality,Team BDS,1
LOLTMNT06_95363,113476054450558888,lec_winter_2025,2025-01-18 19:05:05,2025-01-18T18:30:00Z,GiantX,SK Gaming,1
LOLTMNT06_96368,113476054450558906,lec_winter_2025,2025-01-18 19:59:46,2025-01-18T19:15:00Z,Movistar KOI,Fnatic,1
LOLTMNT06_95385,113476054450558916,lec_winter_2025,2025-01-18 21:00:09,2025-01-18T20:00:00Z,Karmine Corp,G2 Esports,1
LOLTMNT06_96430,113476054450558836,lec_winter_2025,2025-01-19 17:06:11,2025-01-19T17:00:00Z,Team Heretics,SK Gaming,1
LOLTMNT06_95435,113476054450558850,lec_winter_2025,2025-01-19 17:59:13,2025-01-19T17:45:00Z,Rogue,GiantX,1
LOLTMNT06_95446,113476054450558908,lec_winter_2025,2025-01-19 19:21:06,2025-01-19T18:30:00Z,Movistar KOI,Karmine Corp,1
LOLTMNT06_96459,113476054450558886,lec_winter_2025,2025-01-19 20:24:44,2025-01-19T19:15:00Z,G2 Esports,Team BDS,1
LOLTMNT06_96473,113476054450558870,lec_winter_2025,2025-01-19 21:18:52,2025-01-19T20:00:00Z,Fnatic,Team Vitality,1
LOLTMNT06_95500,113476054450558848,lec_winter_2025,2025-01-20 17:07:36,2025-01-20T17:00:00Z,Team BDS,Rogue,1
LOLTMNT06_96516,113476054450558840,lec_winter_2025,2025-01-20 18:05:02,2025-01-20T17:45:00Z,Team Heretics,Fnatic,1
LOLTMNT06_96529,113476054450558868,lec_winter_2025,2025-01-20 18:52:10,2025-01-20T18:30:00Z,Movistar KOI,Team Vitality,1
LOLTMNT06_95531,113476054450558904,lec_winter_2025,2025-01-20 19:48:37,2025-01-20T19:15:00Z,G2 Esports,SK Gaming,1
LOLTMNT06_96548,113476054450558894,lec_winter_2025,2025-01-20 20:43:00,2025-01-20T20:00:00Z,GiantX,Karmine Corp,1
