gameid,date,game_num,blue,red,url
LOLTMNT06_96344,2025-01-18 17:09:08,1,Team Heretics,Rogue,
LOLTMNT06_96348,2025-01-18 18:10:05,1,Team Vitality,Team BDS,
LOLTMNT06_95363,2025-01-18 19:05:05,1,GiantX,SK Gaming,
LOLTMNT06_96368,2025-01-18 19:59:46,1,Movistar KOI,Fnatic,
LOLTMNT06_95385,2025-01-18 21:00:09,1,Karmine Corp,G2 Esports,
LOLTMNT06_96430,2025-01-19 17:06:11,1,Team Heretics,SK Gaming,
LOLTMNT06_95435,2025-01-19 17:59:13,1,Rogue,GiantX,
LOLTMNT06_95446,2025-01-19 19:21:06,1,Movistar KOI,Karmine Corp,
LOLTMNT06_96459,2025-01-19 20:24:44,1,G2 Esports,Team BDS,
LOLTMNT06_96473,2025-01-19 21:18:52,1,Fnatic,Team Vitality,
LOLTMNT06_95500,2025-01-20 17:07:36,1,Team BDS,Rogue,
LOLTMNT06_96516,2025-01-20 18:05:02,1,Team Heretics,Fnatic,
LOLTMNT06_96529,2025-01-20 18:52:10,1,Movistar KOI,Team Vitality,
LOLTMNT06_95531,2025-01-20 19:48:37,1,G2 Esports,SK Gaming,
LOLTMNT06_96548,2025-01-20 20:43:00,1,GiantX,Karmine Corp,
LOLTMNT04_92110,2025-01-25 17:08:30,1,Rogue,Fnatic,
LOLTMNT04_92114,2025-01-25 18:08:27,1,Team BDS,Team Heretics,
LOLTMNT04_92126,2025-01-25 19:08:52,1,GiantX,Movistar KOI,
LOLTMNT04_92133,2025-01-25 20:07:47,1,Team Vitality,G2 Esports,
LOLTMNT04_92142,2025-01-25 21:14:10,1,Karmine Corp,SK Gaming,
LOLTMNT04_92193,2025-01-26 17:07:00,1,GiantX,Team Heretics,
LOLTMNT04_93166,2025-01-26 17:57:24,1,SK Gaming,Team Vitality,
LOLTMNT04_93174,2025-01-26 19:04:12,1,Fnatic,G2 Esports,
LOLTMNT04_92211,2025-01-26 19:52:31,1,Karmine Corp,Rogue,
LOLTMNT04_92219,2025-01-26 20:38:09,1,Team BDS,Movistar KOI,
LOLTMNT04_92277,2025-01-27 17:07:16,1,Team Vitality,Rogue,
LOLTMNT04_93276,2025-01-27 18:02:18,1,Fnatic,Team BDS,
LOLTMNT04_93287,2025-01-27 19:06:14,1,G2 Esports,GiantX,
LOLTMNT04_93299,2025-01-27 19:53:56,1,Karmine Corp,Team Heretics,
LOLTMNT04_93308,2025-01-27 20:50:22,1,SK Gaming,Movistar KOI,
LOLTMNT04_93750,2025-02-01 17:08:38,1,SK Gaming,Team BDS,
LOLTMNT04_92679,2025-02-01 17:56:54,1,GiantX,Fnatic,
LOLTMNT04_92696,2025-02-01 18:52:30,1,Rogue,G2 Esports,
LOLTMNT04_92709,2025-02-01 19:44:04,1,Team Heretics,Movistar KOI,
LOLTMNT04_92728,2025-02-01 20:43:29,1,Team Vitality,Karmine Corp,
LOLTMNT04_93871,2025-02-02 17:07:20,1,Rogue,SK Gaming,
LOLTMNT04_93883,2025-02-02 17:57:23,1,Team BDS,GiantX,
LOLTMNT04_92827,2025-02-02 18:59:16,1,Fnatic,Karmine Corp,
LOLTMNT04_92843,2025-02-02 19:46:21,1,Team Heretics,Team Vitality,
LOLTMNT04_93937,2025-02-02 20:42:01,1,G2 Esports,Movistar KOI,
LOLTMNT04_92941,2025-02-03 17:05:40,1,Team Vitality,GiantX,
LOLTMNT04_92952,2025-02-03 17:55:39,1,Movistar KOI,Rogue,
LOLTMNT04_92975,2025-02-03 18:46:57,1,Karmine Corp,Team BDS,
LOLTMNT04_92989,2025-02-03 19:36:03,1,G2 Esports,Team Heretics,
LOLTMNT04_94054,2025-02-03 20:28:27,1,SK Gaming,Fnatic,
LOLTMNT05_111524,2025-02-15 17:12:10,1,Fnatic,Team Heretics,
LOLTMNT05_112394,2025-02-15 17:58:23,2,Team Heretics,Fnatic,
LOLTMNT05_112400,2025-02-15 18:57:18,1,G2 Esports,GiantX,
LOLTMNT05_112410,2025-02-15 19:58:48,2,GiantX,G2 Esports,
LOLTMNT05_112512,2025-02-16 17:07:42,1,Movistar KOI,Team BDS,
LOLTMNT05_112514,2025-02-16 17:59:31,2,Team BDS,Movistar KOI,
LOLTMNT05_112521,2025-02-16 19:07:09,1,Karmine Corp,Team Vitality,
LOLTMNT05_112538,2025-02-16 19:59:43,2,Team Vitality,Karmine Corp,
LOLTMNT05_111721,2025-02-17 17:17:33,1,Fnatic,G2 Esports,
LOLTMNT05_111732,2025-02-17 18:23:54,2,Fnatic,G2 Esports,
LOLTMNT05_111735,2025-02-17 19:18:39,1,Karmine Corp,Movistar KOI,
LOLTMNT05_111750,2025-02-17 20:07:22,2,Movistar KOI,Karmine Corp,
LOLTMNT05_114249,2025-02-22 17:08:34,1,Team Vitality,Team BDS,
LOLTMNT05_114254,2025-02-22 17:59:12,2,Team Vitality,Team BDS,
LOLTMNT05_113282,2025-02-22 18:56:49,3,Team BDS,Team Vitality,
LOLTMNT05_114277,2025-02-22 20:05:16,1,GiantX,Team Heretics,
LOLTMNT05_113307,2025-02-22 20:53:51,2,Team Heretics,GiantX,
LOLTMNT05_113309,2025-02-22 21:47:15,3,GiantX,Team Heretics,
LOLTMNT05_113346,2025-02-23 17:08:40,1,Fnatic,Team BDS,
LOLTMNT05_114349,2025-02-23 18:14:59,2,Team BDS,Fnatic,
LOLTMNT05_113358,2025-02-23 19:05:40,3,Fnatic,Team BDS,
LOLTMNT05_114381,2025-02-23 20:14:40,1,Movistar KOI,GiantX,
LOLTMNT05_114389,2025-02-23 21:10:17,2,GiantX,Movistar KOI,
LOLTMNT05_113387,2025-02-24 17:11:24,1,Karmine Corp,G2 Esports,
LOLTMNT05_113388,2025-02-24 17:59:06,2,Karmine Corp,G2 Esports,
LOLTMNT05_114409,2025-02-24 18:47:56,3,G2 Esports,Karmine Corp,
LOLTMNT05_114414,2025-02-24 19:43:32,4,Karmine Corp,G2 Esports,
LOLTMNT05_115018,2025-02-28 17:09:33,1,Fnatic,Movistar KOI,
LOLTMNT05_115019,2025-02-28 18:08:30,2,Movistar KOI,Fnatic,
LOLTMNT05_115021,2025-02-28 18:56:51,3,Movistar KOI,Fnatic,
LOLTMNT05_115027,2025-02-28 19:58:16,4,Fnatic,Movistar KOI,
LOLTMNT05_115043,2025-03-01 17:08:25,1,Karmine Corp,Fnatic,
LOLTMNT05_115044,2025-03-01 18:04:33,2,Fnatic,Karmine Corp,
LOLTMNT05_115046,2025-03-01 19:10:39,3,Karmine Corp,Fnatic,
LOLTMNT05_116037,2025-03-01 20:05:53,4,Karmine Corp,Fnatic,
LOLTMNT05_115052,2025-03-01 21:00:04,5,Fnatic,Karmine Corp,
LOLTMNT05_116057,2025-03-02 17:13:49,1,G2 Esports,Karmine Corp,
LOLTMNT05_116059,2025-03-02 18:09:35,2,G2 Esports,Karmine Corp,
LOLTMNT05_115078,2025-03-02 19:02:17,3,Karmine Corp,G2 Esports,
LOLTMNT05_122323,2025-03-29 13:16:11,1,Fnatic,GiantX,
LOLTMNT05_122326,2025-03-29 14:03:24,2,GiantX,Fnatic,
LOLTMNT05_122336,2025-03-29 15:31:53,1,Rogue,Team Heretics,
LOLTMNT05_121339,2025-03-29 16:28:08,2,Rogue,Team Heretics,
LOLTMNT05_122345,2025-03-29 17:19:38,1,G2 Esports,Movistar KOI,
LOLTMNT05_122355,2025-03-29 18:06:59,2,Movistar KOI,G2 Esports,
LOLTMNT05_121353,2025-03-29 19:26:02,3,Movistar KOI,G2 Esports,
LOLTMNT05_122377,2025-03-30 15:08:17,1,GiantX,Team Vitality,
LOLTMNT05_121383,2025-03-30 16:01:34,2,GiantX,Team Vitality,
LOLTMNT05_122381,2025-03-30 16:54:21,1,Karmine Corp,Movistar KOI,
LOLTMNT05_122391,2025-03-30 17:44:33,2,Movistar KOI,Karmine Corp,
LOLTMNT05_122399,2025-03-30 18:41:35,3,Karmine Corp,Movistar KOI,
LOLTMNT05_122430,2025-03-31 15:08:49,1,Team BDS,Rogue,
LOLTMNT05_122431,2025-03-31 16:07:14,2,Rogue,Team BDS,
