oracle_gameid,esports_game_id,tournament,date,start_time,blue,red,game_num
LOLTMNT06_95624,113663019302238463,lfl_ko_2025,2025-01-22 17:04:55,2025-01-22T17:00:00Z,BK ROG Esports,Team BDS Academy,1
LOLTMNT06_95665,113663019302238449,lfl_ko_2025,2025-01-22 18:53:56,2025-01-22T19:00:00Z,Gentle Mates,GameWard,1
LOLTMNT06_96715,113663019302238447,lfl_ko_2025,2025-01-22 20:01:11,2025-01-22T20:00:00Z,Karmine Corp Blue,Joblife,1
LOLTMNT06_96768,113663019302238459,lfl_ko_2025,2025-01-23 17:50:17,2025-01-23T18:00:00Z,Galions,Solary,1
LOLTMNT06_95764,113663019302238443,lfl_ko_2025,2025-01-23 18:51:25,2025-01-23T19:00:00Z,GameWard,Joblife,1
LOLTMNT06_96794,113663019302238441,lfl_ko_2025,2025-01-23 19:46:23,2025-01-23T20:00:00Z,Karmine Corp Blue,Vitality.Bee,1
LOLTMNT06_96840,113663019302238469,lfl_ko_2025,2025-01-24 18:11:40,2025-01-24T18:00:00Z,Solary,Team BDS Academy,1
LOLTMNT06_96849,113663019302238451,lfl_ko_2025,2025-01-24 19:09:24,2025-01-24T19:00:00Z,GameWard,Karmine Corp Blue,1
LOLTMNT06_96854,113663019302238439,lfl_ko_2025,2025-01-24 20:25:13,2025-01-24T20:00:00Z,Gentle Mates,Vitality.Bee,1
LOLTMNT06_95937,113663019302238457,lfl_ko_2025,2025-01-29 17:10:18,2025-01-29T17:00:00Z,Galions,Team BDS Academy,1
LOLTMNT06_96972,113663019302238465,lfl_ko_2025,2025-01-29 18:02:24,2025-01-29T18:00:00Z,Solary,BK ROG Esports,1
LOLTMNT06_95948,113663019302238437,lfl_ko_2025,2025-01-29 18:59:19,2025-01-29T19:00:00Z,GameWard,Vitality.Bee,1
LOLTMNT06_95950,113663019302238445,lfl_ko_2025,2025-01-29 20:09:43,2025-01-29T20:00:00Z,Gentle Mates,Joblife,1
LOLTMNT06_96989,113663019302238455,lfl_ko_2025,2025-01-30 18:11:10,2025-01-30T18:00:00Z,BK ROG Esports,Galions,1
LOLTMNT06_96993,113663019302238435,lfl_ko_2025,2025-01-30 19:11:27,2025-01-30T19:00:00Z,Joblife,Vitality.Bee,1
LOLTMNT06_95964,113663019302238453,lfl_ko_2025,2025-01-30 20:05:52,2025-01-30T20:00:00Z,Karmine Corp Blue,Gentle Mates,1
LOLTMNT06_95974,113922042368604646,lfl_ko_2025,2025-01-31 17:08:13,2025-01-31T17:00:00Z,Karmine Corp Blue,GameWard,1
LOLTMNT06_95978,113922043211965250,lfl_ko_2025,2025-01-31 17:56:45,2025-01-31T18:00:00Z,GameWard,Joblife,1
LOLTMNT06_95981,113922043797457660,lfl_ko_2025,2025-01-31 18:54:02,2025-01-31T19:00:00Z,Joblife,Karmine Corp Blue,1
LOLTMNT04_96167,113663059491010833,lfl_ko_2025,2025-02-05 20:12:34,2025-02-05T19:00:00Z,BK ROG Esports,Joblife,1
LOLTMNT04_95166,113663059491010834,lfl_ko_2025,2025-02-05 21:17:42,2025-02-05T19:00:00Z,Joblife,BK ROG Esports,2
LOLTMNT04_96204,113663059491010837,lfl_ko_2025,2025-02-06 17:04:42,2025-02-06T17:00:00Z,Gentle Mates,Solary,1
LOLTMNT04_96231,113663059491010838,lfl_ko_2025,2025-02-06 17:59:51,2025-02-06T17:00:00Z,Solary,Gentle Mates,2
LOLTMNT04_96237,113663059491010839,lfl_ko_2025,2025-02-06 18:58:23,2025-02-06T17:00:00Z,Gentle Mates,Solary,3
LOLTMNT04_95224,113663059491010841,lfl_ko_2025,2025-02-06 19:57:00,2025-02-06T19:00:00Z,Galions,Karmine Corp Blue,1
LOLTMNT04_95229,113663059491010842,lfl_ko_2025,2025-02-06 20:48:55,2025-02-06T19:00:00Z,Karmine Corp Blue,Galions,2
LOLTMNT04_96253,113663059491010843,lfl_ko_2025,2025-02-06 21:43:46,2025-02-06T19:00:00Z,Galions,Karmine Corp Blue,3
LOLTMNT04_96408,113663059491010853,lfl_ko_2025,2025-02-12 17:09:06,2025-02-12T17:00:00Z,Vitality.Bee,Galions,1
LOLTMNT04_96410,113663059491010854,lfl_ko_2025,2025-02-12 18:05:12,2025-02-12T17:00:00Z,Vitality.Bee,Galions,2
LOLTMNT04_96411,113663059491010857,lfl_ko_2025,2025-02-12 18:58:58,2025-02-12T19:00:00Z,Gentle Mates,Joblife,1
LOLTMNT04_95368,113663059491010858,lfl_ko_2025,2025-02-12 19:48:33,2025-02-12T19:00:00Z,Joblife,Gentle Mates,2
LOLTMNT04_97015,113663059491010849,lfl_ko_2025,2025-02-13 19:51:28,2025-02-13T19:00:00Z,Karmine Corp Blue,Solary,1
LOLTMNT04_97017,113663059491010850,lfl_ko_2025,2025-02-13 20:55:27,2025-02-13T19:00:00Z,Solary,Karmine Corp Blue,2
LOLTMNT04_97022,113663059491010861,lfl_ko_2025,2025-02-14 17:06:13,2025-02-14T17:00:00Z,BK ROG Esports,Solary,1
LOLTMNT04_98001,113663059491010862,lfl_ko_2025,2025-02-14 18:09:55,2025-02-14T17:00:00Z,Solary,BK ROG Esports,2
LOLTMNT04_97023,113663059491010863,lfl_ko_2025,2025-02-14 18:53:33,2025-02-14T17:00:00Z,BK ROG Esports,Solary,3
LOLTMNT04_97025,113663059491010865,lfl_ko_2025,2025-02-14 19:58:28,2025-02-14T19:00:00Z,Galions,Gentle Mates,1
LOLTMNT04_97026,113663059491010866,lfl_ko_2025,2025-02-14 20:50:06,2025-02-14T19:00:00Z,Gentle Mates,Galions,2
LOLTMNT05_113105,113663070585018743,lfl_ko_2025,2025-02-20 17:04:42,2025-02-20T17:00:00Z,Galions,Solary,1
LOLTMNT05_113118,113663070585018744,lfl_ko_2025,2025-02-20 17:58:33,2025-02-20T17:00:00Z,Solary,Galions,2
LOLTMNT05_113127,113663070585018745,lfl_ko_2025,2025-02-20 19:01:43,2025-02-20T17:00:00Z,Galions,Solary,3
LOLTMNT05_114123,113663070585018746,lfl_ko_2025,2025-02-20 20:11:41,2025-02-20T17:00:00Z,Galions,Solary,4
LOLTMNT05_113136,113663070585018747,lfl_ko_2025,2025-02-20 21:00:41,2025-02-20T17:00:00Z,Solary,Galions,5
LOLTMNT06_111312,114188293490993891,lfl_spring_2025,2025-04-09 15:07:52,2025-04-09T15:00:00Z,BK ROG Esports,GameWard,1
LOLTMNT06_111336,114188293490993889,lfl_spring_2025,2025-04-09 16:11:17,2025-04-09T16:00:00Z,Vitality.Bee,Team BDS Academy,1
LOLTMNT06_110355,114188293491059465,lfl_spring_2025,2025-04-09 18:11:26,2025-04-09T18:00:00Z,Joblife,Gentle Mates,1
LOLTMNT06_111391,114188293491059455,lfl_spring_2025,2025-04-09 19:27:53,2025-04-09T19:00:00Z,Karmine Corp Blue,Solary,1
LOLTMNT06_111490,114188293490993877,lfl_spring_2025,2025-04-10 16:13:14,2025-04-10T16:00:00Z,GameWard,Team BDS Academy,1
LOLTMNT06_111514,114188293491059479,lfl_spring_2025,2025-04-10 17:19:18,2025-04-10T17:00:00Z,Vitality.Bee,Joblife,1
LOLTMNT06_111543,114188293491059473,lfl_spring_2025,2025-04-10 18:27:43,2025-04-10T18:00:00Z,Galions,Solary,1
LOLTMNT06_111562,114188293491059453,lfl_spring_2025,2025-04-10 19:28:40,2025-04-10T19:00:00Z,Gentle Mates,Karmine Corp Blue,1
LOLTMNT06_112120,114188293491059433,lfl_spring_2025,2025-04-15 16:06:24,2025-04-15T16:00:00Z,BK ROG Esports,Solary,1
LOLTMNT06_112133,114188293490993885,lfl_spring_2025,2025-04-15 17:21:02,2025-04-15T17:00:00Z,Team BDS Academy,Joblife,1
LOLTMNT06_112140,114188293491059467,lfl_spring_2025,2025-04-15 18:12:14,2025-04-15T18:00:00Z,Galions,Gentle Mates,1
LOLTMNT06_113061,114188293491059461,lfl_spring_2025,2025-04-15 19:10:19,2025-04-15T19:00:00Z,Karmine Corp Blue,Vitality.Bee,1
LOLTMNT06_115035,114188293491059447,lfl_spring_2025,2025-04-16 16:07:17,2025-04-16T16:00:00Z,GameWard,Joblife,1
LOLTMNT06_115094,114188293490993879,lfl_spring_2025,2025-04-16 18:19:54,2025-04-16T18:00:00Z,Team BDS Academy,Karmine Corp Blue,1
LOLTMNT06_115107,114188293491059481,lfl_spring_2025,2025-04-16 19:24:25,2025-04-16T19:00:00Z,Galions,Vitality.Bee,1
LOLTMNT06_115115,114188293491059431,lfl_spring_2025,2025-04-16 20:19:44,2025-04-16T20:00:00Z,BK ROG Esports,Gentle Mates,1
LOLTMNT06_114127,114188293491059445,lfl_spring_2025,2025-04-17 16:05:26,2025-04-17T16:00:00Z,GameWard,Solary,1
LOLTMNT06_115177,114188293490993887,lfl_spring_2025,2025-04-17 18:00:44,2025-04-17T18:00:00Z,Galions,Team BDS Academy,1
LOLTMNT06_115188,114188293491059457,lfl_spring_2025,2025-04-17 18:58:01,2025-04-17T19:00:00Z,Joblife,Karmine Corp Blue,1
LOLTMNT06_115193,114188293491059439,lfl_spring_2025,2025-04-17 19:56:37,2025-04-17T20:00:00Z,BK ROG Esports,Vitality.Bee,1
LOLTMNT06_115252,114188293491059477,lfl_spring_2025,2025-04-18 16:05:50,2025-04-18T16:00:00Z,Galions,Joblife,1
LOLTMNT06_115274,114188293491059441,lfl_spring_2025,2025-04-18 18:00:35,2025-04-18T18:00:00Z,Karmine Corp Blue,GameWard,1
LOLTMNT06_115278,114188293491059463,lfl_spring_2025,2025-04-18 18:54:52,2025-04-18T19:00:00Z,Gentle Mates,Solary,1
LOLTMNT06_115292,114188293490993875,lfl_spring_2025,2025-04-18 19:56:20,2025-04-18T20:00:00Z,BK ROG Esports,Team BDS Academy,1
LOLTMNT04_106246,114188293491059475,lfl_spring_2025,2025-04-23 16:09:49,2025-04-23T16:00:00Z,Vitality.Bee,Solary,1
LOLTMNT04_106262,114188293491059443,lfl_spring_2025,2025-04-23 17:10:45,2025-04-23T17:00:00Z,Gentle Mates,GameWard,1
LOLTMNT04_107326,114188293491059459,lfl_spring_2025,2025-04-23 18:16:15,2025-04-23T18:00:00Z,Galions,Karmine Corp Blue,1
LOLTMNT04_107336,114188293491059435,lfl_spring_2025,2025-04-23 19:14:14,2025-04-23T19:00:00Z,BK ROG Esports,Joblife,1
LOLTMNT04_108019,114188293491059449,lfl_spring_2025,2025-04-24 16:09:49,2025-04-24T16:00:00Z,Galions,GameWard,1
LOLTMNT04_106398,114188293491059469,lfl_spring_2025,2025-04-24 17:04:33,2025-04-24T17:00:00Z,Vitality.Bee,Gentle Mates,1
LOLTMNT04_106407,114188293491059429,lfl_spring_2025,2025-04-24 18:02:15,2025-04-24T18:00:00Z,Karmine Corp Blue,BK ROG Esports,1
LOLTMNT04_106426,114188293490993883,lfl_spring_2025,2025-04-24 20:14:07,2025-04-24T20:00:00Z,Team BDS Academy,Solary,1
LOLTMNT04_108261,114188293491059451,lfl_spring_2025,2025-04-25 16:05:42,2025-04-25T16:00:00Z,Vitality.Bee,GameWard,1
LOLTMNT04_108278,114188293491059437,lfl_spring_2025,2025-04-25 16:55:32,2025-04-25T17:00:00Z,Galions,BK ROG Esports,1
LOLTMNT04_106705,114188293491059471,lfl_spring_2025,2025-04-25 18:06:58,2025-04-25T18:00:00Z,Joblife,Solary,1
LOLTMNT04_108308,114188293490993881,lfl_spring_2025,2025-04-25 19:57:44,2025-04-25T20:00:00Z,Gentle Mates,Team BDS Academy,1
LOLTMNT04_108898,114223895242957632,lfl_spring_2025,2025-04-30 16:08:54,2025-04-30T16:00:00Z,BK ROG Esports,Galions,1
LOLTMNT04_108923,114223895242957633,lfl_spring_2025,2025-04-30 17:09:49,2025-04-30T16:00:00Z,Galions,BK ROG Esports,2
LOLTMNT04_108937,114223895242957634,lfl_spring_2025,2025-04-30 18:01:08,2025-04-30T16:00:00Z,BK ROG Esports,Galions,3
LOLTMNT04_109367,114223895242957636,lfl_spring_2025,2025-04-30 18:57:06,2025-04-30T19:00:00Z,Gentle Mates,Solary,1
