gameid,date,game_num,blue,red,url
LOLTMNT06_95624,2025-01-22 17:04:55,1,BK ROG Esports,Team BDS Academy,
LOLTMNT06_96685,2025-01-22 17:58:26,1,Galions,Ici Japon Corp. Esport,
LOLTMNT06_95665,2025-01-22 18:53:56,1,Gentle Mates,GameWard,
LOLTMNT06_96715,2025-01-22 20:01:11,1,Karmine Corp Blue,Joblife,
LOLTMNT06_95728,2025-01-23 17:05:13,1,Ici Japon Corp. Esport,Team BDS Academy,
LOLTMNT06_96768,2025-01-23 17:50:17,1,Galions,Solary,
LOLTMNT06_95764,2025-01-23 18:51:25,1,GameWard,Joblife,
LOLTMNT06_96794,2025-01-23 19:46:23,1,Karmine Corp Blue,Vitality.Bee,
LOLTMNT06_96823,2025-01-24 17:05:09,1,Ici Japon Corp. Esport,BK ROG Esports,
LOLTMNT06_96840,2025-01-24 18:11:40,1,Solary,Team BDS Academy,
LOLTMNT06_96849,2025-01-24 19:09:24,1,GameWard,Karmine Corp Blue,
LOLTMNT06_96854,2025-01-24 20:25:13,1,Gentle Mates,Vitality.Bee,
LOLTMNT06_95937,2025-01-29 17:10:18,1,Galions,Team BDS Academy,
LOLTMNT06_96972,2025-01-29 18:02:24,1,Solary,BK ROG Esports,
LOLTMNT06_95948,2025-01-29 18:59:19,1,GameWard,Vitality.Bee,
LOLTMNT06_95950,2025-01-29 20:09:43,1,Gentle Mates,Joblife,
LOLTMNT06_95958,2025-01-30 17:05:48,1,Solary,Ici Japon Corp. Esport,
LOLTMNT06_96989,2025-01-30 18:11:10,1,BK ROG Esports,Galions,
LOLTMNT06_96993,2025-01-30 19:11:27,1,Joblife,Vitality.Bee,
LOLTMNT06_95964,2025-01-30 20:05:52,1,Karmine Corp Blue,Gentle Mates,
LOLTMNT06_95974,2025-01-31 17:08:13,1,Karmine Corp Blue,GameWard,
LOLTMNT06_95978,2025-01-31 17:56:45,1,GameWard,Joblife,
LOLTMNT06_95981,2025-01-31 18:54:02,1,Joblife,Karmine Corp Blue,
LOLTMNT04_96116,2025-02-05 17:07:33,1,Vitality.Bee,Ici Japon Corp. Esport,
LOLTMNT04_96141,2025-02-05 18:22:27,2,Ici Japon Corp. Esport,Vitality.Bee,
LOLTMNT04_96167,2025-02-05 20:12:34,1,BK ROG Esports,Joblife,
LOLTMNT04_95166,2025-02-05 21:17:42,2,Joblife,BK ROG Esports,
LOLTMNT04_96204,2025-02-06 17:04:42,1,Gentle Mates,Solary,
LOLTMNT04_96231,2025-02-06 17:59:51,2,Solary,Gentle Mates,
LOLTMNT04_96237,2025-02-06 18:58:23,3,Gentle Mates,Solary,
LOLTMNT04_95224,2025-02-06 19:57:00,1,Galions,Karmine Corp Blue,
LOLTMNT04_95229,2025-02-06 20:48:55,2,Karmine Corp Blue,Galions,
LOLTMNT04_96253,2025-02-06 21:43:46,3,Galions,Karmine Corp Blue,
LOLTMNT04_96408,2025-02-12 17:09:06,1,Vitality.Bee,Galions,
LOLTMNT04_96410,2025-02-12 18:05:12,2,Vitality.Bee,Galions,
LOLTMNT04_96411,2025-02-12 18:58:58,1,Gentle Mates,Joblife,
LOLTMNT04_95368,2025-02-12 19:48:33,2,Joblife,Gentle Mates,
LOLTMNT04_95372,2025-02-13 17:05:55,1,BK ROG Esports,Ici Japon Corp. Esport,
LOLTMNT04_95375,2025-02-13 18:05:18,2,Ici Japon Corp. Esport,BK ROG Esports,
LOLTMNT04_95376,2025-02-13 18:55:30,3,BK ROG Esports,Ici Japon Corp. Esport,
