gameid,date,game_num,blue,red,url,n_hits
LOLTMNT06_96685,2025-01-22 17:58:26,1,Galions,Ici Japon Corp. Esport,,0
LOLTMNT06_95728,2025-01-23 17:05:13,1,Ici Japon Corp. Esport,Team BDS Academy,,0
LOLTMNT06_96823,2025-01-24 17:05:09,1,Ici Japon Corp. Esport,BK ROG Esports,,0
LOLTMNT06_95958,2025-01-30 17:05:48,1,Solary,Ici Japon Corp. Esport,,0
LOLTMNT04_96116,2025-02-05 17:07:33,1,Vitality.Bee,Ici Japon Corp. Esport,,0
LOLTMNT04_96141,2025-02-05 18:22:27,2,Ici Japon Corp. Esport,Vitality.Bee,,0
LOLTMNT04_95372,2025-02-13 17:05:55,1,BK ROG Esports,Ici Japon Corp. Esport,,0
LOLTMNT04_95375,2025-02-13 18:05:18,2,Ici Japon Corp. Esport,BK ROG Esports,,0
LOLTMNT04_95376,2025-02-13 18:55:30,3,BK ROG Esports,Ici Japon Corp. Esport,,0
LOLTMNT05_113027,2025-02-19 17:09:23,1,Ici Japon Corp. Esport,Karmine Corp Blue,,0
LOLTMNT05_114042,2025-02-19 17:59:59,2,Ici Japon Corp. Esport,Karmine Corp Blue,,0
LOLTMNT05_114048,2025-02-19 18:50:02,3,Ici Japon Corp. Esport,Karmine Corp Blue,,0
LOLTMNT05_113437,2025-02-26 17:25:57,1,Ici Japon Corp. Esport,Solary,,0
LOLTMNT05_113439,2025-02-26 18:25:03,2,Solary,Ici Japon Corp. Esport,,0
LOLTMNT05_113442,2025-02-26 19:25:34,3,Solary,Ici Japon Corp. Esport,,0
LOLTMNT05_113445,2025-02-26 20:18:05,4,Ici Japon Corp. Esport,Solary,,0
LOLTMNT05_114454,2025-02-27 17:07:08,1,Karmine Corp Blue,Ici Japon Corp. Esport,,0
LOLTMNT05_114463,2025-02-27 18:07:22,2,Ici Japon Corp. Esport,Karmine Corp Blue,,0
LOLTMNT05_113455,2025-02-27 18:56:22,3,Ici Japon Corp. Esport,Karmine Corp Blue,,0
LOLTMNT05_113457,2025-02-27 19:49:31,4,Karmine Corp Blue,Ici Japon Corp. Esport,,0
LOLTMNT06_110339,2025-04-09 17:10:42,1,Galions,Ici Japon Corp. Esport,,0
LOLTMNT06_110421,2025-04-10 15:11:57,1,Ici Japon Corp. Esport,BK ROG Esports,,0
LOLTMNT06_113066,2025-04-15 20:05:54,1,Ici Japon Corp. Esport,GameWard,,0
LOLTMNT06_114057,2025-04-16 17:03:56,1,Ici Japon Corp. Esport,Solary,,0
LOLTMNT06_115168,2025-04-17 16:59:13,1,Ici Japon Corp. Esport,Gentle Mates,,0
LOLTMNT06_114236,2025-04-18 17:04:19,1,Ici Japon Corp. Esport,Vitality.Bee,,0
LOLTMNT04_107341,2025-04-23 20:18:28,1,Ici Japon Corp. Esport,Team BDS Academy,,0
LOLTMNT04_108041,2025-04-24 19:12:34,1,Ici Japon Corp. Esport,Joblife,,0
LOLTMNT04_106742,2025-04-25 19:02:54,1,Karmine Corp Blue,Ici Japon Corp. Esport,,0
LOLTMNT04_108355,2025-04-26 14:07:10,1,Galions,Gentle Mates,,0
LOLTMNT04_108360,2025-04-26 14:53:28,1,Gentle Mates,Karmine Corp Blue,,0
LOLTMNT04_108363,2025-04-26 15:57:42,1,Karmine Corp Blue,Galions,,0
LOLTMNT04_109477,2025-05-01 16:08:52,1,Ici Japon Corp. Esport,Joblife,,0
LOLTMNT04_109487,2025-05-01 16:58:04,2,Joblife,Ici Japon Corp. Esport,,0
LOLTMNT05_131366,2025-05-07 16:07:02,1,Ici Japon Corp. Esport,Gentle Mates,,0
LOLTMNT05_130381,2025-05-07 17:13:45,2,Gentle Mates,Ici Japon Corp. Esport,,0
LOLTMNT05_131383,2025-05-07 18:17:28,3,Ici Japon Corp. Esport,Gentle Mates,,0
LOLTMNT05_131602,2025-05-09 17:58:54,1,Ici Japon Corp. Esport,Vitality.Bee,,0
LOLTMNT05_130594,2025-05-09 19:04:04,2,Vitality.Bee,Ici Japon Corp. Esport,,0
LOLTMNT06_120495,2025-05-21 16:07:30,1,Ici Japon Corp. Esport,BK ROG Esports,,0
LOLTMNT06_121456,2025-05-21 16:56:26,2,BK ROG Esports,Ici Japon Corp. Esport,,0
LOLTMNT06_120509,2025-05-21 17:56:02,3,BK ROG Esports,Ici Japon Corp. Esport,,0
LOLTMNT04_126277,2025-07-24 17:55:58,1,Ici Japon Corp. Esport,Galions,,0
LOLTMNT04_125240,2025-07-24 18:45:21,2,Ici Japon Corp. Esport,Galions,,0
LOLTMNT04_125514,2025-07-30 19:22:08,1,Ici Japon Corp. Esport,Karmine Corp Blue,,0
LOLTMNT04_127266,2025-07-30 20:13:53,2,Ici Japon Corp. Esport,Karmine Corp Blue,,0
LOLTMNT04_125559,2025-07-31 16:09:39,1,Vitality.Bee,Ici Japon Corp. Esport,,0
LOLTMNT04_125571,2025-07-31 17:10:13,2,Vitality.Bee,Ici Japon Corp. Esport,,0
LOLTMNT04_127339,2025-07-31 18:01:27,3,Ici Japon Corp. Esport,Vitality.Bee,,0
LOLTMNT05_146450,2025-08-06 18:10:35,1,Joblife,Ici Japon Corp. Esport,,0
LOLTMNT05_145452,2025-08-06 18:59:49,2,Joblife,Ici Japon Corp. Esport,,0
LOLTMNT05_145454,2025-08-06 19:56:43,3,Ici Japon Corp. Esport,Joblife,,0
LOLTMNT05_145520,2025-08-07 16:06:36,1,Solary,Ici Japon Corp. Esport,,0
LOLTMNT05_145527,2025-08-07 16:56:42,2,Solary,Ici Japon Corp. Esport,,0
LOLTMNT05_148016,2025-08-14 19:12:39,1,Ici Japon Corp. Esport,Gentle Mates,,0
LOLTMNT05_148018,2025-08-14 19:57:20,2,Ici Japon Corp. Esport,Gentle Mates,,0
LOLTMNT05_147025,2025-08-14 20:44:09,3,Gentle Mates,Ici Japon Corp. Esport,,0
LOLTMNT06_133637,2025-08-21 19:06:23,1,BK ROG Esports,Ici Japon Corp. Esport,,0
LOLTMNT06_133640,2025-08-21 20:00:54,2,BK ROG Esports,Ici Japon Corp. Esport,,0
LOLTMNT06_133642,2025-08-21 20:54:42,3,Ici Japon Corp. Esport,BK ROG Esports,,0
LOLTMNT06_133678,2025-08-22 16:06:36,1,Team BDS Academy,Ici Japon Corp. Esport,,0
LOLTMNT06_134043,2025-08-22 17:01:48,2,Ici Japon Corp. Esport,Team BDS Academy,,0
LOLTMNT06_136179,2025-08-29 16:09:19,1,Ici Japon Corp. Esport,GameWard,,0
LOLTMNT06_136183,2025-08-29 17:00:22,2,GameWard,Ici Japon Corp. Esport,,0
LOLTMNT04_130635,2025-09-16 16:03:00,1,Team BDS Academy,Esprit Shōnen,,0
LOLTMNT04_129646,2025-09-16 17:01:02,2,Team BDS Academy,Esprit Shōnen,,0
LOLTMNT04_129647,2025-09-16 17:52:54,3,Team BDS Academy,Esprit Shōnen,,0
LOLTMNT04_129648,2025-09-16 18:42:45,4,Esprit Shōnen,Team BDS Academy,,0
LOLTMNT04_129655,2025-09-17 16:07:40,1,Project Conquerors,Team BDS Academy,,0
LOLTMNT04_129656,2025-09-17 16:58:30,2,Team BDS Academy,Project Conquerors,,0
LOLTMNT04_129657,2025-09-17 17:43:55,3,Team BDS Academy,Project Conquerors,,0
LOLTMNT04_130644,2025-09-18 16:04:32,1,Esprit Shōnen,Team BDS Academy,,0
LOLTMNT04_129662,2025-09-18 16:58:06,2,Team BDS Academy,Esprit Shōnen,,0
LOLTMNT04_129664,2025-09-18 17:45:03,3,Esprit Shōnen,Team BDS Academy,,0
LOLTMNT04_129666,2025-09-18 18:42:45,4,Team BDS Academy,Esprit Shōnen,,0
LOLTMNT04_130649,2025-09-18 20:00:51,5,Esprit Shōnen,Team BDS Academy,,0
