gameid,date,game_num,blue,red,url,n_hits
LOLTMNT01_192790,2025-01-25 23:04:54,1,LYON,Cloud9,,0
LOLTMNT01_192797,2025-01-25 23:52:59,2,LYON,Cloud9,,0
LOLTMNT01_193134,2025-01-26 23:00:44,1,Dignitas,Team Liquid,,0
LOLTMNT01_193140,2025-01-26 23:52:28,2,Dignitas,Team Liquid,,0
LOLTMNT01_198743,2025-02-01 23:49:32,1,Disguised,Dignitas,,0
LOLTMNT02_211224,2025-02-09 22:51:45,1,Dignitas,FlyQuest,,0
LOLTMNT02_210813,2025-02-09 23:49:15,2,FlyQuest,Dignitas,,0
LOLTMNT03_214309,2025-04-06 00:09:38,1,Disguised,LYON,,0
LOLTMNT02_263222,2025-05-11 00:10:15,3,100 Thieves,Shopify Rebellion,,0
LOLTMNT03_303586,2025-10-04 20:08:48,1,Estral Esports,Conviction,,0
LOLTMNT03_304116,2025-10-04 20:58:48,2,Conviction,Estral Esports,,0
LOLTMNT03_303722,2025-10-04 21:49:17,3,Conviction,Estral Esports,,0
LOLTMNT03_304178,2025-10-04 22:33:19,4,Estral Esports,Conviction,,0
LOLTMNT03_303842,2025-10-04 23:28:14,5,Estral Esports,Conviction,,0
LOLTMNT03_305228,2025-10-05 20:13:09,1,SDM Tigres,Luminosity Gaming,,0
LOLTMNT03_305274,2025-10-05 21:06:34,2,Luminosity Gaming,SDM Tigres,,0
LOLTMNT03_305326,2025-10-05 22:08:47,3,Luminosity Gaming,SDM Tigres,,0
LOLTMNT03_304954,2025-10-06 20:07:03,1,Disguised,Estral Esports,,0
LOLTMNT03_305596,2025-10-06 21:09:35,2,Estral Esports,Disguised,,0
LOLTMNT03_305606,2025-10-07 00:00:39,3,Disguised,Estral Esports,,0
LOLTMNT03_306267,2025-10-08 20:08:33,1,Disguised,Luminosity Gaming,,0
LOLTMNT03_306271,2025-10-08 21:18:22,2,Luminosity Gaming,Disguised,,0
LOLTMNT03_305882,2025-10-08 22:06:05,3,Luminosity Gaming,Disguised,,0
LOLTMNT03_306344,2025-10-09 20:09:13,1,SDM Tigres,Estral Esports,,0
LOLTMNT03_306345,2025-10-09 21:04:11,2,SDM Tigres,Estral Esports,,0
LOLTMNT03_306351,2025-10-09 22:00:29,3,Estral Esports,SDM Tigres,,0
LOLTMNT03_307055,2025-10-10 20:07:51,1,Luminosity Gaming,Estral Esports,,0
LOLTMNT03_306449,2025-10-10 20:53:10,2,Luminosity Gaming,Estral Esports,,0
LOLTMNT03_306451,2025-10-10 21:41:48,3,Estral Esports,Luminosity Gaming,,0
LOLTMNT03_307497,2025-10-12 20:09:22,1,Disguised,Luminosity Gaming,,0
LOLTMNT03_307498,2025-10-12 21:06:03,2,Luminosity Gaming,Disguised,,0
LOLTMNT03_307499,2025-10-12 21:59:59,3,Disguised,Luminosity Gaming,,0
LOLTMNT03_306785,2025-10-12 22:55:28,4,Disguised,Luminosity Gaming,,0
